name,code,columns,codelist
3次メッシュコード,N04_001,43,N04_fukuin_H16
幅員11.0m以上_道路密度_左,N04_002,43,N04_fukuin_H16
幅員11.0m以上_道路密度_上,N04_003,43,N04_fukuin_H16
幅員11.0m以上_道路密度_右,N04_004,43,N04_fukuin_H16
幅員11.0m以上_道路密度_下,N04_005,43,N04_fukuin_H16
幅員11.0m以上_道路延長_道路延長,N04_006,43,N04_fukuin_H16
幅員11.0m以上_道路延長_上限値,N04_007,43,N04_fukuin_H16
幅員11.0m以上_道路延長_下限値,N04_008,43,N04_fukuin_H16
幅員5.5～11.0m以上_道路密度_左,N04_009,43,N04_fukuin_H16
幅員5.5～11.0m以上_道路密度_上,N04_010,43,N04_fukuin_H16
幅員5.5～11.0m以上_道路密度_右,N04_011,43,N04_fukuin_H16
幅員5.5～11.0m以上_道路密度_下,N04_012,43,N04_fukuin_H16
幅員5.5～11.0m以上_道路延長_道路延長,N04_013,43,N04_fukuin_H16
幅員5.5～11.0m以上_道路延長_上限値,N04_014,43,N04_fukuin_H16
幅員5.5～11.0m以上_道路延長_下限値,N04_015,43,N04_fukuin_H16
幅員2.5～5.5m以上_道路密度_左,N04_016,43,N04_fukuin_H16
幅員2.5～5.5m以上_道路密度_上,N04_017,43,N04_fukuin_H16
幅員2.5～5.5m以上_道路密度_右,N04_018,43,N04_fukuin_H16
幅員2.5～5.5m以上_道路密度_下,N04_019,43,N04_fukuin_H16
幅員2.5～5.5m以上_道路延長_道路延長,N04_020,43,N04_fukuin_H16
幅員2.5～5.5m以上_道路延長_上限値,N04_021,43,N04_fukuin_H16
幅員2.5～5.5m以上_道路延長_下限値,N04_022,43,N04_fukuin_H16
幅員1.5～2.5m以上_道路密度_左,N04_023,43,N04_fukuin_H16
幅員1.5～2.5m以上_道路密度_上,N04_024,43,N04_fukuin_H16
幅員1.5～2.5m以上_道路密度_右,N04_025,43,N04_fukuin_H16
幅員1.5～2.5m以上_道路密度_下,N04_026,43,N04_fukuin_H16
幅員1.5～2.5m以上_道路延長_道路延長,N04_027,43,N04_fukuin_H16
幅員1.5～2.5m以上_道路延長_上限値,N04_028,43,N04_fukuin_H16
幅員1.5～2.5m以上_道路延長_下限値,N04_029,43,N04_fukuin_H16
幅員1.5m未満_道路密度_左,N04_030,43,N04_fukuin_H16
幅員1.5m未満_道路密度_上,N04_031,43,N04_fukuin_H16
幅員1.5m未満_道路密度_右,N04_032,43,N04_fukuin_H16
幅員1.5m未満_道路密度_下,N04_033,43,N04_fukuin_H16
幅員1.5m未満_道路延長_道路延長,N04_034,43,N04_fukuin_H16
幅員1.5m未満_道路延長_上限値,N04_035,43,N04_fukuin_H16
幅員1.5m未満_道路延長_下限値,N04_036,43,N04_fukuin_H16
合計_道路密度_左,N04_037,43,N04_fukuin_H16
合計_道路密度_上,N04_038,43,N04_fukuin_H16
合計_道路密度_右,N04_039,43,N04_fukuin_H16
合計_道路密度_下,N04_040,43,N04_fukuin_H16
合計_道路延長_道路延長,N04_041,43,N04_fukuin_H16
合計_道路延長_上限値,N04_042,43,N04_fukuin_H16
合計_道路延長_下限値,N04_043,43,N04_fukuin_H16
3次メッシュコード,N04_001,39,N04_fukuin_H16
3次メッシュ面積,N04_002,39,N04_fukuin_H16
幅員13.0m（11.0m）以上_道路密度_左,N04_003,39,N04_fukuin_H16
幅員13.0m（11.0m）以上_道路密度_上,N04_004,39,N04_fukuin_H16
幅員13.0m（11.0m）以上_道路密度上_右,N04_005,39,N04_fukuin_H16
幅員13.0m（11.0m）以上_道路密度_下,N04_006,39,N04_fukuin_H16
幅員13.0m（11.0m）以上_道路延長_実延長,N04_007,39,N04_fukuin_H16
幅員13.0m（11.0m）以上_道路延長_1k㎡当り,N04_008,39,N04_fukuin_H16
幅員5.5m以上13.0m（11.0m）未満_道路密度_左,N04_009,39,N04_fukuin_H16
幅員5.5m以上13.0m（11.0m）未満_道路密度_上,N04_010,39,N04_fukuin_H16
幅員5.5m以上13.0m（11.0m）未満_道路密度上_右,N04_011,39,N04_fukuin_H16
幅員5.5m以上13.0m（11.0m）未満_道路密度_下,N04_012,39,N04_fukuin_H16
幅員5.5m以上13.0m（11.0m）未満_道路延長_実延長,N04_013,39,N04_fukuin_H16
幅員5.5m以上13.0m（11.0m）未満_道路延長_1k㎡当り,N04_014,39,N04_fukuin_H16
幅員3.0m（2.5m）以上5.5m未満_道路密度_左,N04_015,39,N04_fukuin_H16
