name,code,columns,codelist
都市圏,S05a_001,54,PTAreaCd
調査年度,S05a_002,54,NA
発生集中,S05a_003,54,TripGenerationCd
ゾーンコード,S05a_004,54,AreaZoneCd
鉄道-出勤トリップ数,S05a_005,54,NA
鉄道-登校トリップ数,S05a_006,54,NA
鉄道-自由トリップ数,S05a_007,54,NA
鉄道-業務トリップ数,S05a_008,54,NA
鉄道-帰宅トリップ数,S05a_009,54,NA
鉄道-合計トリップ数,S05a_010,54,NA
バス-出勤トリップ数,S05a_011,54,NA
バス-登校トリップ数,S05a_012,54,NA
バス-自由トリップ数,S05a_013,54,NA
バス-業務トリップ数,S05a_014,54,NA
バス-帰宅トリップ数,S05a_015,54,NA
バス-合計トリップ数,S05a_016,54,NA
自動車-出勤トリップ数,S05a_017,54,NA
自動車-登校トリップ数,S05a_018,54,NA
自動車-自由トリップ数,S05a_019,54,NA
自動車-業務トリップ数,S05a_020,54,NA
自動車-帰宅トリップ数,S05a_021,54,NA
自動車-合計トリップ数,S05a_022,54,NA
二輪-出勤トリップ数,S05a_023,54,NA
二輪-登校トリップ数,S05a_024,54,NA
二輪-自由トリップ数,S05a_025,54,NA
二輪-業務トリップ数,S05a_026,54,NA
二輪-帰宅トリップ数,S05a_027,54,NA
二輪-合計トリップ数,S05a_028,54,NA
自転車-出勤トリップ数,S05a_029,54,NA
自転車-登校トリップ数,S05a_030,54,NA
自転車-自由トリップ数,S05a_031,54,NA
自転車-業務トリップ数,S05a_032,54,NA
自転車-帰宅トリップ数,S05a_033,54,NA
自転車-合計トリップ数,S05a_034,54,NA
徒歩-出勤トリップ数,S05a_035,54,NA
徒歩-登校トリップ数,S05a_036,54,NA
徒歩-自由トリップ数,S05a_037,54,NA
徒歩-業務トリップ数,S05a_038,54,NA
徒歩-帰宅トリップ数,S05a_039,54,NA
徒歩-合計トリップ数,S05a_040,54,NA
その他-出勤トリップ数,S05a_041,54,NA
その他-登校トリップ数,S05a_042,54,NA
その他-自由トリップ数,S05a_043,54,NA
その他-業務トリップ数,S05a_044,54,NA
その他-帰宅トリップ数,S05a_045,54,NA
その他-合計トリップ数,S05a_046,54,NA
不明-出勤トリップ数,S05a_047,54,NA
不明-登校トリップ数,S05a_048,54,NA
不明-自由トリップ数,S05a_049,54,NA
不明-業務トリップ数,S05a_050,54,NA
不明-帰宅トリップ数,S05a_051,54,NA
不明-不明トリップ数,S05a_052,54,NA
不明-合計トリップ数,S05a_053,54,NA
全トリップ数,S05a_054,54,NA
都市圏,S05a_001,35,PTAreaCd
調査年度,S05a_002,35,NA
発生集中,S05a_003,35,TripGenerationCd
ゾーンコード,S05a_004,35,AreaZoneCd
鉄道-出勤トリップ数,S05a_005,35,NA
鉄道-登校トリップ数,S05a_006,35,NA
鉄道-自由トリップ数,S05a_007,35,NA
鉄道-業務トリップ数,S05a_008,35,NA
鉄道-帰宅トリップ数,S05a_009,35,NA
鉄道-合計トリップ数,S05a_010,35,NA
バス-出勤トリップ数,S05a_011,35,NA
バス-登校トリップ数,S05a_012,35,NA
バス-自由トリップ数,S05a_013,35,NA
バス-業務トリップ数,S05a_014,35,NA
バス-帰宅トリップ数,S05a_015,35,NA
バス-合計トリップ数,S05a_016,35,NA
自動車-出勤トリップ数,S05a_017,35,NA
自動車-登校トリップ数,S05a_018,35,NA
自動車-自由トリップ数,S05a_019,35,NA
自動車-業務トリップ数,S05a_020,35,NA
自動車-帰宅トリップ数,S05a_021,35,NA
自動車-合計トリップ数,S05a_022,35,NA
二輪-出勤トリップ数,S05a_023,35,NA
二輪-登校トリップ数,S05a_024,35,NA
二輪-自由トリップ数,S05a_025,35,NA
二輪-業務トリップ数,S05a_026,35,NA
二輪-帰宅トリップ数,S05a_027,35,NA
二輪-合計トリップ数,S05a_028,35,NA
徒歩-出勤トリップ数,S05a_029,35,NA
徒歩-登校トリップ数,S05a_030,35,NA
徒歩-自由トリップ数,S05a_031,35,NA
徒歩-業務トリップ数,S05a_032,35,NA
徒歩-帰宅トリップ数,S05a_033,35,NA
徒歩-合計トリップ数,S05a_034,35,NA
全トリップ数,S05a_035,35,NA
