code,label
1100,北海道札幌市
1101,北海道札幌市中央区
1102,北海道札幌市北区
1103,北海道札幌市東区
1104,北海道札幌市白石区
1105,北海道札幌市豊平区
1106,北海道札幌市南区
1107,北海道札幌市西区
1108,北海道札幌市厚別区
1109,北海道札幌市手稲区
1110,北海道札幌市清田区
1200,北海道市部
1202,北海道函館市
1203,北海道小樽市
1204,北海道旭川市
1205,北海道室蘭市
1206,北海道釧路市
1207,北海道帯広市
1208,北海道北見市
1209,北海道夕張市
1210,北海道岩見沢市
1211,北海道網走市
1212,北海道留萌市
1213,北海道苫小牧市
1214,北海道稚内市
1215,北海道美唄市
1216,北海道芦別市
1217,北海道江別市
1218,北海道赤平市
1219,北海道紋別市
1220,北海道士別市
1221,北海道名寄市
1222,北海道三笠市
1223,北海道根室市
1224,北海道千歳市
1225,北海道滝川市
1226,北海道砂川市
1227,北海道歌志内市
1228,北海道深川市
1229,北海道富良野市
1230,北海道登別市
1231,北海道恵庭市
1233,北海道伊達市
1234,北海道北広島市
1235,北海道石狩市
1236,北海道北斗市
1300,北海道石狩振興局
1303,北海道石狩郡当別町
1304,北海道石狩郡新篠津村
1330,北海道渡島総合振興局
1331,北海道松前郡松前町
1332,北海道松前郡福島町
1333,北海道上磯郡知内町
1334,北海道上磯郡木古内町
1337,北海道亀田郡七飯町
1343,北海道茅部郡鹿部町
1345,北海道茅部郡森町
1346,北海道二海郡八雲町
1347,北海道山越郡長万部町
1360,北海道檜山振興局
1361,北海道檜山郡江差町
1362,北海道檜山郡上ノ国町
1363,北海道檜山郡厚沢部町
1364,北海道爾志郡乙部町
1367,北海道奥尻郡奥尻町
1370,北海道瀬棚郡今金町
1371,北海道久遠郡せたな町
1390,北海道後志総合振興局
1391,北海道島牧郡島牧村
1392,北海道寿都郡寿都町
1393,北海道寿都郡黒松内町
1394,北海道磯谷郡蘭越町
1395,北海道虻田郡ニセコ町
1396,北海道虻田郡真狩村
1397,北海道虻田郡留寿都村
1398,北海道虻田郡喜茂別町
1399,北海道虻田郡京極町
1400,北海道虻田郡倶知安町
1401,北海道岩内郡共和町
1402,北海道岩内郡岩内町
1403,北海道古宇郡泊村
1404,北海道古宇郡神恵内村
1405,北海道積丹郡積丹町
1406,北海道古平郡古平町
1407,北海道余市郡仁木町
1408,北海道余市郡余市町
1409,北海道余市郡赤井川村
1420,北海道空知総合振興局
1423,北海道空知郡南幌町
1424,北海道空知郡奈井江町
1425,北海道空知郡上砂川町
1427,北海道夕張郡由仁町
1428,北海道夕張郡長沼町
1429,北海道夕張郡栗山町
1430,北海道樺戸郡月形町
1431,北海道樺戸郡浦臼町
1432,北海道樺戸郡新十津川町
1433,北海道雨竜郡妹背牛町
1434,北海道雨竜郡秩父別町
1436,北海道雨竜郡雨竜町
1437,北海道雨竜郡北竜町
1438,北海道雨竜郡沼田町
1450,北海道上川総合振興局
1452,北海道上川郡鷹栖町
1453,北海道上川郡東神楽町
1454,北海道上川郡当麻町
1455,北海道上川郡比布町
1456,北海道上川郡愛別町
1457,北海道上川郡上川町
1458,北海道上川郡東川町
1459,北海道上川郡美瑛町
1460,北海道空知郡上富良野町
1461,北海道空知郡中富良野町
1462,北海道空知郡南富良野町
1463,北海道勇払郡占冠村
1464,北海道上川郡和寒町
1465,北海道上川郡剣淵町
1468,北海道上川郡下川町
1469,北海道中川郡美深町
1470,北海道中川郡音威子府村
1471,北海道中川郡中川町
1472,北海道雨竜郡幌加内町
1480,北海道留萌振興局
1481,北海道増毛郡増毛町
1482,北海道留萌郡小平町
1483,北海道苫前郡苫前町
1484,北海道苫前郡羽幌町
1485,北海道苫前郡初山別村
1486,北海道天塩郡遠別町
1487,北海道天塩郡天塩町
1510,北海道宗谷総合振興局
1511,北海道宗谷郡猿払村
1512,北海道枝幸郡浜頓別町
1513,北海道枝幸郡中頓別町
1514,北海道枝幸郡枝幸町
1516,北海道天塩郡豊富町
1517,北海道礼文郡礼文町
1518,北海道利尻郡利尻町
1519,北海道利尻郡利尻富士町
1520,北海道天塩郡幌延町
1540,北海道オホーツク総合振興局
1543,北海道網走郡美幌町
1544,北海道網走郡津別町
1545,北海道斜里郡斜里町
1546,北海道斜里郡清里町
1547,北海道斜里郡小清水町
1549,北海道常呂郡訓子府町
1550,北海道常呂郡置戸町
1552,北海道常呂郡佐呂間町
1555,北海道紋別郡遠軽町
1559,北海道紋別郡湧別町
1560,北海道紋別郡滝上町
1561,北海道紋別郡興部町
1562,北海道紋別郡西興部村
1563,北海道紋別郡雄武町
1564,北海道網走郡大空町
1570,北海道胆振総合振興局
1571,北海道虻田郡豊浦町
1575,北海道有珠郡壮瞥町
1578,北海道白老郡白老町
1581,北海道勇払郡厚真町
1584,北海道虻田郡洞爺湖町
1585,北海道勇払郡安平町
1586,北海道勇払郡むかわ町
1600,北海道日高振興局
1601,北海道沙流郡日高町
1602,北海道沙流郡平取町
1604,北海道新冠郡新冠町
1607,北海道浦河郡浦河町
1608,北海道様似郡様似町
1609,北海道幌泉郡えりも町
1610,北海道日高郡新ひだか町
