code,lable
01000,北海道
01100,北海道札幌市
01202,北海道函館市
01203,北海道小樽市
01204,北海道旭川市
01205,北海道室蘭市
01206,北海道釧路市
01207,北海道帯広市
01208,北海道北見市
01209,北海道夕張市
01210,北海道岩見沢市
01211,北海道網走市
01212,北海道留萌市
01213,北海道苫小牧市
01214,北海道稚内市
01215,北海道美唄市
01216,北海道芦別市
01217,北海道江別市
01218,北海道赤平市
01219,北海道紋別市
01220,北海道士別市
01221,北海道名寄市
01222,北海道三笠市
01223,北海道根室市
01224,北海道千歳市
01225,北海道滝川市
01226,北海道砂川市
01227,北海道歌志内市
01228,北海道深川市
01229,北海道富良野市
01230,北海道登別市
01231,北海道恵庭市
01233,北海道伊達市
01234,北海道北広島市
01235,北海道石狩市
01236,北海道北斗市
01303,北海道当別町
01304,北海道新篠津村
01331,北海道松前町
01332,北海道福島町
01333,北海道知内町
01334,北海道木古内町
01337,北海道七飯町
01343,北海道鹿部町
01345,北海道森町
01346,北海道八雲町
01347,北海道長万部町
01361,北海道江差町
01362,北海道上ノ国町
01363,北海道厚沢部町
01364,北海道乙部町
01367,北海道奥尻町
01370,北海道今金町
01371,北海道せたな町
01391,北海道島牧村
01392,北海道寿都町
01393,北海道黒松内町
01394,北海道蘭越町
01395,北海道ニセコ町
01396,北海道真狩村
01397,北海道留寿都村
01398,北海道喜茂別町
01399,北海道京極町
01400,北海道倶知安町
01401,北海道共和町
01402,北海道岩内町
01403,北海道泊村
01404,北海道神恵内村
01405,北海道積丹町
01406,北海道古平町
01407,北海道仁木町
01408,北海道余市町
01409,北海道赤井川村
01423,北海道南幌町
01424,北海道奈井江町
01425,北海道上砂川町
01427,北海道由仁町
01428,北海道長沼町
01429,北海道栗山町
01430,北海道月形町
01431,北海道浦臼町
01432,北海道新十津川町
01433,北海道妹背牛町
01434,北海道秩父別町
01436,北海道雨竜町
01437,北海道北竜町
01438,北海道沼田町
01452,北海道鷹栖町
01453,北海道東神楽町
01454,北海道当麻町
01455,北海道比布町
01456,北海道愛別町
01457,北海道上川町
01458,北海道東川町
01459,北海道美瑛町
01460,北海道上富良野町
01461,北海道中富良野町
01462,北海道南富良野町
01463,北海道占冠村
01464,北海道和寒町
01465,北海道剣淵町
01468,北海道下川町
01469,北海道美深町
01470,北海道音威子府村
01471,北海道中川町
01472,北海道幌加内町
01481,北海道増毛町
01482,北海道小平町
01483,北海道苫前町
01484,北海道羽幌町
01485,北海道初山別村
01486,北海道遠別町
01487,北海道天塩町
01511,北海道猿払村
01512,北海道浜頓別町
01513,北海道中頓別町
01514,北海道枝幸町
01516,北海道豊富町
01517,北海道礼文町
01518,北海道利尻町
01519,北海道利尻富士町
01520,北海道幌延町
01543,北海道美幌町
01544,北海道津別町
01545,北海道斜里町
01546,北海道清里町
01547,北海道小清水町
01549,北海道訓子府町
01550,北海道置戸町
01552,北海道佐呂間町
01555,北海道遠軽町
01559,北海道湧別町
01560,北海道滝上町
01561,北海道興部町
01562,北海道西興部村
01563,北海道雄武町
01564,北海道大空町
01571,北海道豊浦町
01575,北海道壮瞥町
01578,北海道白老町
01581,北海道厚真町
01584,北海道洞爺湖町
01585,北海道安平町
01586,北海道むかわ町
01601,北海道日高町
01602,北海道平取町
01604,北海道新冠町
01607,北海道浦河町
01608,北海道様似町
01609,北海道えりも町
01610,北海道新ひだか町
01631,北海道音更町
01632,北海道士幌町
01633,北海道上士幌町
01634,北海道鹿追町
01635,北海道新得町
01636,北海道清水町
01637,北海道芽室町
01638,北海道中札内村
01639,北海道更別村
01641,北海道大樹町
01642,北海道広尾町
01643,北海道幕別町
