code,label
03001,美術館
03002,資料館，記念館，博物館，科学館
03003,図書館
03004,水族館
03005,動植物園
03101,陸上競技場
03102,野球場・ソフトボール場
03103,球技場
03104,多目的運動場
03105,水泳プール（屋内）
03106,水泳プール（屋外）
03107,レジャープール
03108,ダイビングプール
03109,体育館
03110,柔道場
03111,剣道場
03112,柔剣道場（武道場）
03113,空手・合気道場
03114,バレーボール場（屋外）
03115,庭球場（屋外）
03116,庭球場（屋内）
03117,バスケットボール場（屋外）
03118,相撲場（屋外）
03119,相撲場（屋内）
03120,卓球場
03121,弓道場
03122,アーチェリー場
03123,馬場
03124,アイススケート場（屋内）
03125,アイススケート場（屋外）
03126,ﾛｰﾗｰｽｹｰﾄ･ｲﾝﾗｲﾝｽｹｰﾄ場（屋内）
03127,ﾛｰﾗｰｽｹｰﾄ･ｲﾝﾗｲﾝｽｹｰﾄ場（屋外）
03128,山の家・林間学校等の施設
03129,トレーニング場
03130,レスリング場
03131,ボクシング場
03132,ダンス場
03133,射撃場
03134,ゴルフ場
03135,ゴルフ練習場
03136,ボウリング場
03137,漕艇場
03138,ゲートボール・クロッケー場
03139,スカッシュ・ラケットボール場
03140,ヨット場
03141,スキー・スノーボード場
03142,キャンプ場
03143,ハイキンギコース
03144,サイクリングコース
03145,オリエンテーリングコース
03146,ランニングコース
03147,冒険遊具コース
03148,海の家・海水浴場等の施設
03149,河川・湖沼等の遊泳場
03150,スカイスポーツ施設
