code,label
11,コンテナターミナル_国際戦略港湾
12,コンテナターミナル_国際拠点港湾
13,コンテナターミナル_重要港湾
14,コンテナターミナル_地方港湾
15,コンテナターミナル_56条港湾
16,コンテナターミナル_その他
21,航空貨物ターミナル_拠点空港
22,航空貨物ターミナル_拠点空港（特定地方管理空港）
23,航空貨物ターミナル_地方管理空港
24,航空貨物ターミナル_その他の空港
25,航空貨物ターミナル_共用空港
26,航空貨物ターミナル_その他
31,鉄道貨物駅_一般
32,鉄道貨物駅_一般（臨時・中継等）
33,鉄道貨物駅_ORS
41,保税地域_指定保税地域
42,保税地域_保税蔵置場
43,保税地域_総合保税地域
51,トラックターミナル_トラックターミナル法
52,トラックターミナル_その他
61,倉庫_普通倉庫（１類倉庫）
62,倉庫_普通倉庫（２類倉庫）
63,倉庫_普通倉庫（３類倉庫）
64,倉庫_普通倉庫（野積倉庫）
65,倉庫_水面倉庫
66,倉庫_普通倉庫（貯蔵槽倉庫）
67,倉庫_普通倉庫（危険品倉庫（建屋））
68,倉庫_普通倉庫（危険品倉庫（貯蔵槽））
69,倉庫_普通倉庫（危険品倉庫（野積）））
70,倉庫_冷蔵倉庫
71,卸売市場_中央卸売市場
72,卸売市場_地方卸売市場
