code,label
09001,公共企業体・政府関係機関
09002,独立行政法人・大学共同利用機関法人
11100,国会
11101,会計検査院
11102,人事院
11103,内閣法制局
11110,内閣府
11111,内閣官房
11112,宮内庁
11113,金融庁
11114,公正取引委員会
11115,消費者庁
11116,復興庁
11120,国家公安委員会
11121,警察庁
11132,防衛省
11140,総務省
11142,消防庁
11144,公害等調整委員会
11150,法務省
11151,検察庁
11152,公安調査庁
11153,公安審査委員会
11160,外務省
11161,外国公館
11170,財務省
11171,国税庁
11180,文部科学省
11181,文化庁
11190,厚生労働省
11192,中央労働委員会
11200,農林水産省
11202,林野庁
11203,水産庁
11210,経済産業省
11211,資源エネルギー庁
11212,特許庁
11213,中小企業庁
11220,国土交通省
11221,海上保安庁
11223,気象庁
11225,観光庁
11226,運輸安全委員会
11227,海難審判所
11230,環境省
11231,原子力規制委員会
11240,裁判所
12001,都道府県庁
12005,都道府県の出先機関
13001,保健所
