code,label
10001,京都
10002,新大阪
10003,新神戸
10004,西明石
10005,姫路
10098,米原(以東)
10099,相生(以西)
10101,彦根
10102,南彦根
10103,河瀬
10104,稲枝
10105,能登川
10106,安土
10107,近江八幡
10108,篠原
10109,野洲
10110,守山
10111,栗東
10112,草津
10113,南草津
10114,瀬田
10115,石山
10116,膳所
10117,大津
10118,山科
10119,京都
10120,西大路
10121,向日町
10122,長岡京
10123,山崎
10124,高槻
10125,摂津富田
10126,茨木
10127,千里丘
10128,岸辺
10129,吹田
10130,東淀川
10131,新大阪
10132,大阪
10133,塚本
10134,尼崎
10135,立花
10136,甲子園口
10137,西ノ宮
10138,芦屋
10139,甲南山手
10140,摂津本山
10141,住吉
10142,六甲道
10143,灘
10144,三ノ宮
10145,元町
10146,神戸
10199,米原(以東)
10201,手原
10202,石部
10203,甲西
10204,三雲
10205,貴生川
10206,甲南
10207,寺庄
10208,甲賀
10209,油日
10299,柘植(以東)
10301,西大津
10302,唐崎
10303,比叡山坂本
10304,雄琴
10305,堅田
10306,小野
10307,和邇
10308,蓬莱
10309,志賀
10310,比良
10311,近江舞子
10312,北小松
10313,近江高島
10314,安曇川
10315,新旭
10316,近江今津
10399,近江中庄(以北)
10401,天満
10402,桜ノ宮
10403,京橋
10404,大阪城公園
10405,森ノ宮
10406,玉造
10407,鶴橋
10408,桃谷
10409,寺田町
10410,芦原橋
10411,大正
10412,弁天町
10413,西九条
10414,野田
10415,福島
10501,安治川口
10502,桜島
10601,塚口
10602,猪名寺
10603,伊丹
10604,北伊丹
10605,川西池田
10606,中山寺
10607,宝塚
10608,生瀬
10609,西宮名塩
10610,武田尾
10611,道場
10612,三田
10613,新三田
10614,広野
10615,相野
10616,藍本
10617,草野
10618,古市
10619,南矢代
10620,篠山口
10621,丹波大山
10699,下滝(以北)
10701,兵庫
10702,新長田
10703,鷹取
10704,須磨
10705,塩屋
10706,垂水
10707,舞子
10708,朝霧
10709,明石
10710,西明石
10711,大久保
10712,魚住
10713,土山
10714,東加古川
10715,加古川
10716,宝殿
10717,曽根
10718,御着
10719,姫路
10720,英賀保
10721,網干
10722,和田岬
