code,label
8000000000,（不明）
8000010201,柏原
8000010202,近江長岡
8000010203,醒ケ井
8000010204,米原
8000010205,彦根
8000010206,南彦根
8000010207,河瀬
8000010208,稲枝
8000010209,能登川
8000010210,安土
8000010211,近江八幡
8000010212,篠原
8000010213,野洲
8000010214,守山
8000010215,栗東
8000010216,草津
8000010217,南草津
8000010218,瀬田
8000010219,石山
8000010220,膳所
8000010221,大津
8000010222,山科
8000010223,京都
8000010224,西大路
8000010225,桂川
8000010226,向日町
8000010227,長岡京
8000010228,山崎
8000010229,島本
8000010230,高槻
8000010231,摂津富田
8000010232,茨木
8000010233,千里丘
8000010234,岸辺
8000010235,吹田
8000010236,東淀川
8000010237,新大阪
8000010238,大阪
8000010239,塚本
8000010240,尼崎
8000010241,立花
8000010242,甲子園口
8000010243,西宮
8000010244,さくら夙川
8000010245,芦屋
8000010246,甲南山手
8000010247,摂津本山
8000010248,住吉
8000010249,六甲道
8000010250,灘
8000010251,三ノ宮
8000010252,元町
8000010253,神戸
8000010301,手原
8000010302,石部
8000010303,甲西
8000010304,三雲
8000010305,貴生川
8000010306,甲南
8000010307,寺庄
8000010308,甲賀
8000010309,油日
8000010401,大津京
8000010402,唐崎
8000010403,比叡山坂本
8000010404,おごと温泉
8000010405,堅田
8000010406,小野
8000010407,和邇
8000010408,蓬莱
8000010409,志賀
8000010410,比良
8000010411,近江舞子
8000010412,北小松
8000010413,近江高島
8000010414,安曇川
8000010415,新旭
8000010416,近江今津
8000010417,近江中庄
8000010418,マキノ
8000010419,永原
8000010501,天満
8000010502,桜ノ宮
8000010503,京橋
8000010504,大阪城公園
8000010505,森ノ宮
8000010506,玉造
8000010507,鶴橋
8000010508,桃谷
8000010509,寺田町
8000010510,芦原橋
8000010511,大正
8000010512,弁天町
8000010513,西九条
8000010514,野田
8000010515,福島
8000010601,安治川口
8000010602,桜島
8000010603,ユニバーサルシティ
8000010701,塚口
8000010702,猪名寺
8000010703,伊丹
8000010704,北伊丹
8000010705,川西池田
8000010706,中山寺
8000010707,宝塚
8000010708,生瀬
8000010709,西宮名塩
8000010710,武田尾
8000010711,道場
8000010712,三田
8000010713,新三田
8000010714,広野
8000010715,相野
8000010716,藍本
8000010717,草野
8000010718,古市
