code,label
101,火山群
102,火山
103,火山性高原
104,火口・カルデラ
105,カルデラ壁
106,流れ山群
107,火山　特徴的な稜線
108,溶岩トンネル・風穴
109,溶岩流末端崖
110,地獄、泥火山
111,噴泉
112,噴気孔
113,間歇泉
114,火山　構造土
115,高山域・亜高山域
116,火山　万年雪
201,山脈、山地、高地
202,丘陵
203,非火山性高原
204,大断層崖
205,非火山性弧峰
206,U字谷（氷食谷）
207,カール
208,非対称山稜
209,山地　特徴的な稜線
210,モレーン
211,二重山稜（綿状凹地）
212,山地　断崖・岩壁
213,岩塊斜面、岩海
214,山地　構造土
215,山地　岩峰・岩柱
216,崖錐
217,山地　天然橋・岩門・石門
218,高山域、亜高山域
219,山地　万年雪
301,カルスト地形
302,ポリエ
303,カッレンフェルト・ドリーネ群
304,鍾乳洞
401,陸景　節理
402,陸景　岩脈
501,陸景で上記以外の際立った地形
502,陸景で顕著な自然現象を記録する地形
601,峡谷・渓谷
602,河成段丘
603,自由蛇行河川
604,穿入蛇行河川
605,河川　断崖・岩壁
606,瀞
607,河川　岩峰・岩柱
608,淵
609,河川　甌穴群
610,滝
611,河川　天然橋・岩門・石門
701,湖沼
702,湿原
801,溺れ谷
802,海成段丘
803,断層海岸
804,火山海岸
805,多島海
806,隆起サンゴ礁
807,砂浜、礫浜
808,砂嘴
809,砂州
810,陸けい砂州
811,砂丘
812,海食崖
813,波食台（ベンチ）
814,岩礁
815,海食洞
816,岩門
817,湖吹穴
818,海岸　甌穴群
819,潮流、渦流
901,水景　節理
902,水景　岩脈
903,湧泉群
1001,水景で上記以外の際立った地形
1002,水景で顕著な自然現象を記録する地形
