code,label
3001,美術館
3002,資料館、記念館、博物館、科学館
3003,図書館
3004,水族館
3005,動植物園
9001,公共企業体・政府関係機関
9002,独立行政法人・大学共同利用機関法人
11100,国会
11101,会計検査院
11102,人事院
11103,内閣法制局
11110,内閣府
11111,内閣官房
11112,宮内庁
11113,金融庁
11114,公正取引委員会
11120,国家公安委員会
11121,警察庁
11130,防衛庁
11131,防衛施設庁
11140,総務省
11142,消防庁
11144,公害等調整委員会
11150,法務省
11151,検察庁
11152,公安調査庁
11153,公安審査委員会
11160,外務省
11161,外国公館
11170,財務省
11171,国税庁
11180,文部科学省
11181,文化庁
11190,厚生労働省
11191,社会保険庁
11192,中央労働委員会
11200,農林水産省
11202,林野庁
11203,水産庁
11210,経済産業省
11211,資源エネルギー庁
11212,特許庁
11213,中小企業庁
11220,国土交通省
11221,海上保安庁
11222,海難審判庁
11223,気象庁
11224,船員労働委員会
11230,環境省
11240,裁判所
12001,都道府県庁
12002,区役所（東京都）、市役所
12003,区役所（政令指定都市）
12004,町村役場
12005,都道府県の出先機関
13001,保健所
14001,都道府県警察本部
14002,警察署
14003,交番
14004,駐在所
14005,派出所
14006,警察学校（都道府県管轄）
15001,消防本部
15002,消防署
16001,小学校
16002,中学校
16003,中等教育学校
16004,高等学校
16005,高等専門学校
16006,短期大学
16007,大学
16008,盲学校
16009,ろう学校
16010,養護学校
16011,幼稚園
17001,一般病院、国立療養所、医療センター
17002,精神病院
17003,結核療養所
17004,伝染病院
17005,主要な診療所
17006,地域医療支援病院
18001,普通郵便局
18002,特定郵便局（集配局）
18003,特定郵便局（無集配局）
18004,簡易郵便局
18005,地域区分局
19001,老人福祉施設
19002,老人憩の家
19003,老人休養ホーム
19004,有料老人ホーム
19005,保護施設
19006,婦人保護施設
19007,身体障害者更生援護施設
19008,児童福祉施設
19009,知的障害者援護施設
19010,精神障害者社会復帰施設
19011,母子福祉施設
19012,その他の社会福祉施設
19013,保育所
19014,へき地保育所
19015,認可外保育施設
19016,認定保育施設
19017,事業所内保育施設
19018,小規模保育事業
19019,認可保育所
19020,保育所訪問支援
19021,認定こども園
19022,幼保連携型認定こども園
