code,label
03001,美術館
03002,資料館，記念館，博物館，科学館
03003,図書館
03004,水族館
03005,動植物園
09001,公共企業体・政府関係機関
09002,独立行政法人・大学共同利用機関法人
11100,国会
11101,会計検査院
11102,人事院
11103,内閣法制局
11110,内閣府
11111,内閣官房
11112,宮内庁
11113,金融庁
11114,公正取引委員会
11120,国家公安委員会
11121,警察庁
11130,防衛庁
11131,防衛施設庁
11140,総務省
11142,消防庁
11144,公害等調整委員会
11150,法務省
11151,検察庁
11152,公安調査庁
11153,公安審査委員会
11160,外務省
11161,外国公館
11170,財務省
11171,国税庁
11180,文部科学省
11181,文化庁
11190,厚生労働省
11191,社会保険庁
11192,中央労働委員会
11200,農林水産省
11202,林野庁
11203,水産庁
11210,経済産業省
11211,資源エネルギー庁
11212,特許庁
11213,中小企業庁
11220,国土交通省
11221,海上保安庁
11222,海難審判庁
11223,気象庁
11224,船員労働委員会
11230,環境省
11240,裁判所
12001,都道府県庁
12002,区役所（東京都），市役所
12003,区役所（政令指定都市）
12004,町村役場
12005,都道府県の出先機関
13001,保健所
16001,小学校
16002,中学校
16003,中等教育学校
16004,高等学校
16005,高等専門学校
16006,短期大学
16007,大学
16008,盲学校
16009,ろう学校
16010,養護学校
18001,普通郵便局
18002,特定郵便局（集配局）
18003,特定郵便局（無集配局）
18004,簡易郵便局
18005,地域区分局
