code,label
8101010001,天塩川
8101010002,ロクシナイ川
8101010003,トーウツナイ川
8101010004,サロベツ川
8101010005,オンネベツ川
8101010006,東オンネベツ川
8101010007,パンケオンネベツ川
8101010008,下エベコロベツ川
8101010009,福永川
8101010010,ペンケエベコロベツ川
8101010011,豊幌川
8101010012,清明川
8101010013,目梨別九線川
8101010014,原子の沢川
8101010015,中央ウブシ川
8101010016,北ウブシ川
8101010017,パンケウブシ川
8101010018,ペンケウブシ川
8101010019,宮園川
8101010020,パンケオポッペ川
8101010021,ペンケオポッペ川
8101010022,ペンケオートマップ川
8101010023,パンケオートマップ川
8101010024,円山ウブシ川
8101010025,東六線川
8101010026,円山赤川
8101010027,雄信内川
8101010028,七線沢川
8101010029,二十三号川
8101010030,三十号川
8101010031,南雄信内川
8101010032,問寒別川
8101010033,ヌカナン川
8101010034,ヌプカナイ川
8101010035,ヌポロマポロ川
8101010036,和田ノ沢川
8101010037,問寒二号川
8101010038,一線川
8101010039,ケナシポロ川
8101010040,パンケルペシュペ川
8101010041,ペンケルペシュぺ川
8101010042,十四線川
8101010043,十六線川
8101010044,アイカップ川
8101010045,コクネップ川
8101010046,宇戸内川
8101010047,パンケナイ川
8101010048,ペンケナイ川
8101010049,銅蘭川
8101010050,トヨマナイ川
8101010051,琴平川
8101010052,ニオ川
8101010053,サツコタン川
8101010054,ペンケシップ川
8101010055,安平志内川
8101010056,ルベシベ川
8101010057,知良志内川
8101010058,頓別坊川
8101010059,鬼刺辺川
8101010060,物満内川
8101010061,音威子府川
8101010062,天北川
8101010063,パンケサックル川
8101010064,ペンケサックル川
8101010065,ペペケナイ川
8101010066,シマロップ川
8101010067,オグルマナイ川
8101010068,オテレコッペ川
8101010069,美深パンケ川
8101010070,ウルベシ川
8101010071,雄木禽川
8101010072,十二線川
8101010073,美深川
8101010074,美深六線川
8101010075,西六線川
8101010076,美深五線川
8101010077,イオナイ川
8101010078,ペンケニウブ川
8101010161,新美深川
8101010079,ペンケ十号川
8101010080,智恵文川
8101010081,西村川
8101010082,智南川
8101010083,吉野川
8101010084,ピヤシリ川
8101010085,名寄川
8101010086,十線川
8101010087,矢文川
8101010088,下川パンケ川
8101010089,桑の沢川
8101010090,サンル川
8101010091,一ノ沢川
8101010092,サンル十二線川
8101010093,幌内越沢川
8101010094,下川ペンケ川
8101010095,三十二線川
8101010096,ウシネビラ川
8101010097,モサンル川
8101010098,シカリベツ川
8101010099,豊栄川
8101010100,旧豊栄川
