code,label
C01,都市整備区域
C02TT,都市開発区域.富山・高岡区域
C02KK,都市開発区域.金沢・小松区域
C02FS,都市開発区域.福井・坂井区域
C02NU,都市開発区域.長野・上田区域
C02ID,都市開発区域.伊那谷区域
C02G,都市開発区域.岐阜区域
C02T,都市開発区域.高山区域
C02HS,都市開発区域.東駿河湾区域
C02NS,都市開発区域.西駿河湾区域
C02E,都市開発区域.遠州区域
C02H,都市開発区域.東三河区域
C02IS,都市開発区域.伊勢区域
C02B,都市開発区域.琵琶湖東北部区域
C03CS,保全区域.中部山岳区域
C03HS,保全区域.白山区域
C03JK,保全区域.上信越高原区域
C03MA,保全区域.南アルプス区域
C03FI,保全区域.富士伊豆区域
C03IS,保全区域.伊勢志摩区域
C03NH,保全区域.能登半島区域
C03EK,保全区域.越前加賀海岸区域
C03YC,保全区域.八ヶ岳中信高原区域
C03HK,保全区域.飛騨木曽川区域
C03MW,保全区域.三河湾区域
C03S,保全区域.鈴鹿区域
C03TO,保全区域.天竜奥三河区域
C03CA,保全区域.中央アルプス区域
C03II,保全区域.揖斐伊吹区域
C03H,保全区域.浜名湖区域
C03AK,保全区域.愛知高原区域
C03AA,保全区域.赤目青山香肌峡区域
