code,label
K01,既成都市区域
K02K,近郊整備区域.京都地区
K02O,近郊整備区域.大阪地区
K02H,近郊整備区域.兵庫地区
K02N,近郊整備区域.奈良地区
K03F,都市開発区域.福井敦賀区域
K03BT,都市開発区域.琵琶湖東部区域
K03K,都市開発区域.京都中丹区域
K03B,都市開発区域.播磨区域
K03W,都市開発区域.和歌山区域
K03I,都市開発区域.伊賀区域
K04E,保全区域.越前海岸区域
K04W,保全区域.若狭湾区域
K04SU,保全区域.鈴鹿区域
K04A,保全区域.赤目室生月瀬区域
K04IS,保全区域.伊勢志摩区域
K04YO,保全区域.吉野熊野区域
K04B,保全区域.琵琶湖区域
K04SA,保全区域.山陰海岸区域
K04K,保全区域.京都区域
K04HO,保全区域.北摂連山区域
K04KON,保全区域.金剛生駒区域
K04IZ,保全区域.和泉葛城区域
K04SE,保全区域.瀬戸内海区域
K04R,保全区域.六甲区域
K04HY,保全区域.氷ノ山区域
K04HE,保全区域.平城山の辺区域
K04YA,保全区域.矢田斑鳩区域
K04F,保全区域.藤原飛鳥区域
K04KOY,保全区域.高野竜神区域
K04SH,保全区域.白浜田辺区域
K04KA,保全区域.枯木灘海岸区域
K05KY,近郊緑地保全区域.京都近郊緑地保全区域
K05H,近郊緑地保全区域.北摂連山近郊緑地保全区域
K05KO,近郊緑地保全区域.金剛生駒近郊緑地保全区域
K05I,近郊緑地保全区域.和泉葛城近郊緑地保全区域
K05R,近郊緑地保全区域.六甲近郊緑地保全区域
K05Y,近郊緑地保全区域.矢田斑鳩近郊緑地保全区域
K06KS,近郊緑地特別保全地区.小塩山近郊緑地特別保全地区
K06Y,近郊緑地特別保全地区.善峰寺近郊緑地特別保全地区
K06KN,近郊緑地特別保全地区.北中山近郊緑地特別保全地区
K06RN,近郊緑地特別保全地区.良元・生瀬近郊緑地特別保全地区
K06KK,近郊緑地特別保全地区.剱谷・苦楽園近郊緑地特別保全地区
K06E,近郊緑地特別保全地区.会下山近郊緑地特別保全地区
K06U,近郊緑地特別保全地区.打越山近郊緑地特別保全地区
K06B,近郊緑地特別保全地区.坊主山近郊緑地特別保全地区
K06MS,近郊緑地特別保全地区.摩耶・諏訪山近郊緑地特別保全地区
K06T,近郊緑地特別保全地区.高取近郊緑地特別保全地区
K06HS,近郊緑地特別保全地区.東須磨近郊緑地特別保全地区
K06NS,近郊緑地特別保全地区.西須磨近郊緑地特別保全地区
K06HB,近郊緑地特別保全地区.鉢伏山近郊緑地特別保全地区
K06S,近郊緑地特別保全地区.千刈近郊緑地特別保全地区
K06K,近郊緑地特別保全地区.鎌倉峡近郊緑地特別保全地区
K06TT,近郊緑地特別保全地区.帝釈丹生山近郊緑地特別保全地区
H06H,近郊緑地特別保全地区.ひよどりごえ近郊緑地特別保全地区
