code,label
S01,既成市街地
S02T,近郊整備区域.東京都
S02S,近郊整備区域.埼玉県
S02C,近郊整備区域.千葉県
S02K,近郊整備区域.神奈川県
S02I,近郊整備区域.茨城県
S03KF,都市開発区域.熊谷・深谷地区
S03KS,都市開発区域.古河・総和地区
S03I,都市開発区域.石岡地区
S03TU,都市開発区域.筑波地区
S03KO,都市開発区域.甲府地区
S03KA,都市開発区域.鹿島地区
S03MH,都市開発区域.水戸・日立地区
S03OT,都市開発区域.太田・館林地区
S03O,都市開発区域.大田原地区
S03C,都市開発区域.秩父地区
S03SU,都市開発区域.下館・結城地区
S03K,都市開発区域.桐生地区
S03U,都市開発区域.宇都宮地区
S03SA,都市開発区域.佐野・足利地区
S03TO,都市開発区域.栃木地区
S03OY,都市開発区域.小山地区
S03MT,都市開発区域.前橋・高崎地区
S03H,都市開発区域.本庄地区
S03TA,都市開発区域.土浦・阿見地区
S04T,近郊緑地保全区域.武山近郊緑地保全区域
S04KO,近郊緑地保全区域.衣笠・大楠山近郊緑地保全区域
S04ZH,近郊緑地保全区域.逗子・葉山近郊緑地保全区域
S04S,近郊緑地保全区域.相模原近郊緑地保全区域
S04TK,近郊緑地保全区域.多磨丘陵北部近郊緑地保全区域
S04TY,近郊緑地保全区域.滝山近郊緑地保全区域
S04SY,近郊緑地保全区域.狭山近郊緑地保全区域
S04A,近郊緑地保全区域.荒川近郊緑地保全区域
S04AG,近郊緑地保全区域.安行近郊緑地保全区域
S04HC,近郊緑地保全区域.東千葉近郊緑地保全区域
S04EK,近郊緑地保全区域.円海山・北鎌倉近郊緑地保全区域
S04U,近郊緑地保全区域.牛久沼近郊緑地保全区域
S04H,近郊緑地保全区域.平林寺近郊緑地保全区域
S04I,近郊緑地保全区域.入間近郊緑地保全区域
S04G,近郊緑地保全区域.行徳近郊緑地保全区域
S04KI,近郊緑地保全区域.剣崎・岩堂山近郊緑地保全区域
S04K,近郊緑地保全区域.君津近郊緑地保全区域
S04TS,近郊緑地保全区域.利根川・菅生沼近郊緑地保全区域
S05HC,近郊緑地特別保全地区.東千葉近郊緑地特別保全地区
S05SO,近郊緑地特別保全地区.三ヶ岡山近郊緑地特別保全地区
S05E,近郊緑地特別保全地区.円海山近郊緑地特別保全地区
S05G,近郊緑地特別保全地区.行徳近郊緑地特別保全地区
S05KO,近郊緑地特別保全地区.衣笠・大楠山近郊緑地特別保全地区
S05T,近郊緑地特別保全地区.武山近郊緑地特別保全地区
S05S,近郊緑地特別保全地区.相模原近郊緑地特別保全地区
S05H,近郊緑地特別保全地区.平林寺近郊緑地特別保全地区
S05SS,近郊緑地特別保全地区.相模横山・相模川近郊緑地特別保全地区
