code,label
1,東京
2,新横浜
3,小田原
101,上野
102,大宮
201,熊谷
202,本庄早稲田
301,有楽町
302,新橋
303,浜松町
304,田町
305,品川
306,大崎
307,五反田
308,目黒
309,恵比寿
310,渋谷
311,原宿
312,代々木
313,新宿
314,新大久保
315,高田馬場
316,目白
317,池袋
318,大塚
319,巣鴨
320,駒込
321,田端
322,西日暮里
323,日暮里
324,鶯谷
325,御徒町
326,秋葉原
327,神田
401,板橋
402,十条
403,赤羽
404,北赤羽
405,浮間舟渡
406,戸田公園
407,戸田
408,北戸田
409,武蔵浦和
410,中浦和
411,南与野
412,与野本町
413,北与野
501,日進
502,指扇
503,南古谷
504,川越
505,西川越
506,的場
507,笠幡
508,武蔵高萩
509,高麗川
601,与野
602,北浦和
603,浦和
604,南浦和
605,蕨
606,西川口
607,川口
608,東十条
609,王子
610,上中里
611,大井町
612,大森
613,蒲田
614,川崎
615,鶴見
616,新子安
617,東神奈川
618,横浜
619,桜木町
620,関内
621,石川町
622,山手
623,根岸
624,磯子
625,新杉田
626,洋光台
627,港南台
628,本郷台
629,大船
701,戸塚
702,藤沢
703,辻堂
704,茅ヶ崎
705,平塚
706,大磯
707,二宮
708,国府津
709,鴨宮
710,早川
711,根府川
712,真鶴
713,湯河原
801,西大井
802,新川崎
803,保土ヶ谷
804,東戸塚
805,北鎌倉
806,鎌倉
807,逗子
808,東逗子
809,田浦
810,横須賀
811,衣笠
812,久里浜
901,御茶ノ水
902,水道橋
903,飯田橋
904,市ヶ谷
905,四ッ谷
906,信濃町
907,千駄ヶ谷
908,大久保
909,東中野
910,中野
911,高円寺
912,阿佐ヶ谷
913,荻窪
914,西荻窪
915,吉祥寺
916,三鷹
917,武蔵境
918,東小金井
919,武蔵小金井
920,国分寺
921,西国分寺
922,国立
923,立川
924,日野
925,豊田
926,八王子
927,西八王子
928,高尾
929,相模湖
930,藤野
1001,尾久
1002,宮原
1003,上尾
1004,北上尾
1005,桶川
1006,北本
1007,鴻巣
1008,北鴻巣
1009,吹上
1010,行田
1011,籠原
1012,深谷
1013,岡部
1014,本庄
1015,神保原
1016,さいたま新都心
1101,土呂
1102,東大宮
1103,蓮田
1104,白岡
1105,新白岡
1106,久喜
1107,東鷲宮
1108,栗橋
1109,古河
1201,三河島
1202,南千住
1203,北千住
1204,綾瀬
1205,亀有
1206,金町
1207,松戸
1208,北松戸
1209,馬橋
1210,新松戸
1211,北小金
1212,南柏
1213,柏
1214,北柏
1215,我孫子
1216,天王台
1217,取手
1218,藤代
1219,佐貫
1220,牛久
1221,ひたち野うしく
1222,荒川沖
1223,土浦
1224,神立
1225,高浜
1226,石岡
1227,羽鳥
1301,浅草橋
1302,両国
1303,錦糸町
1304,亀戸
1305,平井
1306,新小岩
1307,小岩
1308,市川
1309,本八幡
1310,下総中山
1311,西船橋
1312,船橋
1313,東船橋
1314,津田沼
1315,幕張本郷
1316,幕張
1317,新検見川
1318,稲毛
1319,西千葉
1320,千葉
1321,新日本橋
1322,馬喰町
1323,東千葉
1324,都賀
1325,四街道
1326,物井
1327,佐倉
1328,南酒々井
1329,榎戸
1330,八街
1331,日向
1332,成東
1333,松尾
1334,横芝
1335,飯倉
1336,八日市場
1337,干潟
1338,旭
1339,飯岡
1340,倉橋
1341,猿田
1342,松岸
1343,銚子
1401,府中本町
1402,北府中
1403,新小平
1404,新秋津
1405,東所沢
1406,新座
1407,北朝霞
1408,西浦和
1409,東浦和
1410,東川口
1411,南越谷
1412,吉川
1413,新三郷
1414,三郷
1415,南流山
1416,新八柱
1417,市川大野
1418,船橋法典
1419,越谷レイクタウン
1501,尻手
1502,矢向
1503,鹿島田
1504,平間
1505,向河原
1506,武蔵小杉
1507,武蔵中原
1508,武蔵新城
1509,武蔵溝ノ口
1510,津田山
1511,久地
1512,宿河原
1513,登戸
1514,中野島
1515,稲田堤
1516,矢野口
1517,稲城長沼
1518,南多摩
1519,分倍河原
1520,谷保
1521,矢川
1522,西国立
1523,八丁畷
1524,川崎新町
1525,浜川崎
1601,国道
1602,鶴見小野
1603,弁天橋
1604,浅野
1605,安善
1606,武蔵白石
1607,昭和
1608,扇町
1609,新芝浦
1610,海芝浦
1611,大川
1701,大口
1702,菊名
1703,小机
1704,鴨居
1705,中山
1706,十日市場
1707,長津田
1708,成瀬
1709,町田
1710,古淵
1711,淵野辺
1712,矢部
1713,相模原
1714,橋本
1715,相原
1716,八王子みなみ野
1717,片倉
1801,北茅ヶ崎
1802,香川
1803,寒川
1804,宮山
1805,倉見
1806,門沢橋
1807,社家
1808,厚木
1809,海老名
1810,入谷
1811,相武台下
1812,下溝
1813,原当麻
1814,番田
1815,上溝
1816,南橋本
1901,下曽我
1902,上大井
1903,相模金子
1904,松田
1905,東山北
1906,山北
1907,谷峨
2001,西立川
2002,東中神
2003,中神
2004,昭島
2005,拝島
2006,牛浜
2007,福生
2008,羽村
2009,小作
2010,河辺
2011,東青梅
2012,青梅
2013,宮ノ平
2014,日向和田
2015,石神前
2016,二俣尾
2017,軍畑
2018,沢井
2019,御嶽
2020,川井
2021,古里
2022,鳩ノ巣
2023,白丸
2024,奥多摩
2101,熊川
2102,東秋留
2103,秋川
2104,武蔵引田
2105,武蔵増戸
2106,武蔵五日市
2201,北八王子
2202,小宮
2203,東福生
2204,箱根ヶ崎
2205,金子
2206,東飯能
2207,毛呂
2208,越生
2209,明覚
2210,小川町
2211,竹沢
2212,折原
2213,寄居
2214,用土
2215,松久
2216,児玉
2217,丹荘
2301,酒々井
2302,成田
2303,久住
2304,滑河
2305,下総神崎
2306,大戸
2307,佐原
2308,香取
2309,水郷
2310,小見川
2311,笹川
2312,下総橘
2313,下総豊里
2314,椎柴
2315,下総松崎
2316,安食
2317,小林
2318,木下
2319,布佐
2320,新木
2321,湖北
2322,東我孫子
2323,空港第２ビル
2324,成田空港
2401,十二橋
2402,潮来
2403,延方
2404,鹿島神宮
2501,本千葉
2502,蘇我
2503,浜野
2504,八幡宿
2505,五井
2506,姉ヶ崎
2507,長浦
2508,袖ヶ浦
2509,巌根
2510,木更津
2511,君津
2512,青堀
2513,大貫
2514,佐貫町
2515,上総湊
2516,竹岡
2517,浜金谷
2518,保田
2519,安房勝山
2520,岩井
2521,富浦
2522,那古船形
2523,館山
2524,九重
2525,千倉
2526,千歳
2527,南三原
2528,和田浦
2529,江見
2530,太海
2531,安房鴨川
2601,鎌取
2602,誉田
2603,土気
2604,大網
2605,永田
2606,本納
2607,新茂原
2608,茂原
2609,八積
2610,上総一ノ宮
2611,東浪見
2612,太東
2613,長者町
2614,三門
2615,大原
2616,浪花
2617,御宿
2618,勝浦
2619,鵜原
2620,上総興津
2621,行川アイランド
2622,安房小湊
2623,安房天津
2701,祇園
2702,上総清川
2703,東清川
2704,横田
2705,東横田
2706,馬来田
2707,下郡
2708,小櫃
2709,俵田
2710,久留里
2711,平山
2712,上総松丘
2713,上総亀山
2801,福俵
2802,東金
2803,求名
2901,八丁堀
2902,越中島
2903,潮見
2904,葛西臨海公園
2905,舞浜
2906,新浦安
2907,市川塩浜
2908,二俣新町
2909,南船橋
2910,新習志野
2911,海浜幕張
2912,検見川浜
2913,稲毛海岸
2914,千葉みなと
3001,泉岳寺
3002,北品川
3003,新馬場
3004,青物横丁
3005,鮫洲
3006,立会川
3007,大森海岸
3008,平和島
3009,大森町
3010,梅屋敷
3011,京急蒲田
3012,雑色
3013,六郷土手
3014,京急川崎
3015,鶴見市場
3016,京急鶴見
3017,花月園前
3018,生麦
3019,京急新子安
3020,子安
3021,神奈川新町
3022,仲木戸
3023,神奈川
3024,戸部
3025,日ノ出町
3026,黄金町
3027,南太田
3028,井土ヶ谷
3029,弘明寺
3030,上大岡
3031,屏風浦
3032,杉田
3033,京急富岡
3034,能見台
3035,金沢文庫
3036,金沢八景
3037,追浜
3038,京急田浦
3039,安針塚
3040,逸見
3041,汐入
3042,横須賀中央
3043,県立大学
3044,堀ノ内
3045,京急大津
3046,馬堀海岸
3047,浦賀
3101,新大津
3102,北久里浜
3103,京急久里浜
3104,ＹＲＰ野比
3105,京急長沢
3106,津久井浜
3107,三浦海岸
3108,三崎口
3111,糀谷
3112,大鳥居
3113,穴守稲荷
3114,羽田空港
3121,港町
3122,鈴木町
3123,川崎大師
3124,東門前
3125,産業道路
3126,小島新田
3131,六浦
3132,神武寺
3133,新逗子
3201,代官山
3202,中目黒
3203,祐天寺
3204,学芸大学
3205,都立大学
3206,自由が丘
3207,田園調布
3208,多摩川
3209,新丸子
3210,元住吉
3211,日吉
3212,綱島
3213,大倉山
3214,妙蓮寺
3215,白楽
3216,東白楽
3217,反町
3218,高島町
3301,不動前
3302,武蔵小山
3303,西小山
3304,洗足
3305,大岡山
3306,奥沢
3307,沼部
3308,鵜の木
3309,下丸子
3310,武蔵新田
3311,矢口渡
3401,下神明
3402,戸越公園
3403,中延
3404,荏原町
3405,旗の台
3406,北千束
3407,緑が丘
3408,九品仏
3409,尾山台
3410,等々力
3411,上野毛
3412,二子玉川
3501,池尻大橋
3502,三軒茶屋
3503,駒沢大学
3504,桜新町
3505,用賀
3506,二子新地
3507,高津
3508,溝の口
3509,梶が谷
3510,宮崎台
3511,宮前平
3512,鷺沼
3513,たまプラーザ
3514,あざみ野
3515,江田
3516,市が尾
3517,藤が丘
3518,青葉台
3519,田奈
3520,つくし野
3521,すずかけ台
3522,南町田
3523,つきみ野
3524,中央林間
3531,こどもの国
3532,恩田
3601,大崎広小路
3602,戸越銀座
3603,荏原中延
3604,長原
3605,洗足池
3606,石川台
3607,雪が谷大塚
