code,label
010002,声問川
010003,増幌川
010004,知来別川
010005,鬼志別川
010006,猿骨川
010007,猿払川
010008,頓別川
010009,豊寒別川
010010,エサシウエンナイ川
010011,北見幌別川
010012,徳志別川
010013,フーレップ川
010014,音標川
010015,幌内川
010016,雄武川
010017,興部川
010018,藻興部川
010019,藻鼈川
010020,シブノツナイ川
010021,佐呂間別川
010022,卯原内川
010023,車止内川
010024,藻琴川
010025,浦士別川
010026,止別川
010027,斜里川
010028,奥蘂別川
010029,羅臼川
010030,知西別川
010031,春苅古丹川
010032,植別川
010033,忠類川
010034,標津川
010035,春別川
010036,西別川
010037,風蓮川
010038,チョロベツ川
010039,星ガ浦川
010040,阿寒川
010041,庶路川
010042,茶路川
010043,和天別川
010044,音別川
010045,尺別川
010046,直別川
010047,厚内川
010048,湧洞川
010049,生花苗川
010050,当縁川
010051,歴舟川
010052,紋別川
010053,豊似川
010054,楽古川
010055,広尾川
010056,猿留川
010057,歌別川
010058,幌満川
010059,様似川
010060,海辺川
010061,日高幌別川
010062,赤川
010063,乳呑川
010064,向別川
010065,絵笛川
010066,元浦川
010067,ケリマイ川
010068,三石川
010069,布辻川
010070,捫別川
010071,静内川
010072,真沼津川
010073,新冠川
010074,厚別川
010075,慶能舞川
010076,波恵川
010077,日高門別川
010078,入鹿別川
010079,厚真川
010080,安平川
010081,幌内川
010082,苫小牧川
010083,錦多峰川
010084,別々川
010085,社台川
010086,白老川
010087,敷生川
010088,ポンアヨロ川
010089,登別川
010090,岡志別川
010091,胆振幌別川
010092,富岸川
010093,鷲別川
010094,チマイベツ川
010095,気仙川
010096,シャミチセ川
010097,気門別川
010098,長流川
010099,板谷川
010100,ベンベ川
010101,貫気別川
010102,小鉾岸川
010103,礼文華川
010104,長万部川
010105,紋別川
010106,国縫川
010107,遊楽部川
010108,野田追川
010109,落部川
010110,鳥崎川
010111,茅部中の川
010112,折戸川
010113,磯谷川
010114,大舟川
010115,矢尻川
010116,古武井川
010117,尻岸内川
010118,原木川
010119,熊別川
010120,戸井川
010121,汐泊川
010122,松倉川
010123,亀田川
010124,常盤川
010125,久根別川
010126,大野川
010127,戸切地川
010128,流渓川
010129,茂辺地川
010130,佐女川
010131,木古内川
010132,森越川
010133,知内川
010134,福島川
010135,白符川
010136,吉岡川
010137,及部川
010138,大松前川
010139,茂草川
010140,小鴨津川
010141,大鴨津川
010142,石崎川
010143,天野川
010144,厚沢部川
010145,姫川
010146,相沼内川
010147,見市川
010148,太櫓川
010149,馬場川
010150,千走川
010151,泊川
010152,太平川
010153,折川
010154,朱太川
010155,野束川
010156,堀株川
010157,玉川
010158,盃川
010159,古宇川
010160,積丹川
010161,美国川
010162,古平川
010163,沖村川
010164,湯内川
010165,梅川
010166,ヌッチ川
010167,余市川
010168,登川
010169,畚部川
010170,蘭島川
010171,塩谷川
010172,勝納川
010173,朝里川
010174,星置川
010175,新川
010176,旧知津狩川
010177,正利冠川
010178,望来川
010179,厚田川
010180,濃昼川
010181,浜益川
010182,郡別川
010183,幌川
010184,岩老川
010185,暑寒別川
010186,永寿川
010187,箸別川
010188,信砂川
010189,小平蘂川
010190,温寧川
010191,古丹別川
010192,羽幌川
010193,築別川
010194,茂築別川
010195,セタキナイ川
010196,初山別川
010197,茂初山別川
010198,風連別川
010199,オタコシベツ川
010200,遠別川
010201,ウツツ川
010202,青苗川
010203,タネトンナイ川
010204,大沢川
010205,チララウスナイ川
010207,エノシュコマナイ川
010208,イノコタンポ川
010209,オタコムシュベツ川
010211,オンネナイ川
010212,オビオショップ川
010213,コムニウシ川
010214,ハッタリ川
010215,汐見川
010216,オクネップ川
010217,風連別川
010218,野塚川
010219,音調津川
010220,門別川
010221,カネカリウシナイ川
010222,鵜苫川
010223,月寒川
010224,ウシュッペ川
010225,有良川
010226,有勢内川
010227,神山川
010228,稲荷川
010229,小泉の沢川
010230,小糸魚川
010231,覚生川
010232,樽前川
010234,クッタリウス川
010235,アヨロ川
010236,伏古別川
010237,富浦川
010238,ヤンケシ川
010240,本輪西川
010241,ポロペケレオタ川
010242,トコタン川
010243,鹿部川
010244,垣の島川
010245,尾札部川
010246,八木川
010247,見日川
010248,ポン木直川
010249,木直川
010250,志海苔川
010251,股瀬川
010252,白神川
010253,スズキの沢川
010254,荒谷川
010255,大沢川
010256,小松前川
010257,唐津内沢川
010258,大尽内川
010259,妻内川
010260,赤神川
010261,雨竜川
010262,大澗川
010263,二越川
010264,奥末川
010265,原口川
010266,小安在川
010267,大安在川
010268,緑川
010269,小茂内川
010270,突符川
010271,可笑内川
010272,花磯川
010273,貝取澗川
010275,熊碓川
010276,毘砂別川
010277,オネトマナイ川
010278,勇栄川
010279,勇知川
010280,メメナイ川
010281,抜海１線川
010282,クトネベツ川
010283,ウロンナイ川
010284,シュルコマナイ川
010285,トベンナイ川
010286,真言寺川
010287,オイショマナイ川
010288,富磯川
010289,宗谷川
010290,オンコロマナイ川
010291,清沢川
010292,珊内川
010293,鬼切別川
010294,知志矢川
010295,上知志矢川
010296,泊内川
010297,目梨川
010298,時前川
010299,下苗太路川
010300,シリナエ川
010301,ソセツ川
010302,ウバトマナイ川
010303,目梨泊川
010304,オケンタンベ川
010305,モウケシタンベ川
010306,落切川
010307,問牧川
010308,オキシュナイ川
010309,親潮川
010310,栄川
010311,ポロナイポ川
010312,トキワ沢川
010313,モウツ川
010314,オンネシトシスマリコタン
010315,岡島川
010316,黄金川
010317,オクヤラセナイ川
010318,オッチャラベツ川
010319,オタノワカナイ川
010320,オンネナイ川
010321,ウプシュナイ川
010322,ペラシュナイ川
010323,ミナミペラシュナイ川
010324,オレタラップ川
010325,モオレタラップ川
010326,ニウシナイポ川
010327,乙忠部川
010328,オニセップ川
010329,ベセトコマナイ川
010330,オニオマナイ川
010331,シャクネツナイ川
010332,シルコマナイ川
010333,オタルベン川
010334,ラバトナー川
010335,トイナイ川
010336,ウエンシテント川
010337,枝枝幸川
010338,オキシナイ川
010339,ポンオムシロナイ川
010340,フンベオムナイ川
010341,アチュウシナイ川
010342,音稲府川
010343,イウニコタニナイ川
010344,元稲府川
010347,ナヨロ川
010348,オタコムシュペツ川
010349,シケトチナイ川
010350,元沢木川
010351,御西川
010352,久富川
010353,ケミチカナイ川
010354,思沙留川
010355,一本松３線川
010356,フンベオマナイ川
010357,ヤッシュウナイ川
010358,オンネコムケナイ川
010359,大島川
010360,ミサキオンネナイ川
010361,モセウシナイ川
010362,ウラレナイ川
010363,バイラギ川
010364,ポンバイラギ川
010365,ピットカリ川
010366,駒場川
010367,オショプ川
010368,勇仁川
010369,那寄川
010370,ウエンベツ川
010371,西一線川
010372,シマトツカリ川
010373,糠真布川
010374,オライネコタン川
010375,オチカバケ川
010376,オタモイ川
010377,オショバオマブ川
010378,金山川
010379,チプラノケナイ川
010380,オンネベツ川
010381,シャリキ川
010382,オペケプ川
010383,チャラッセナイ川
010384,オショコマナイ川
