code,label
101,通所介護事業所
102,老人短期入所介護事業所
103,養護老人ホーム（一般）
104,養護老人ホーム（盲）
105,特別養護老人ホーム
106,軽費老人ホーム（ A型）
107,軽費老人ホーム（ B型）
108,軽費老人ホーム（介護利用型）
109,老人福祉センター（特 A型）
110,老人福祉センター（ A型）
111,老人福祉センター（ B型）
112,在宅介護支援センター
113,老人福祉センター
114,養護老人ホーム
115,軽費老人ホーム
116,軽費老人ホーム（ケアハウス）
117,軽費老人ホーム（Ａ型）
118,老人介護支援センター
119,在宅介護支援センター（老人介護支援センター )
120,県内在宅介護支援センター
201,老人憩いの家
202,老人休養ホーム
203,有料老人ホーム
204,生活支援ハウス（高齢者生活福祉センター）
205,介護老人保健施設
206,訪問看護ステーション
207,認知症対応型共同生活介護
208,軽費老人ホームＡ型・Ｂ型
209,特別養護老人ホーム（介護老人福祉施設）
210,認知症疾患医療センター
211,介護福祉士指定養成施設
212,老人デイサービスセンター
213,老人短期入所施設
214,短期入所生活介護
215,重度訪問介護
216,デイサービス
217,短期入所
218,通所介護（デイサービス）
219,ケアハウス
220,認知症対応型共同生活介護（グループホーム）
221,経過的生活介護
222,短期入所生活介護事業所
223,老人いこいの家
224,生活支援ハウス
226,老人憩の家（市町村）
227,老人福祉センター（市町村）
228,有料老人ホーム住所地特例
229,無料低額介護老人保健施設
230,老人デイサービスセンター（通所介護、介護予防通所介護）
231,経過的軽費老人ホーム（ A型）
232,老人デイサービスセンター (認知症対応型通所介護・介護予防認知症対応型通所介護）
233,認知症高齢者グループホーム
234,介護予防認知症対応型共同生活介護
235,地域密着型介護老人福祉施設入所者生活介護
236,地域密着型特定施設入所者生活介護
237,特別養護老人ホーム (介護老人福祉施設 )
238,認知症対応型通所介護
239,訪問介護看護
240,夜間対応型訪問介護
241,老人デイサービスセンター (デイサービス事業実施施設を含む。 )
242,老人憩の家
243,地域密着型介護老人福祉施設 (小規模特別養護老人ホーム )
244,指定認知症対応型通所介護事業所
245,指定介護老人福祉施設
246,指定地域密着型介護老人福祉施設
247,指定通所介護事業所
248,老人短期入所施設〔単独型指定短期入所生活介護〕
249,老人短期入所事業所〔併設型指定短期入所生活介護〕
250,重度訪問介護事業所
251,生活介護事業所
252,デイサービスセンター（指定通所介護事業所を含む）
253,老人（在宅）介護支援センター
254,デイサービスセンター
255,認知症対応型共同生活介護事業
256,有料老人ホーム（介護付）
257,有料老人ホーム（住宅型）
258,老人性認知症センター
259,老人福祉センター（その他）
260,生活介護（基準該当）
261,介護研修施設
262,老人デイサービスセンター（一般型）
263,老人デイサービスセンター（認知症対応型）
301,肢体不自由者更生施設
302,視覚障害者更生施設
303,聴覚・言語障害者更生施設
304,内部障害者更生施設
305,身体障害者療護施設
306,身体障害者授産施設
307,身体障害者通所授産施設
308,身体障害者小規模通所授産施設
