code,label
C01,都市整備区域
C02B,都市開発区域.琵琶湖東北部区域
C02E,都市開発区域.遠州区域
C02FS,都市開発区域.福井・坂井区域
C02G,都市開発区域.岐阜区域
C02H,都市開発区域.東三河区域
C02HS,都市開発区域.東駿河湾区域
C02ID,都市開発区域.伊那谷区域
C02IS,都市開発区域.伊勢区域
C02KK,都市開発区域.金沢・小松区域
C02NS,都市開発区域.西駿河湾区域
C02NU,都市開発区域.長野・上田区域
C02T,都市開発区域.高山区域
C02TT,都市開発区域.富山・高岡区域
C03AA,保全区域.赤目青山香肌峡区域
C03AK,保全区域.愛知高原区域
C03CA,保全区域.中央アルプス区域
C03CS,保全区域.中部山岳区域
C03EK,保全区域.越前加賀海岸区域
C03FI,保全区域.富士伊豆区域
C03H,保全区域.浜名湖区域
C03HK,保全区域.飛騨木曽川区域
C03HS,保全区域.白山区域
C03II,保全区域.揖斐伊吹区域
C03IS,保全区域.伊勢志摩区域
C03JK,保全区域.上信越高原区域
C03MA,保全区域.南アルプス区域
C03MW,保全区域.三河湾区域
C03NH,保全区域.能登半島区域
C03S,保全区域.鈴鹿区域
C03TO,保全区域.天竜奥三河区域
C03YC,保全区域.八ヶ岳中信高原区域
H06H,近郊緑地特別保全地区.ひよどりごえ近郊緑地特別保全地区
K01,既成都市区域
K02H,近郊整備区域.兵庫地区
K02K,近郊整備区域.京都地区
K02N,近郊整備区域.奈良地区
K02O,近郊整備区域.大阪地区
K03B,都市開発区域.播磨区域
K03BT,都市開発区域.琵琶湖東部区域
K03F,都市開発区域.福井敦賀区域
K03I,都市開発区域.伊賀区域
K03K,都市開発区域.京都中丹区域
K03W,都市開発区域.和歌山区域
K04A,保全区域.赤目室生月瀬区域
K04B,保全区域.琵琶湖区域
K04E,保全区域.越前海岸区域
K04F,保全区域.藤原飛鳥区域
K04HE,保全区域.平城山の辺区域
K04HO,保全区域.北摂連山区域
K04HY,保全区域.氷ノ山区域
K04IS,保全区域.伊勢志摩区域
K04IZ,保全区域.和泉葛城区域
K04K,保全区域.京都区域
K04KA,保全区域.枯木灘海岸区域
K04KON,保全区域.金剛生駒区域
K04KOY,保全区域.高野竜神区域
K04R,保全区域.六甲区域
K04SA,保全区域.山陰海岸区域
K04SE,保全区域.瀬戸内海区域
K04SH,保全区域.白浜田辺区域
K04SU,保全区域.鈴鹿区域
K04W,保全区域.若狭湾区域
K04YA,保全区域.矢田斑鳩区域
K04YO,保全区域.吉野熊野区域
K05H,近郊緑地保全区域.北摂連山近郊緑地保全区域
K05I,近郊緑地保全区域.和泉葛城近郊緑地保全区域
K05KO,近郊緑地保全区域.金剛生駒近郊緑地保全区域
K05KY,近郊緑地保全区域.京都近郊緑地保全区域
K05R,近郊緑地保全区域.六甲近郊緑地保全区域
K05Y,近郊緑地保全区域.矢田斑鳩近郊緑地保全区域
K06B,近郊緑地特別保全地区.坊主山近郊緑地特別保全地区
K06E,近郊緑地特別保全地区.会下山近郊緑地特別保全地区
K06HB,近郊緑地特別保全地区.鉢伏山近郊緑地特別保全地区
K06HS,近郊緑地特別保全地区.東須磨近郊緑地特別保全地区
K06K,近郊緑地特別保全地区.鎌倉峡近郊緑地特別保全地区
K06KK,近郊緑地特別保全地区.剱谷・苦楽園近郊緑地特別保全地区
K06KN,近郊緑地特別保全地区.北中山近郊緑地特別保全地区
K06KS,近郊緑地特別保全地区.小塩山近郊緑地特別保全地区
K06MS,近郊緑地特別保全地区.摩耶・諏訪山近郊緑地特別保全地区
K06NS,近郊緑地特別保全地区.西須磨近郊緑地特別保全地区
K06RN,近郊緑地特別保全地区.良元・生瀬近郊緑地特別保全地区
K06S,近郊緑地特別保全地区.千刈近郊緑地特別保全地区
K06T,近郊緑地特別保全地区.高取近郊緑地特別保全地区
K06TT,近郊緑地特別保全地区.帝釈丹生山近郊緑地特別保全地区
K06U,近郊緑地特別保全地区.打越山近郊緑地特別保全地区
K06Y,近郊緑地特別保全地区.善峰寺近郊緑地特別保全地区
S01,既成市街地
S02C,近郊整備区域.千葉県
S02I,近郊整備区域.茨城県
S02K,近郊整備区域.神奈川県
S02S,近郊整備区域.埼玉県
S02T,近郊整備区域.東京都
S03C,都市開発区域.秩父地区
S03H,都市開発区域.本庄地区
S03I,都市開発区域.石岡地区
S03K,都市開発区域.桐生地区
S03KA,都市開発区域.鹿島地区
S03KF,都市開発区域.熊谷・深谷地区
S03KO,都市開発区域.甲府地区
S03KS,都市開発区域.古河・総和地区
S03MH,都市開発区域.水戸・日立地区
S03MT,都市開発区域.前橋・高崎地区
S03O,都市開発区域.大田原地区
S03OT,都市開発区域.太田・館林地区
S03OY,都市開発区域.小山地区
S03SA,都市開発区域.佐野・足利地区
S03SU,都市開発区域.下館・結城地区
S03TA,都市開発区域.土浦・阿見地区
S03TO,都市開発区域.栃木地区
S03TU,都市開発区域.筑波地区
S03U,都市開発区域.宇都宮地区
S04A,近郊緑地保全区域.荒川近郊緑地保全区域
S04AG,近郊緑地保全区域.安行近郊緑地保全区域
S04EK,近郊緑地保全区域.円海山・北鎌倉近郊緑地保全区域
S04G,近郊緑地保全区域.行徳近郊緑地保全区域
S04H,近郊緑地保全区域.平林寺近郊緑地保全区域
S04HC,近郊緑地保全区域.東千葉近郊緑地保全区域
S04I,近郊緑地保全区域.入間近郊緑地保全区域
S04K,近郊緑地保全区域.君津近郊緑地保全区域
S04KI,近郊緑地保全区域.剣崎・岩堂山近郊緑地保全区域
S04KO,近郊緑地保全区域.衣笠・大楠山近郊緑地保全区域
S04S,近郊緑地保全区域.相模原近郊緑地保全区域
S04SY,近郊緑地保全区域.狭山近郊緑地保全区域
S04T,近郊緑地保全区域.武山近郊緑地保全区域
S04TK,近郊緑地保全区域.多磨丘陵北部近郊緑地保全区域
S04TS,近郊緑地保全区域.利根川・菅生沼近郊緑地保全区域
S04TY,近郊緑地保全区域.滝山近郊緑地保全区域
S04U,近郊緑地保全区域.牛久沼近郊緑地保全区域
S04ZH,近郊緑地保全区域.逗子・葉山近郊緑地保全区域
S05E,近郊緑地特別保全地区.円海山近郊緑地特別保全地区
S05G,近郊緑地特別保全地区.行徳近郊緑地特別保全地区
S05H,近郊緑地特別保全地区.平林寺近郊緑地特別保全地区
S05HC,近郊緑地特別保全地区.東千葉近郊緑地特別保全地区
S05KO,近郊緑地特別保全地区.衣笠・大楠山近郊緑地特別保全地区
S05S,近郊緑地特別保全地区.相模原近郊緑地特別保全地区
S05SO,近郊緑地特別保全地区.三ヶ岡山近郊緑地特別保全地区
S05SS,近郊緑地特別保全地区.相模横山・相模川近郊緑地特別保全地区
S05T,近郊緑地特別保全地区.武山近郊緑地特別保全地区
