id,name,codelist_id
A03,首都圏,SectionTypeCd_syuto
A03,中部圏,SectionTypeCd_cyubu
A03,近畿圏,SectionTypeCd_kinki
A03,首都圏,SectionCd_syuto
A03,中部圏,SectionCd_cyubu
A03,近畿圏,SectionCd_kinki
A09,都道府県コード,PrefCd
A09,支庁区分コード,SubprefectureNameCd
A09,都市地域区分コード,UrbanPlanningAreaCd_2019
A10,都道府県コード,PrefCd
A10,支庁区分コード,SubprefectureNameCd
A10,自然公園地域区分コード,NaturalParkAreaCd
A11,都道府県コード,PrefCd
A11,支庁区分コード,SubprefectureNameCd
A11,自然保全地域区分コード,NatureConservationAreaCd
A12,都道府県コード,PrefCd
A12,支庁区分コード,SubprefectureNameCd
A12,農業地域区分コード,AgriculturalAreaCd
A13,都道府県コード,PrefCd
A13,支庁区分コード,SubprefectureNameCd
A13,森林地域区分コード,ForestAreaCd
A15,都道府県コード,PrefCd
A16,都道府県コード,PrefCd
A17,過疎区分コード,KasoCd
A20,都道府県コード,PrefCd
A20,支庁区分コード,SubprefectureNameCd
A21,都道府県コード,PrefCd
A21,支庁区分コード,SubprefectureNameCd
A22-m,位置特定レベル,PosSpecificLevel
A22-m,集計単位フラグ,AggregateUnitFlag
A22,豪雪区分コード,HeavySnowTypeCode
A23,特殊土壌区分コード,TokusyudojyoCd-v3_0
A26,危険箇所種別コード,SedimentDisastersProneAreaCd
A27,行政コード,AdminAreaCd
A28,世界自然遺産コード,WorldHeritageCd
A29,行政コード,AdminAreaCd_R105
A29,用途地域分類コード,UseDistrictCd
A31,浸水深ランクコード,water_depth_code
A31,浸水継続時間ランクコード,flood_duration_code
A31,危険区域区分コード,hazardous_area_classification_code
A32,行政コード,AdminAreaCd
A33," 現象種別コード",CodeOfPhenomenon
A33," 区域コード",CodeOfZone_h27
A33," 都道府県コード",PrefCdA33
A33," 特別警戒区域未指定コード",CodeOfUnSpecification
A35a,都道府県コード,PrefCd
A35a,行政コード,AdminAreaCd
A35b,都道府県コード,PrefCd
A35b,行政コード,AdminAreaCd
A35c,都道府県コード,PrefCd
A35c,行政コード,AdminAreaCd
A37,行政コード,AdminAreaCd
A37,集計単位フラグ,AggUnitFlagEmerTransCd
A38,設定フラグ,SettingFlag
A39,不燃領域率定義コード,CodeNoncombustibleCd
A39,防災再開発促進地区指定コード,CodeDesignationCd
A42,「行政コード」,AdminAreaCd
A43,「行政コード」,AdminAreaCd
A44,「行政コード」,AdminAreaCd
A45,森林管理局コード,shinrinkanriCd
A45,森林管理署コード,shinrinkanriCd
A45,小班主番コード,shouhanshubanCd
A45,局名称コード,shinrinkanriCd
A45,署名称コード,shinrinkanriCd
A45,樹種コード,jushuCd
A45,林種の細分コード,rinshunosaibunCd
A45,機能類型コード,kinouruikeiCd
A45,保安林コード,hoanrinCd
A45,保護林コード,hogorinCd
A45,緑の回廊コード,midorinokairoCd
C02,港湾種別（1）コード,ClassHarbor1Cd
C02,港湾種別（2）コード,ClassHarbor2Cd
C02,港湾管理者区分コード,AdminHarborCd
C02,海事機関種別コード,MaritimeOrgCd
C02,都道府県コード,PrefCd
C09,漁港種別コード,ClassFishPortCd
C09,漁港管理者区分コード,FishPortAdminCd
C09,都道府県コード,PrefCd
C23,所管官庁コード,AdminSeaLineCd
C23,海岸保全区域・海岸管理者コード,AdminConAreaCd
C28,行政コード,AdminAreaCd
C28,空港種別コード,InstallAirPortCd-v2_3
C28,設置者・管理者コード,InstallAdminCd-v2_3
C28,定期便の有無コード,RegularFlightCd
G02,こちらのリスト,ClimateCd
G08,参照資料コード,ReferenceDataCd
L01,見出し番号,IndexNumL01-v1_1
L01,選定状況,SelectLandStatus-v1_1
L02," 見出し番号",IndexNumL02-v2_4
L02," 選定状況",SelectLandStatus-v2_4
L03-a,昭和51年度,LandUseCd-77
L03-a,昭和62年度,LandUseCd-88
L03-a,平成3年度、9年度、18年度,LandUseCd-YY
L03-a,平成21年度、26年度、平成28年度,LandUseCd-09
L03-a,昭和51年度,LandUseProperty-77
L03-a,昭和62年度,LandUseProperty-88
L03-a,平成3年度、9年度,LandUseProperty-92_98
L03-a,平成18年度,LandUseProperty-07
L03-a,平成21年度、26年度、28年度,LandUseProperty-09
L03-b-c,土地利用種別(平成21、26、28年度）,LandUseCd-09-u
L03-b-c,土地利用種別(平成21、26、28年度）,LandUseCd-09
L03-b-u,土地利用種別,LandUseCd-09-u
L03-b,土地利用種別（昭和51年度）,LandUseCd-77
L03-b,土地利用種別（昭和62年度）,LandUseCd-88
L03-b,土地利用種別（平成3年度、9年度、18年度）,LandUseCd-YY
L03-b,土地利用種別（21年度、26年度、28年度）,LandUseCd-09
L03-b,土地利用種別,LandUseCd-09
L05,行政コード,AdminAreaCd
L05,用途地域コード,useDistrict
N02,鉄道区分コード,RailwayClassCd
N02,事業者種別コード,InstitutionTypeCd
N03," 行政コード",AdminAreaCd
N05,事業者種別コード,RailwayClass2Cd
N05,変遷IDコード,RailwayTransitionCd
N05,こちら,transition_use
N06,変遷IDコード,HighwayTransitionCd
N06,路線種別コード,HighwayCatCd
N06,供用状況コード,HighwayUseCd
N06,接合部種別コード,HighwayConCd
N06,こちら,transition_use
N07,バス区分コード,BusClassCd
N08,行政コード,AdminAreaCd
N08,空港種別コード,AirportCatCd..html
N08,設置者・管理者コード,InstallAdminCd-v2_3
N08,定期便コード,RegularFlightCd
N08,ジェット化コード,AirJetCd
N08,供用状況コード,AirportUseCd
N08,変遷IDコード,AirportTransitionCd
N08,こちら,transition_use
N10,都道府県コード,PrefCd
N10,緊急輸送道路区分コード,UrgentRoadCd
N10,道路種別コード,RoadCategoryCd
N11,航空法分類コード,AviationActCd
N11,都道府県コード,PrefCd
P02,公共施設大分類コード,PubFacMaclassCd
P02,公共施設小分類コード,PubFacMiclassCd
P02,公共施設管理者コード,PubFacAdminCd
P03,工事中コード,underConstruction
P03,火力原動力コード,ThermalPowerEngine
P03,炉型コード,FurnaceType
P03,バイオマス発電種別コード,BiomassType
P04,医療機関分類コード,MedClassCd
P04,開設者分類コード,EstClassCd
P05,行政コード,AdminAreaCd
P05,施設分類コード,PubOfficeCd
P07,燃料店舗分類コード,FuelStoreCd
P11,バス区分コード,BusClassCd
P12,都道府県コード,PrefCd
P12,行政コード,AdminAreaCd
P12,観光資源分類コード,tourismResourceCategoryCd
P13,公園種別コード,CityParkCd
P14,公共施設大分類コード,PubFacMaclassCd
P14,公共施設小分類コード,PubFacMiclassCd_wf
P14,福祉施設細分類コード,WelfareFacMiclassCd
P14,管理者コード,PubFacAdminCd
P15,施設種別コード,FacilitiesClassificationCd
P16,主体コードリスト,ResearchInstitutionCd
P18,種別コード,PoliceStationCd
P19,類型コード,NaturalsceneCd
P19,自然景観資源分類コード,NaturalfeatureCd
P26,行政コード,AdminAreaCd
P26,事業手法コード,BusinessTechCd
P27,行政コード,AdminAreaCd
P27,公共施設大分類コード,PubFacMaclassCd
P27,公共施設小分類コード,PubFacMinclassCd
P27,文化施設分類コード,CultureFacCd
P27,管理者コード,AdminCd
P28,行政コード,AdminAreaCd
P28,公共施設大分類コード,PubFacMaclassCd
P28,公共施設小分類コード,PubFacMinclassCd
P28,国・都道府県の機関分類コード,FacClassCd
P28,管理者コード,AdminCd
P29,行政コード,AdminAreaCd
P29,公共施設大分類コード,PubFacMaclassCd
P29,公共施設小分類コード,PubFacMinclassCd
P29,学校分類コード,SchoolClassCd
P29,管理者コード,AdminCd
P30,行政コード,AdminAreaCd
P30,公共施設大分類コード,PubFacMaclassCd
P30,公共施設小分類コード,PubFacMinclassCd
P30,郵便局分類コード,postOfficeCd
P30,管理者コード,AdminCd
P31,種別コード,DistributionCenterCd
P31,分類コード,DistributionCd
P31,都道府県コード,PrefCd
P31,事業者分類コード,EntrepreneurCd
P32,都道府県コード,PrefCd
P32,種別大区分コード,LargeClassificationCd
P32,種別小区分コード,SmallClassificationCd
P32,代表点区分コード,PointClassificationCd
P33,行政コード,AdminAreaCd
P33,都道府県コード,PrefCd
P33,施設区分コード,facilityTypeCode
P33,公民館の種別コード,communityCenterType
P33,代表点区分コード,pointClassificationCode
P34,行政コード,AdminAreaCd
P34,施設分類コード,PubOfficeClassCd
P35,「行政コード」,AdminAreaCd
S05-a,都市圏コード,PTAreaCd
S05-a,発生集中コード,TripGenerationCd
S05-a,東京都市圏ゾーンコード,TokyoAreaZoneCd
S05-a,近畿圏H12年度ゾーンコード,KeihanshinAreaZoneCd
S05-a,近畿圏H22年度ゾーンコード,KinkiAreaZoneCd
S05-a,中京都市圏H13年度ゾーンコード」「H23年度ゾーンコード,ChukyoAreaZoneCd
S05-b,都市圏コード,PTAreaCd
S05-b,東京都市圏ゾーンコード,TokyoAreaZoneCd
S05-b,近畿圏H12年度ゾーンコード,KeihanshinAreaZoneCd
S05-b,近畿圏H22年度ゾーンコード,KinkiAreaZoneCd
S05-b,中京都市圏H13年度ゾーンコード」「H23年度ゾーンコード,ChukyoAreaZoneCd
S05-c,東京都市圏駅コード,TokyoAreaStationCd
S05-c,近畿圏H12年度駅コード,KeihanshinAreaStationCd
S05-c,近畿圏H22年度駅コード,KinkiAreaStationCd
S10a,大分類項目,PortRouteCd
S10a,中分類項目,PortRouteCd
S10a,こちらのリスト,PortRouteCd
S12," 鉄道区分コード",RailwayClassCd
S12," 事業者種別コード",InstitutionTypeCd
S12," 重複コード",RailwayDuplicateCd
S12," データ有無コード",RailwayExistenceCd
W01,ダム形式コード,DamTypeCd
W01,ダム目的コード,DamPurposeCd
W01,ダム事業者コード,DamInstitutionCd
W01,位置情報精度コード,LocationAccuracyCd
W05,水系域コード種別,WaterSystemCodeCd
W05,河川コード種別,RiverCodeCd
W05,原典資料種別コード,OriginalDataCodeCd
W07,水系域コード種別,WaterSystemCodeCd
W07,河川コード種別,RiverCodeCd
