name,code,description,type,codelist
半島振興対策実施地域ID,A18_001,NA,文字列型,NA
行政コード,A18_002,NA,行政コード,NA
都道府県名,A18_003,NA,文字列型,NA
支庁名,A18_004,NA,文字列型,NA
郡・政令市名,A18_005,NA,文字列型,NA
市区町村名,A18_006,NA,文字列型,NA
指定地域名,A18_007,NA,文字列型,NA
指定状況コード,A18_008,NA,指定状況コード,NA
調査年度,A18_009,NA,時間型,NA
概要　人口,A18_010,NA,整数型,NA
概要　世帯数,A18_011,NA,整数型,NA
男　国勢調査人口総数,A18_012,NA,整数型,NA
男　年少人口　0-4,A18_013,NA,整数型,NA
男　年少人口　5-9,A18_014,NA,整数型,NA
男　年少人口　10-14,A18_015,NA,整数型,NA
男　年少人口　小計,A18_016,NA,整数型,NA
男　生産年齢人口　15-19,A18_017,NA,整数型,NA
男　生産年齢人口　20-24,A18_018,NA,整数型,NA
男　生産年齢人口　25-29,A18_019,NA,整数型,NA
男　生産年齢人口　30-34,A18_020,NA,整数型,NA
男　生産年齢人口　35-39,A18_021,NA,整数型,NA
男　生産年齢人口　40-44,A18_022,NA,整数型,NA
男　生産年齢人口　45-49,A18_023,NA,整数型,NA
男　生産年齢人口　50-54,A18_024,NA,整数型,NA
男　生産年齢人口　55-59,A18_025,NA,整数型,NA
男　生産年齢人口　60-64,A18_026,NA,整数型,NA
男　生産年齢人口　小計,A18_027,NA,整数型,NA
男　老年人口　65-69,A18_028,NA,整数型,NA
男　老年人口　70-74,A18_029,NA,整数型,NA
男　老年人口　75-79,A18_030,NA,整数型,NA
男　老年人口　80-84,A18_031,NA,整数型,NA
男　老年人口　85歳以上,A18_032,NA,整数型,NA
男　老年人口　小計,A18_033,NA,整数型,NA
男　不詳　,A18_034,NA,整数型,NA
女　国勢調査人口総数　,A18_035,NA,整数型,NA
女　年少人口　0-4,A18_036,NA,整数型,NA
女　年少人口　5-9,A18_037,NA,整数型,NA
女　年少人口　10-14,A18_038,NA,整数型,NA
女　年少人口　小計,A18_039,NA,整数型,NA
女　生産年齢人口　15-19,A18_040,NA,整数型,NA
女　生産年齢人口　20-24,A18_041,NA,整数型,NA
女　生産年齢人口　25-29,A18_042,NA,整数型,NA
女　生産年齢人口　30-34,A18_043,NA,整数型,NA
女　生産年齢人口　35-39,A18_044,NA,整数型,NA
女　生産年齢人口　40-44,A18_045,NA,整数型,NA
女　生産年齢人口　45-49,A18_046,NA,整数型,NA
女　生産年齢人口　50-54,A18_047,NA,整数型,NA
女　生産年齢人口　55-59,A18_048,NA,整数型,NA
女　生産年齢人口　60-64,A18_049,NA,整数型,NA
女　生産年齢人口　小計,A18_050,NA,整数型,NA
女　老年人口　65-69,A18_051,NA,整数型,NA
女　老年人口　70-74,A18_052,NA,整数型,NA
女　老年人口　75-79,A18_053,NA,整数型,NA
女　老年人口　80-84,A18_054,NA,整数型,NA
女　老年人口　85歳以上,A18_055,NA,整数型,NA
女　老年人口　小計,A18_056,NA,整数型,NA
女　不詳　,A18_057,NA,整数型,NA
男女計　国勢調査人口総数　,A18_058,NA,整数型,NA
男女計　年少人口　0-4,A18_059,NA,整数型,NA
男女計　年少人口　5-9,A18_060,NA,整数型,NA
男女計　年少人口　10-14,A18_061,NA,整数型,NA
男女計　年少人口　小計,A18_062,NA,整数型,NA
男女計　生産年齢人口　15-19,A18_063,NA,整数型,NA
男女計　生産年齢人口　20-24,A18_064,NA,整数型,NA
男女計　生産年齢人口　25-29,A18_065,NA,整数型,NA
男女計　生産年齢人口　30-34,A18_066,NA,整数型,NA
男女計　生産年齢人口　35-39,A18_067,NA,整数型,NA
男女計　生産年齢人口　40-44,A18_068,NA,整数型,NA
男女計　生産年齢人口　45-49,A18_069,NA,整数型,NA
男女計　生産年齢人口　50-54,A18_070,NA,整数型,NA
男女計　生産年齢人口　55-59,A18_071,NA,整数型,NA
男女計　生産年齢人口　60-64,A18_072,NA,整数型,NA
男女計　生産年齢人口　小計,A18_073,NA,整数型,NA
男女計　老年人口　65-69,A18_074,NA,整数型,NA
男女計　老年人口　70-74,A18_075,NA,整数型,NA
男女計　老年人口　75-79,A18_076,NA,整数型,NA
男女計　老年人口　80-84,A18_077,NA,整数型,NA
男女計　老年人口　85歳以上,A18_078,NA,整数型,NA
男女計　老年人口　小計,A18_079,NA,整数型,NA
男女計　不詳　,A18_080,NA,整数型,NA
就業者数　就業者総数　,A18_081,NA,整数型,NA
就業者数　第1次　農業,A18_082,NA,整数型,NA
就業者数　第1次　農業、林業,A18_083,NA,整数型,NA
就業者数　第1次　農業、林業（うち農業）,A18_084,NA,整数型,NA
就業者数　第1次　林業,A18_085,NA,整数型,NA
就業者数　第1次　漁業,A18_086,NA,整数型,NA
就業者数　第1次　小計,A18_087,NA,整数型,NA
就業者数　第2次　鉱業,A18_088,NA,整数型,NA
就業者数　第2次　鉱業，採石業，砂利採取業,A18_089,NA,整数型,NA
就業者数　第2次　建設業,A18_090,NA,整数型,NA
就業者数　第2次　製造業,A18_091,NA,整数型,NA
就業者数　第2次　小計,A18_092,NA,整数型,NA
就業者数　第3次　電気・ガス・熱供給・水道業,A18_093,NA,整数型,NA
就業者数　第3次　運輸・通信業,A18_094,NA,整数型,NA
就業者数　第3次　情報・通信業,A18_095,NA,整数型,NA
就業者数　第3次　運輸業,A18_096,NA,整数型,NA
就業者数　第3次　運輸業、郵便業,A18_097,NA,整数型,NA
就業者数　第3次　卸売・小売業・飲食店,A18_098,NA,整数型,NA
就業者数　第3次　卸売・小売業,A18_099,NA,整数型,NA
就業者数　第3次　金融・保険業,A18_100,NA,整数型,NA
就業者数　第3次　不動産業,A18_101,NA,整数型,NA
就業者数　第3次　不動産業、物品賃貸業,A18_102,NA,整数型,NA
就業者数　第3次　学術研究，専門・技術サービス業,A18_103,NA,整数型,NA
就業者数　第3次　飲食店・宿泊業,A18_104,NA,整数型,NA
就業者数　第3次　宿泊業，飲食サービス業　,A18_105,NA,整数型,NA
就業者数　第3次　生活関連サービス業，娯楽業,A18_106,NA,整数型,NA
就業者数　第3次　医療･福祉,A18_107,NA,整数型,NA
就業者数　第3次　教育・学習支援業,A18_108,NA,整数型,NA
就業者数　第3次　複合サービス事業,A18_109,NA,整数型,NA
就業者数　第3次　サービス業,A18_110,NA,整数型,NA
就業者数　第3次　公務,A18_111,NA,整数型,NA
就業者数　第3次　小計,A18_112,NA,整数型,NA
就業者数　分類不能　,A18_113,NA,整数型,NA
調査年度,A18_114,NA,時間型,NA
事業所　全産業,A18_115,NA,整数型,NA
事業所　全産業（S公務を除く）,A18_116,NA,整数型,NA
事業所　農林漁業,A18_117,NA,整数型,NA
事業所　非農林漁業1,A18_118,NA,整数型,NA
事業所　非農林漁業2,A18_119,NA,整数型,NA
事業所　鉱業,A18_120,NA,整数型,NA
事業所　鉱業、採石業、砂利採取業,A18_121,NA,整数型,NA
事業所　建設業,A18_122,NA,整数型,NA
事業所　製造業,A18_123,NA,整数型,NA
事業所　電気・ガス・熱供給・水道業,A18_124,NA,整数型,NA
事業所　運輸・通信業,A18_125,NA,整数型,NA
事業所　情報・通信業,A18_126,NA,整数型,NA
事業所　運輸業,A18_127,NA,整数型,NA
事業所　運輸業、郵便業,A18_128,NA,整数型,NA
事業所　卸売・小売業・飲食業,A18_129,NA,整数型,NA
事業所　卸売・小売業,A18_130,NA,整数型,NA
事業所　金融・保険業,A18_131,NA,整数型,NA
事業所　不動産業,A18_132,NA,整数型,NA
事業所　 不動産業、物品賃貸業,A18_133,NA,整数型,NA
事業所　学術研究、専門・技術サービス業,A18_134,NA,整数型,NA
事業所　飲食店・宿泊業,A18_135,NA,整数型,NA
事業所　宿泊業、飲食サービス業,A18_136,NA,整数型,NA
事業所　生活関連サービス業、娯楽業,A18_137,NA,整数型,NA
事業所　医療･福祉,A18_138,NA,整数型,NA
事業所　教育・学習支援業,A18_139,NA,整数型,NA
事業所　複合サービス事業,A18_140,NA,整数型,NA
事業所　サービス業,A18_141,NA,整数型,NA
事業所　公務,A18_142,NA,整数型,NA
事業所　1～4人,A18_143,NA,整数型,NA
事業所　5～9人,A18_144,NA,整数型,NA
事業所　10～19人,A18_145,NA,整数型,NA
事業所　20～29人,A18_146,NA,整数型,NA
事業所　30人以上,A18_147,NA,整数型,NA
事業所　派遣・下請従業者のみ,A18_148,NA,整数型,NA
事業所　経営組織別事業所数（民営事業所）,A18_149,NA,整数型,NA
事業所　事業所の形態別事業所数（民営事業所）,A18_150,NA,整数型,NA
事業所　うち個人,A18_151,NA,整数型,NA
事業所　うち法人,A18_152,NA,整数型,NA
事業所　うち会社,A18_153,NA,整数型,NA
事業所　店舗・飲食店,A18_154,NA,整数型,NA
事業所　事務所・営業所,A18_155,NA,整数型,NA
事業所　工場・作業所・鉱業所,A18_156,NA,整数型,NA
事業所　輸送センター・配送センター・これらの倉庫,A18_157,NA,整数型,NA
事業所　自家用倉庫・自家用油槽所,A18_158,NA,整数型,NA
事業所　外見上一般の住居と区別しにくい事業所,A18_159,NA,整数型,NA
事業所　その他（学校・病院・寺社・旅館・浴場など）,A18_160,NA,整数型,NA
