name,code,description,type,codelist
離島振興対策実施地域ID,A19_001,NA,文字列型,NA
行政コード,A19_002,NA,行政コード,NA
都道府県名,A19_003,NA,文字列型,NA
支庁名,A19_004,NA,文字列型,NA
郡・政令市名,A19_005,NA,文字列型,NA
市区町村名,A19_006,NA,文字列型,NA
指定地域名,A19_007,NA,文字列型,NA
島嶼名,A19_008,NA,文字列型,NA
離島区分コード,A19_009,NA,離島区分コード,NA
指定状況コード,A19_010,NA,指定状況コード,NA
調査年度,A19_011,NA,時間型,NA
概要　(name),A19_012,NA,文字列型,NA
概要　指定回次,A19_013,NA,整数型,NA
概要　郡名,A19_014,NA,文字列型,NA
概要　人口,A19_015,NA,整数型,NA
概要　世帯数,A19_016,NA,整数型,NA
概要　面積,A19_017,NA,実数型,NA
概要　海岸延長,A19_018,NA,実数型,NA
概要　備考,A19_019,NA,文字列型,NA
前年　住民登録人口　男,A19_020,NA,整数型,NA
前年　住民登録人口　女,A19_021,NA,整数型,NA
前年　住民登録人口　計,A19_022,NA,整数型,NA
前年　世帯数　,A19_023,NA,整数型,NA
人口移動　出生数　,A19_024,NA,整数型,NA
人口移動　死亡数　,A19_025,NA,整数型,NA
人口移動　自然増△減　,A19_026,NA,整数型,NA
人口移動　転入数　,A19_027,NA,整数型,NA
人口移動　転出数　,A19_028,NA,整数型,NA
人口移動　社会増△減　,A19_029,NA,整数型,NA
人口移動　増減計　,A19_030,NA,整数型,NA
現年　住民登録人口　男,A19_031,NA,整数型,NA
現年　住民登録人口　女,A19_032,NA,整数型,NA
現年　住民登録人口　計,A19_033,NA,整数型,NA
現年　世帯数　,A19_034,NA,整数型,NA
人口・世帯数・人口動態　備考,A19_035,NA,文字列型,NA
男　国勢調査人口総数,A19_036,NA,整数型,NA
男　年少人口　0-4,A19_037,NA,整数型,NA
男　年少人口　5-9,A19_038,NA,整数型,NA
男　年少人口　10-14,A19_039,NA,整数型,NA
男　年少人口　小計,A19_040,NA,整数型,NA
男　生産年齢人口　15-19,A19_041,NA,整数型,NA
男　生産年齢人口　20-24,A19_042,NA,整数型,NA
男　生産年齢人口　25-29,A19_043,NA,整数型,NA
男　生産年齢人口　30-34,A19_044,NA,整数型,NA
男　生産年齢人口　35-39,A19_045,NA,整数型,NA
男　生産年齢人口　40-44,A19_046,NA,整数型,NA
男　生産年齢人口　45-49,A19_047,NA,整数型,NA
男　生産年齢人口　50-54,A19_048,NA,整数型,NA
男　生産年齢人口　55-59,A19_049,NA,整数型,NA
男　生産年齢人口　60-64,A19_050,NA,整数型,NA
男　生産年齢人口　小計,A19_051,NA,整数型,NA
男　老年人口　65-69,A19_052,NA,整数型,NA
男　老年人口　70-74,A19_053,NA,整数型,NA
男　老年人口　75-79,A19_054,NA,整数型,NA
男　老年人口　80-84,A19_055,NA,整数型,NA
男　老年人口　85歳以上,A19_056,NA,整数型,NA
男　老年人口　小計,A19_057,NA,整数型,NA
男　不詳　,A19_058,NA,整数型,NA
男　生産年齢人口指数　,A19_059,NA,実数型,NA
男　老齢化率　,A19_060,NA,実数型,NA
女　国勢調査人口総数　,A19_061,NA,整数型,NA
女　年少人口　0-4,A19_062,NA,整数型,NA
女　年少人口　5-9,A19_063,NA,整数型,NA
女　年少人口　10-14,A19_064,NA,整数型,NA
女　年少人口　小計,A19_065,NA,整数型,NA
女　生産年齢人口　15-19,A19_066,NA,整数型,NA
女　生産年齢人口　20-24,A19_067,NA,整数型,NA
女　生産年齢人口　25-29,A19_068,NA,整数型,NA
女　生産年齢人口　30-34,A19_069,NA,整数型,NA
女　生産年齢人口　35-39,A19_070,NA,整数型,NA
女　生産年齢人口　40-44,A19_071,NA,整数型,NA
女　生産年齢人口　45-49,A19_072,NA,整数型,NA
女　生産年齢人口　50-54,A19_073,NA,整数型,NA
女　生産年齢人口　55-59,A19_074,NA,整数型,NA
女　生産年齢人口　60-64,A19_075,NA,整数型,NA
女　生産年齢人口　小計,A19_076,NA,整数型,NA
女　老年人口　65-69,A19_077,NA,整数型,NA
女　老年人口　70-74,A19_078,NA,整数型,NA
女　老年人口　75-79,A19_079,NA,整数型,NA
女　老年人口　80-84,A19_080,NA,整数型,NA
女　老年人口　85歳以上,A19_081,NA,整数型,NA
女　老年人口　小計,A19_082,NA,整数型,NA
女　不詳　,A19_083,NA,整数型,NA
女　生産年齢人口指数　,A19_084,NA,実数型,NA
女　老齢化率　,A19_085,NA,実数型,NA
男女計　国勢調査人口総数　,A19_086,NA,整数型,NA
男女計　年少人口　0-4,A19_087,NA,整数型,NA
男女計　年少人口　5-9,A19_088,NA,整数型,NA
男女計　年少人口　10-14,A19_089,NA,整数型,NA
男女計　年少人口　小計,A19_090,NA,整数型,NA
男女計　生産年齢人口　15-19,A19_091,NA,整数型,NA
男女計　生産年齢人口　20-24,A19_092,NA,整数型,NA
男女計　生産年齢人口　25-29,A19_093,NA,整数型,NA
