id,name,code,description,type
A24,振興山村ID,A24_001,振興山村指定地域を一意に識別するためのコード,文字列型
A24,行政区域コード,A24_002,都道府県コードと市区町村コードからなる，行政区を特定するためのコード,コードリスト「行政コード」
A24,都道府県名,A24_003,データ整備時点の当該区域を含む都道府県名称,文字列型
A24,支庁・振興局名,A24_004,データ整備時点の当該区域を含む北海道の振興局の名称,文字列型
A24,郡・政令都市名,A24_005,データ整備時点の当該区域を含む郡・政令都市名称,文字列型
A24,市区町村名,A24_006,データ整備時点の市区町村名称,文字列型
A24,原典市区町村名,A24_007,原典資料が作成された時点の当該区域を含む市区町村名称,文字列型
A24,合併前市町村名,A24_008,平成11年3月31日時点の当該区域を含む市区町村名称,文字列型
A24,旧市町村名,A24_009,昭和25年2月1日時点の当該区域を含む市区町村名称,文字列型
A24,指定年度,A24_010,地域が指定された年度（西暦）,時間型（TM_Instant）
A24,指定番号,A24_011,地域指定時に付与された番号,整数型（Integer）
