id,name,code,description,type,codelist
A30a5,発生場所（都道府県）,A30a5_001,当該土砂災害や雪崩が発生した都道府県名,文字型,FALSE
A30a5,発生場所（郡・市・区・町・村）,A30a5_002,当該土砂災害や雪崩が発生した市区町村名,文字型,FALSE
A30a5,発生日,A30a5_003,当該土砂災害や雪崩が発生した年月日,文字型,FALSE
A30a5,災害の種類,A30a5_004,当該土砂災害や雪崩の詳細な種類,列挙型,FALSE
A30a5,最大24時間雨量,A30a5_005,当該土砂災害や雪崩が発生した際の24時間雨量の最大値（mm/24hr）,実数型,FALSE
A30a5,最大時間雨量,A30a5_006,当該土砂災害や雪崩が発生した際の1時間雨量の最大値（mm/hr）,実数型,FALSE
A30a5,勾配,A30a5_007,当該土砂災害や雪崩が発生した際の斜面勾配（○度もしくは１／○）,整数型,FALSE
A30a5,流出土砂量,A30a5_008,当該土砂災害や雪崩が発生した際に流出した土砂量（ｍ3）,整数型,FALSE
A30a5,地すべり・雪崩の長さ,A30a5_009,当該土砂災害や雪崩が発生した際の移動長さ（ｍ）,整数型,FALSE
A30a5,空間属性（メッシュ）,A30a5_010,当該土砂災害や雪崩の発生位置を示すメッシュ番号,整数型,FALSE
