id,name,code,description,type,codelist
A30b,竜巻等の突風番号,A30b_001,NA,整数型,FALSE
A30b,竜巻ダウンバースト区別,A30b_002,竜巻・ダウンバーストの区別,列挙型,FALSE
A30b,発生_日時,A30b_003,竜巻やダウンバースト等の突風が発生した日時,文字型,FALSE
A30b,発生_誤差,A30b_004,竜巻やダウンバースト等の突風が発生した日時の誤差範囲,文字型,FALSE
A30b,発生_都道府県名,A30b_005,竜巻やダウンバースト等の突風が発生した都道府県名,文字型,FALSE
A30b,発生_市区町村名,A30b_006,竜巻やダウンバースト等の突風が発生した市区町村名,文字型,FALSE
A30b,発生_番地,A30b_007,竜巻やダウンバースト等の突風が発生した番地,文字型,FALSE
A30b,消滅_日時,A30b_008,竜巻やダウンバースト等の突風が消滅した日時,文字型,FALSE
A30b,消滅_誤差,A30b_009,竜巻やダウンバースト等の突風が消滅した日時の誤差範囲,文字型,FALSE
A30b,消滅_都道府県名,A30b_010,竜巻やダウンバースト等の突風が消滅した都道府県名,文字型,FALSE
A30b,消滅_市区町村名,A30b_011,竜巻やダウンバースト等の突風が消滅した市区町村名,文字型,FALSE
A30b,消滅_番地,A30b_012,竜巻やダウンバースト等の突風が消滅した番地,文字型,FALSE
A30b,藤田スケール（Fスケール）,A30b_013,竜巻やダウンバースト等の風速を、構造物などの被害調査から簡便に推定するために、シカゴ大学の藤田哲也氏により1971年に考案された風速のスケール,列挙型,FALSE
A30b,被害域_幅,A30b_014,当該竜巻等の突風による被害域の幅（ｍ）,文字型,FALSE
A30b,被害域_長さ,A30b_015,当該竜巻等の突風による被害域の長さ（ｋｍ）,文字型,FALSE
A30b,移動_方向1,A30b_016,当該竜巻等の突風の移動方向,列挙型,FALSE
A30b,移動_方向2,A30b_017,当該竜巻等の突風の移動方向,列挙型,FALSE
A30b,移動_速度,A30b_018,当該竜巻等の突風の移動速度（km/h）,整数型,FALSE
A30b,継続時間,A30b_019,当該竜巻等の突風の継続時間（分）,整数型,FALSE
A30b,x回転方向,A30b_020,当該竜巻等の突風の回転方向,列挙型,FALSE
A30b,発生地点区別,A30b_021,当該竜巻等の突風の発生地点,列挙型,FALSE
A30b,総観場_1,A30b_022,当該竜巻等の突風の総観場,列挙型,FALSE
A30b,総観場_2,A30b_023,当該竜巻等の突風の総観場,列挙型,FALSE
A30b,総観場_3,A30b_024,当該竜巻等の突風の総観場,列挙型,FALSE
A30b,総観規模じょう乱からの位置,A30b_025,当該竜巻等の突風の総観規模じょう乱からの位置,整数型,FALSE
A30b,特徴,A30b_026,当該竜巻等の突風の特徴,文字型,FALSE
