id,name,code,description,type,codelist
A31,浸水深ランク,A31_101,当該洪水浸水想定区域図に示されている浸水深から得られた浸水深のランクコード,コードリスト型（浸水深ランクコード）,TRUE
A31,指定年月日,A31_102,当該洪水浸水想定区域を指定した年月日,文字列型（CharacterString）,FALSE
A31,告示番号,A31_103,当該洪水浸水想定区域を告示した際の公告番号,文字列型（CharacterString）,FALSE
A31,指定の前提となる降雨,A31_104,当該洪水浸水想定区域の指定の前提となる計画降雨,文字列型（CharacterString）,FALSE
A31,浸水深ランク,A31_201,当該洪水浸水想定区域図に示されている浸水深から得られた浸水深のランクコード,コードリスト型（浸水深ランクコード）,TRUE
A31,指定年月日,A31_202,当該洪水浸水想定区域を指定した年月日,文字列型（CharacterString）,FALSE
A31,告示番号,A31_203,当該洪水浸水想定区域を告示した際の公告番号,文字列型（CharacterString）,FALSE
A31,指定の前提となる降雨,A31_204,当該洪水浸水想定区域の指定の前提となる計画降雨,文字列型（CharacterString）,FALSE
A31,浸水継続時間ランク,A31_301,当該洪水浸水想定区域図に示されている浸水継続時間から得られた浸水継続時間のランクコード,コードリスト型（浸水継続時間ランクコード）,TRUE
A31,指定年月日,A31_302,当該洪水浸水想定区域を指定した年月日,文字列型（CharacterString）,FALSE
A31,告示番号,A31_303,当該洪水浸水想定区域を告示した際の公告番号,文字列型（CharacterString）,FALSE
A31,指定の前提となる降雨,A31_304,当該洪水浸水想定区域の指定の前提となる計画降雨,文字列型（CharacterString）,FALSE
A31,危険区域区分,A31_401,当該洪水浸水想定区域図に示されている危険区域区分から、得られた危険区域区分コード,コードリスト型（危険区域区分コード）,TRUE
A31,指定年月日,A31_402,当該洪水浸水想定区域を指定した年月日,文字列型（CharacterString）,FALSE
A31,告示番号,A31_403,当該洪水浸水想定区域を告示した際の公告番号,文字列型（CharacterString）,FALSE
A31,指定の前提となる降雨,A31_404,当該洪水浸水想定区域の指定の前提となる計画降雨,文字列型（CharacterString）,FALSE
