name,code,description,type,codelist
構成資産範囲ID,A34a_001,構成資産範囲ごとの整理番号,整数型（Integer）,FALSE
世界遺産番号,A34a_002,世界文化遺産への登録順の番号,整数型（Integer）,FALSE
世界文化遺産名,A34a_003,世界文化遺産の名称,文字列型（CharacterString）,FALSE
地区名,A34a_004,世界文化遺産内で区分されている地区名,文字列型（CharacterString）,FALSE
都道府県名,A34a_005,世界文化遺産が所在する都道府県の名称,文字列型（CharacterString）,FALSE
構成資産範囲面積,A34a_006,構成資産範囲の面積（単位：ha、小数点以下1桁（第二位で四捨五入））,実数型（Real）,FALSE
構成資産,A34a_007,構成資産の名称,文字列型（CharacterString）,FALSE
登録基準区分,A34a_008,登録基準に関する区分番号,文字列型（CharacterString）,FALSE
記載年月,A34a_009,世界文化遺産文化財に登録された記載年月,整数型（Integer）,FALSE
構成資産範囲ID,A34b_001,構成資産範囲ごとの整理番号,整数型（Integer）,FALSE
世界遺産番号,A34b_002,世界文化遺産への登録順の番号,整数型（Integer）,FALSE
世界文化遺産名,A34b_003,世界文化遺産の名称,文字列型（CharacterString）,FALSE
地区名,A34b_004,世界文化遺産内で区分されている地区名,文字列型（CharacterString）,FALSE
都道府県名,A34b_005,世界文化遺産が所在する都道府県の名称,文字列型（CharacterString）,FALSE
構成資産範囲面積,A34b_006,構成資産範囲の面積（単位：ha、小数点以下1桁（第二位で四捨五入））,実数型（Real）,FALSE
構成資産,A34b_007,構成資産の名称,文字列型（CharacterString）,FALSE
登録基準区分,A34b_008,登録基準に関する区分番号,文字列型（CharacterString）,FALSE
記載年月,A34b_009,世界文化遺産文化財に登録された記載年月,整数型（Integer）,FALSE
構成資産範囲ID,A34c_001,構成資産範囲ごとの整理番号,整数型（Integer）,FALSE
世界遺産番号,A34c_002,世界文化遺産への登録順の番号,整数型（Integer）,FALSE
世界文化遺産名,A34c_003,世界文化遺産の名称,文字列型（CharacterString）,FALSE
地区名,A34c_004,世界文化遺産内で区分されている地区名,文字列型（CharacterString）,FALSE
都道府県名,A34c_005,世界文化遺産が所在する都道府県の名称,文字列型（CharacterString）,FALSE
構成資産範囲面積,A34c_006,構成資産範囲の面積（単位：ha、小数点以下1桁（第二位で四捨五入））,実数型（Real）,FALSE
構成資産,A34c_007,構成資産の名称,文字列型（CharacterString）,FALSE
登録基準区分,A34c_008,登録基準に関する区分番号,文字列型（CharacterString）,FALSE
記載年月,A34c_009,世界文化遺産文化財に登録された記載年月,整数型（Integer）,FALSE
構成資産範囲ID,A34d_001,構成資産範囲ごとの整理番号,整数型（Integer）,FALSE
世界遺産番号,A34d_002,世界文化遺産への登録順の番号,整数型（Integer）,FALSE
世界文化遺産名,A34d_003,世界文化遺産の名称,文字列型（CharacterString）,FALSE
地区名,A34d_004,世界文化遺産内で区分されている地区名,文字列型（CharacterString）,FALSE
都道府県名,A34d_005,世界文化遺産が所在する都道府県の名称,文字列型（CharacterString）,FALSE
構成資産範囲面積,A34d_006,構成資産範囲の面積（単位：ha、小数点以下1桁（第二位で四捨五入））,実数型（Real）,FALSE
構成資産,A34d_007,構成資産の名称,文字列型（CharacterString）,FALSE
登録基準区分,A34d_008,登録基準に関する区分番号,文字列型（CharacterString）,FALSE
記載年月,A34d_009,世界文化遺産文化財に登録された記載年月,整数型（Integer）,FALSE
構成資産ID,A34e_001,構成資産ごとの整理番号,整数型（Integer）,FALSE
世界遺産番号,A34e_002,世界文化遺産への登録順の番号,整数型（Integer）,FALSE
世界文化遺産名,A34e_003,世界文化遺産の名称,文字列型（CharacterString）,FALSE
構成資産名,A34e_004,構成資産の名称,文字列型（CharacterString）,FALSE
緩衝地帯ID,A34f_001,緩衝地帯ごとの整理番号,整数型（Integer）,FALSE
世界遺産番号,A34f_002,世界文化遺産への登録順の番号,整数型（Integer）,FALSE
世界文化遺産名,A34f_003,世界文化遺産の名称,文字列型（CharacterString）,FALSE
地区名,A34f_004,世界文化遺産内で区分されている地区名,文字列型（CharacterString）,FALSE
緩衝地帯面積,A34f_005,緩衝地帯の面積（単位：ha、小数点以下1桁（第二位で四捨五入））,実数型（Real）,FALSE
緩衝地帯ID,A34g_001,緩衝地帯ごとの整理番号,整数型（Integer）,FALSE
世界遺産番号,A34g_002,世界文化遺産への登録順の番号,整数型（Integer）,FALSE
世界文化遺産名,A34g_003,世界文化遺産の名称,文字列型（CharacterString）,FALSE
地区名,A34g_004,世界文化遺産内で区分されている地区名,文字列型（CharacterString）,FALSE
緩衝地帯面積,A34g_005,緩衝地帯の面積（単位：ha、小数点以下1桁（第二位で四捨五入））,実数型（Real）,FALSE
