name,code,description,type,codelist
景観計画区域ID,A35a_001,景観計画区域ごとの整理番号※シェープファイルのみ,実数型（Real）,FALSE
都道府県コード,A35a_002,"都道府県を特定するためのコードJSI規格（JIS X 0401,　JIS X 0402）準拠",コードリスト「都道府県コード」,TRUE
団体名,A35a_003,景観計画区域を指定する地方公共団体名,文字列型（CharacterString）,FALSE
行政コード,A35a_004,"都道府県コードと市区町村コードからなる、行政区を特定するためのコードJSI規格（JIS X 0401,　JIS X 0402）準拠",コードリスト「行政コード」,TRUE
策定年月日,A35a_005,景観計画区域の策定年月日（YYYYMMDd〉,整数型（Integer）,FALSE
面積,A35a_006,景観計画区域の面積（ha）。,実数型（Real）,FALSE
景観計画未策定フラグ,A35a_007,景観計画団体であるが、景観計画を策定していないことを示すフラグ0：景観計画策定済み1：景観計画未策定,整数型（Integer）,FALSE
景観計画区域ID,A35b_001,景観計画区域ごとの整理番号※シェープファイルのみ,実数型（Real）,FALSE
都道府県コード,A35b_002,"都道府県を特定するためのコードJSI規格（JIS X 0401,　JIS X 0402）準拠",コードリスト「都道府県コード」,TRUE
団体名,A35b_003,景観計画区域を指定する地方公共団体名,文字列型（CharacterString）,FALSE
行政コード,A35b_004,"都道府県コードと市区町村コードからなる、行政区を特定するためのコードJSI規格（JIS X 0401,　JIS X 0402）準拠",コードリスト「行政コード」,TRUE
策定年月日,A35b_005,景観計画区域の策定年月日（YYYYMMDd〉,整数型（Integer）,FALSE
面積,A35b_006,景観計画区域の面積（ha）。,実数型（Real）,FALSE
景観計画未策定フラグ,A35b_007,景観計画団体であるが、景観計画を策定していないことを示すフラグ0：景観計画策定済み1：景観計画未策定,整数型（Integer）,FALSE
景観計画区域ID,A35c_001,景観重点地区ごとの整理番号※シェープファイルのみ,実数型（Real）,FALSE
都道府県コード,A35c_002,"都道府県を特定するためのコードJSI規格（JIS X 0401,　JIS X 0402）準拠",コードリスト「都道府県コード」,TRUE
団体名,A35c_003,景観行政団体名（都道府県、市区町村）,文字列型（CharacterString）,FALSE
行政コード,A35c_004,"都道府県コードと市区町村コードからなる、行政区を特定するためのコードJSI規格（JIS X 0401,　JIS X 0402）準拠",コードリスト「行政コード」,TRUE
地区名称,A35c_005,景観重点地区の名称,文字列型（CharacterString）,FALSE
