name,code,description,type,codelist
景観地区ID,A35d_001,景観地区ごとの整理番号※シェープファイルのみ,実数型（Real）,FALSE
都道府県コード,A35d_002,"都道府県を特定するためのコードJSI規格（JIS X 0401,　JIS X 0402）準拠",コードリスト「都道府県コード」,TRUE
団体名,A35d_003,景観地区・準景観地区を指定する地方公共団体名,文字列型（CharacterString）,FALSE
行政コード,A35d_004,"都道府県コードと市区町村コードからなる、行政区を特定するためのコードJSI規格（JIS X 0401,　JIS X 0402）準拠",コードリスト「行政コード」,TRUE
名称,A35d_005,景観地区・準景観地区の名称,文字列型（CharacterString）,FALSE
位置,A35d_006,景観地区・準景観地区の所在地住所,文字列型（CharacterString）,FALSE
面積,A35d_007,景観地区・準景観地区の面積（ha）,実数型（Real）,FALSE
決定年月日,A35d_008,景観地区・準景観地区の策定年月日,整数型（Integer）,FALSE
種別コード,A35d_009,景観地区・準景観地区の種別1：景観地区、2：準景観地区,コードリスト「種別コード」,TRUE
景観地区ID,A35e_001,景観地区ごとの整理番号※シェープファイルのみ,実数型（Real）,FALSE
都道府県コード,A35e_002,"都道府県を特定するためのコードJSI規格（JIS X 0401,　JIS X 0402）準拠",コードリスト「都道府県コード」,TRUE
団体名,A35e_003,景観地区・準景観地区を指定する地方公共団体名,文字列型（CharacterString）,FALSE
行政コード,A35e_004,"都道府県コードと市区町村コードからなる、行政区を特定するためのコードJSI規格（JIS X 0401,　JIS X 0402）準拠",コードリスト「行政コード」,TRUE
名称,A35e_005,景観地区・準景観地区の名称,文字列型（CharacterString）,FALSE
位置,A35e_006,景観地区・準景観地区の所在地住所,文字列型（CharacterString）,FALSE
面積,A35e_007,景観地区・準景観地区の面積（ha）,実数型（Real）,FALSE
決定年月日,A35e_008,景観地区・準景観地区の策定年月日,整数型（Integer）,FALSE
種別コード,A35e_009,景観地区・準景観地区の種別1：景観地区、2：準景観地区,コードリスト「種別コード」,TRUE
景観地区ゾーンID,A35f_001,景観地区ゾーンごとの整理番号※シェープファイルのみ,実数型（Real）,FALSE
都道府県コード,A35f_002,"都道府県を特定するためのコードJSI規格（JIS X 0401,　JIS X 0402）準拠",コードリスト「都道府県コード」,TRUE
団体名,A35f_003,景観地区・準景観地区を指定する地方公共団体名の名称,文字列型（CharacterString）,FALSE
行政コード,A35f_004,"都道府県コードと市区町村コードからなる、行政区を特定するためのコードJSI規格（JIS X 0401,　JIS X 0402）準拠",コードリスト「行政コード」,TRUE
景観地区・準景観地区名称,A35f_005,景観地区・準景観地区の名称,文字列型（CharacterString）,FALSE
ゾーン名称,A35f_006,景観地区・準景観地区内のゾーンの名称,文字列型（CharacterString）,FALSE
種別,A35f_007,景観地区・準景観地区の種別1：景観地区、2：準景観地区,コードリスト「種別コード」,TRUE
