name,code,description,codelist
一次医療圏_行政区域コード,A38a_001,都道府県コードと市区町村コードからなる、行政区を特定するためのコード,TRUE
一次医療圏_市区町村名,A38a_002,当該行政区の市区町村の名称,FALSE
一次医療圏_二次医療圏コード,A38a_003,当該一次医療圏が含まれる二次医療圏を示す一意のコード,FALSE
一次医療圏_二次医療圏名,A38a_004,当該一次医療圏が含まれる二次医療圏の名称,FALSE
一次医療圏_設定フラグ,A38a_005,一次医療圏を医療計画等で定義しているかどうかを判断するためのコード,TRUE
二次医療圏_行政区域コード,A38b_001,当該二次医療圏を構成する市区町村の行政コード,TRUE
二次医療圏_市区町村名,A38b_002,当該二次医療圏を構成する市区町村の名称,FALSE
二次医療圏_二次医療圏コード,A38b_003,当該二次医療圏を示す一意のコード,FALSE
二次医療圏_二次医療圏名,A38b_004,当該二次医療圏の名称,FALSE
二次医療圏_面積（医療計画）,A38b_005,都道府県が定めた地域保健医療計画に掲載されている面積（㎡）,FALSE
二次医療圏_面積（国土地理院）,A38b_006,国土地理院が「全国都道府県市区町村別面積調」として公表している市区町村別の面積を、構成する市区町村について合計した面積（㎡）,FALSE
二次医療圏_人口（医療計画）,A38b_007,都道府県が定めた地域保健医療計画に掲載されている人口（人）,FALSE
二次医療圏_総人口（住民基本台帳）,A38b_008,総務省が「住民基本台帳に基づく人口、人口動態及び世帯数」として公表している市区町村別・年齢別の総人口を、構成する市区町村について合計したもの（人）,FALSE
二次医療圏_人口（15才未満）（住民基本台帳）,A38b_009,総務省が「住民基本台帳に基づく人口、人口動態及び世帯数」として公表している市区町村別・年齢別の15才未満人口を、構成する市区町村について合計したもの（人）,FALSE
二次医療圏_人口（15才以上65才未満）（住民基本台帳）,A38b_010,総務省が「住民基本台帳に基づく人口、人口動態及び世帯数」として公表している市区町村別・年齢別の15才以上65才未満人口を、構成する市区町村について合計したもの（人）,FALSE
二次医療圏_人口（65才以上）（住民基本台帳）,A38b_011,総務省が「住民基本台帳に基づく人口、人口動態及び世帯数」として公表している市区町村別・年齢別の65才以上人口を、構成する市区町村について合計したもの（人）,FALSE
三次医療圏_都道府県名,A38c_001,当該三次医療圏が属する都道府県の名称,FALSE
三次医療圏_三次医療圏名,A38c_002,当該三次医療圏の名称,FALSE
