name,code,description,type,codelist
行政区域コード,C28_001,都道府県コードと市区町村コードからなる、行政区を特定するためのコード,コードリスト「行政コード」,TRUE
種別,C28_003,空港の種類による区別。,コードリスト「空港種別コード」,TRUE
供用中・建設中の区別,C28_004,空港が供用されているか建設中かの区別。,列挙型（供用中=1、建設中=2、休止中=3）,FALSE
名称,C28_005,空港の呼称。,文字列型,FALSE
設置者,C28_006,空港を設立した組織。,コードリスト「設置者・管理者コード」,TRUE
管理者,C28_007,空港を管理している組織。,コードリスト「設置者・管理者コード」,TRUE
特定飛行場の指定状況,C28_008,法律等によって特定の指定を受けているかどうかの区別。,列挙型（「公共用飛行場周辺における航空機騒音による障害の防止等に関する法律」に基づく特定飛行場で、かつ周辺整備空港に指定されている場合=1、周辺整備空港に指定されていない特定飛行場=2、特定飛行場以外=3、未定=4）,FALSE
運用時間（開始）,C28_009,1日のうちで、空港の運用が開始する時刻。,順序型（整数型の配列）記述例）0730（7時30分の場合）記述例）0000（0時0分の場合）※運用時間が24時間の場合、開始時間は0時0分とする。,FALSE
運用時間（終了）,C28_010,1日のうちで、空港の運用が終了する時刻。,順序型（整数型の配列）記述例）2130（21時30分の場合）記述例）2400（24時0分の場合）※運用時間が24時間の場合、終了時刻は24時0分とする。,FALSE
定期便の有無,C28_011,当該空港に定期便があるかどうかの区別。,コードリスト「定期便の有無コード」,TRUE
滑走路延長,C28_012,"滑走路の長さ。単位は「m」とする。複数ある場合は’,’区切りで列記する。",文字列型,FALSE
滑走路幅,C28_013,"滑走路の幅。単位は「m」とする。複数ある場合は’,’区切りで列記する。",文字列型,FALSE
調査年,C28_014,調査を行った時期,時間型（TM_Instant） ※西暦で「年」のみを記述する。,FALSE
１日あたりの着陸回数,C28_015,当該空港の1年間の着陸回数を365で除した数値,整数型,FALSE
１日あたりの乗降客数,C28_016,当該空港の1年間の乗降客数を365で除した数値,整数型,FALSE
ID,C28_000,NA,文字列型,FALSE
標点ID,C28_101,NA,文字列型,FALSE
ターミナルビルID,C28_102,NA,文字列型,FALSE
調査内容ID,C28_103,NA,文字列型,FALSE
滑走路ID,C28_104,NA,文字列型,FALSE
