name,code,description,type,codelist
3次メッシュコード,G04a_001,標準地域メッシュの3次メッシュ,文字列型（CharacterString）,FALSE
平均標高,G04a_002,10mメッシュの標高値から算出する平均標高（m）,実数型（Real）※整備データが存在しない場合、“unknown”とする。,FALSE
最高標高,G04a_003,10mメッシュの標高値から算出する最高標高（m）,実数型（Real）※整備データが存在しない場合、“unknown”とする。,FALSE
最低標高,G04a_004,10mメッシュの標高値から算出する最低標高（m）,実数型（Real）※整備データが存在しない場合、“unknown”とする。,FALSE
最低標高コード,G04a_005,最低標高が海面下であるかどうかの区分。※基盤地図情報の標高では判定できないため一律“0”としている。,コードリスト型（海面下=5、その他=0）,TRUE
最大傾斜角度,G04a_006,標高傾斜度5次メッシュ（250m）の標高から算出する最大傾斜角度（度）,実数型（Real）※整備データが存在しない場合、“unknown”とする。,FALSE
最大傾斜方向,G04a_007,標高傾斜度5次メッシュ（250m）の標高から算出する最大傾斜の方向,コードリスト型（0=方向なし、1=北、2=北東、3=東、4=東南、5=南、6=南西、7=西、8=北西）※整備データが存在しない場合、“unknown”とする。,TRUE
最小傾斜角度,G04a_008,標高傾斜度5次メッシュ（250m）の標高から算出する最小傾斜角度 （度）,実数型（Real）※整備データが存在しない場合、“unknown”とする。,FALSE
最小傾斜方向,G04a_009,標高傾斜度5次メッシュ（250m）の標高から算出する最小傾斜の方向,コードリスト型（0=方向なし、1=北、2=北東、3=東、4=東南、5=南、6=南西、7=西、8=北西）※整備データが存在しない場合、“unknown”とする。,TRUE
平均傾斜角度,G04a_010,標高傾斜度5次メッシュ（250m）の標高から算出する傾斜角度の平均値（度）,実数型（Real）※整備データが存在しない場合、“unknown”とする。,FALSE
