name,code,description,type,codelist
工業用地ID,L05_001,工業用地の識別番号都道府県コード＋用地番号＋地区番号の7桁の番号,整数型（Integer）,FALSE
工業用地名,L05_002,工業団地名または単独工場の名称,文字列型（CharacterString）,FALSE
行政コード,L05_003,都道府県コードと市区町村コードからなる，行政区を特定するためのコードJIS 規格（JIS X 0401，JIS X 0402）準拠,コードリスト「行政コード」,TRUE
市区町村名,L05_004,当該単独工場用地が属する市区町村名,文字列型（CharacterString）,FALSE
臨海・内陸区分コード,L05_005,当該単独工場用地が存在する位置の番号1：臨海　2：内陸,コードリスト「臨海・内陸区分コード」,TRUE
特記事項,L05_006,当該工業団地についての開発経緯や特色など、特別な事項を記載,文字列型（CharacterString）,FALSE
事業主体名,L05_007,当該工業団地の開発事業主体名,文字列型（CharacterString）,FALSE
事業完了年,L05_008,当該工業団地開発の事業完了年もしくは完了予定年,時間型（TM_Instant）,FALSE
全体開発面積,L05_009,当該工業団地全体の面積（ha）,実数型（Real）,FALSE
工業用地面積,L05_010,当該工業団地における工業用地の面積（ha）,実数型（Real）,FALSE
未利用面積,L05_011,当該工業団地における未利用地の面積（ha）,実数型（Real）,FALSE
用途地域コード,L05_013,当該工業団地に指定されている用途地域応じたコード,コードリスト「用途地域コード」,TRUE
立地企業数,L05_014,当該工業団地に立地する企業数,整数型（Integer）,FALSE
立地企業名1～10,L05_015,当該工業団地に立地する企業名及び組合名,文字列型（CharacterString）,FALSE
業種,L05_016,当該単独工場用地に立地する企業の主な業種,文字列型（CharacterString）,FALSE
