name,code,description,type,codelist
事業者種別,N05_001,鉄道路線の事業者を区分するコード,コードリスト「事業者種別コード」,TRUE
路線名,N05_002,鉄道路線の名称,文字列型（CharacterString）,FALSE
運営会社,N05_003,鉄道路線を運営する会社名。,文字列型（CharacterString）,FALSE
供用開始年,N05_004,当該区間の供用が開始された年（西暦年）。,時間型（TM_Instant）,FALSE
設置期間（設置開始）,N05_005b,鉄道路線、駅が設置された年（西暦年）。なお、昭和25年以前に設置された場合は1950とする。鉄道路線、駅が変更・廃止された年の一年前の年（西暦年）。現存する場合は9999、不明な場合は999とする,時間型（TM_Instant）,FALSE
設置期間（設置終了）,N05_005e,鉄道路線、駅が設置された年（西暦年）。なお、昭和25年以前に設置された場合は1950とする。鉄道路線、駅が変更・廃止された年の一年前の年（西暦年）。現存する場合は9999、不明な場合は999とする,時間型（TM_Instant）,FALSE
関係ID,N05_006,路線および駅の属性が変更された場合の同一地物である事を表すグループID（その他の情報欄に詳細を説明）,文字列型（CharacterString）,FALSE
変遷ID,N05_007,同一年次に複数回属性が変更された場合の属性項目を表す識別子,コードリスト「変遷IDコード」,TRUE
変遷備考,N05_008,変遷IDで示した属性の内容を記述する。,文字列型（CharacterString）,FALSE
備考,N05_009,駅位置や路線位置が不明確な場合の図形データの精度に関するコメント。,文字列型（CharacterString）,FALSE
関係備考,N05_010,主たる関係ID以外のその他の関係ID,文字列型（CharacterString）,FALSE
駅名,N05_011,駅の名称,文字列型（CharacterString）,FALSE
