id,name,code,description,type,codelist
N08,行政区域,N08_001,空港区域のある市区町村の行政コード,コードリスト「行政コード」,TRUE
N08,空港種別,N08_002,空港の種類による区別,コードリスト「空港種別コード」,TRUE
N08,空港名称,N08_003,空港の名称,文字列型（CharacterString）,FALSE
N08,設置者,N08_004,空港を設立した組織,コードリスト「設置者・管理者コード」,TRUE
N08,管理者,N08_005,空港を管理している組織,コードリスト「設置者・管理者コード」,TRUE
N08,滑走路本数,N08_006,当該空港に存在する滑走路の本数,整数型（Integer）,FALSE
N08,滑走路延長,N08_007,滑走路の延長の内、最も長い滑走路の長さ（ｍ）,整数型（Integer）,FALSE
N08,運用時間（開始）,N08_008,1日のうちで空港の運用を開始する時刻,順序型（整数型の配列）記述例）　07 30　（7時30分の場合）00 00　（0時0分の場合）※運用時間が24時間の場合、開始時間は「00 00」とする。※供用開始前の空港は「00 00」とする※不明な場合は「99 99」とする。,FALSE
N08,運用時間（終了）,N08_009,1日のうちで、空港の運用を終了する時刻,順序型（整数型の配列）記述例）　21 30　（21時30分の場合）24 00　（24時0分の場合）※運用時間が24時間の場合、終了時間は「24 00」とする。※供用開始前の空港は「00 00」とする※不明な場合は「99 99」とする。,FALSE
N08,定期便,N08_010,定期便の有無,コードリスト「定期便コード」,TRUE
N08,ジェット化,N08_011,空港のジェット化の状況,コードリスト「ジェット化コード」,TRUE
N08,供用開始年,N08_012,空港が最初に供用された年（西暦）,時間型（TM_Instant）,FALSE
N08,供用状況,N08_013,標点が供用されている状況,コードリスト「供用状況コード」,TRUE
N08,設置期間（開始年）,N08_014,該当する空港が設置開始（開業）された年,時間型（TM_Instant）,FALSE
N08,設置期間（終了年）,N08_015,該当する空港が廃止（変更・廃止）された年の1年前の年地物が継続中の場合は9999,時間型（TM_Instant）,FALSE
N08,関係ID,N08_016,空港区域の属性が変更された場合の同一地物の時系列変化データであることを表すグループID（その他の情報欄に詳細を説明）,文字列型（CharacterString）,FALSE
N08,変遷ID,N08_017,同一年次に複数回属性が変更された場合の属性項目を表す識別子,コードリスト「変遷IDコード」,TRUE
N08,変遷備考,N08_018,変遷IDで示した属性の内容を記述する,文字列型（CharacterString）,FALSE
N08,空港名称,N08_019,標点が属する空港の名称,文字列型（CharacterString）,FALSE
N08,供用開始年,N08_020,標点の供用が開始された年,時間型（TM_Instant）,FALSE
N08,供用状況,N08_021,標点が供用されている状況,コードリスト「供用状況コード」,TRUE
N08,設置期間（開始年）,N08_022,標点が設置開始（開業）された年,時間型（TM_Instant）,FALSE
N08,設置期間（終了年）,N08_023,標点が廃止（変更・廃止）された年の1年前の年地物が継続中の場合は9999,時間型（TM_Instant）,FALSE
N08,関係ID,N08_024,標点について、同一地物の時系列変化であることを示すID（その他の情報欄に詳細を説明）,文字列型（CharacterString）,FALSE
N08,備考,N08_025,官報に記載された緯度経度情報をもとに作成した標点が、当該空港区域内にプロットされず標点位置を移動した際に記載する。,文字列型（CharacterString）記述例）「標点位置は官報の座標（北緯XX°YY′ZZ″、東経XX°YY′ZZ″）から、現在の位置に移動した。」,FALSE
