id,name,code,description,type,codelist
P13,管理都道府県・整備局,P13_001,管轄団体名（都道府県・地方整備局）,文字列型（CharacterString）,FALSE
P13,管理市区町村,P13_002,管理団体名（市区町村）,文字列型（CharacterString）,FALSE
P13,公園名,P13_003,都市公園の名称,文字列型（CharacterString）,FALSE
P13,公園種別,P13_004,公園種別コード,コードリスト「公園種別コード」,TRUE
P13,所在地都道府県名,P13_005,都市公園の所在地名（都道府県）,文字列型（CharacterString）,FALSE
P13,所在地市区町村名,P13_006,都市公園の所在地名（市区町村）,文字列型（CharacterString）,FALSE
P13,供用開始年,P13_007,供用開始した年（西暦）,時間型（TM_Instant）,FALSE
P13,供用済面積,P13_008,供用開始最終開設面積（m2）,十進数型（Decimal）,FALSE
P13,都市計画決定,P13_009,都市計画決定コード,コードリスト「都市計画決定コード」（０＝未確認、１＝決定、２＝未決定）,TRUE
P13,備考,P13_010,都市公園に関する備考,文字列型（CharacterString）,FALSE
