name,code,description,type,codelist
施設名称,P15_001,廃棄物処理施設の名称,文字列型（CharacterString）,FALSE
地方公共団体名,P15_002,廃棄物処理施設の管理地方公共団体名,文字列型（CharacterString）,FALSE
施設種別,P15_003,施設種別コード,コードリスト「施設種別コード」,TRUE
施設タイプ,P15_004,廃棄物処理施設の種類,文字列型（CharacterString）,FALSE
処理能力（t/日）,P15_005,廃棄物処理能力のうち、t/日の単位で示されるもの,実数型（Real）,FALSE
屋内面積,P15_006,保管施設の「屋内面積」,実数型（Real）,FALSE
屋外面積,P15_007,保管施設の「屋外面積」,実数型（Real）,FALSE
全体容量,P15_008,最終処分場の「全体容量（m3）」,実数型（Real）,FALSE
処理能力（kL/日）,P15_009,廃棄物処理能力のうち、kL/日の単位で示されるもの,実数型（Real）,FALSE
計画最大汚水量,P15_010,コミュニティプラントの処理能力「計画最大汚水量（m3/日）」,実数型（Real）,FALSE
処理物,P15_011,廃棄物処理施設が処理できる対象物,文字列型（CharacterString）,FALSE
処理方式,P15_012,廃棄物処理施設の処理方式,文字列型（CharacterString）,FALSE
炉形式,P15_013,廃棄物処理施設の焼却施設の炉形式,文字列型（CharacterString）,FALSE
発電能力,P15_014,焼却施設の発電能力（kw）,実数型（Real）,FALSE
事業者名,P15_015,廃棄物処理施設の名称,文字列型（CharacterString）,FALSE
所在地,P15_016,廃棄物処理施設の住所,文字列型（CharacterString）,FALSE
産廃施設種別,P15_017,産廃施設コード,産廃施設コード中間処理施設=1、最終処理施設=2,TRUE
特別管理,P15_018,特別管理コード,特別管理コード特別管理産業廃棄物処理以外=0、特別管理産業廃棄物処理=1,TRUE
取扱品目1,P15_019,産業廃棄物処理施設が取り扱える品目1,文字列型（CharacterString）,FALSE
取扱品目2,P15_020,産業廃棄物処理施設が取り扱える品目2,文字列型（CharacterString）,FALSE
取扱品目3,P15_021,産業廃棄物処理施設が取り扱える品目3,文字列型（CharacterString）,FALSE
取扱品目4,P15_022,産業廃棄物処理施設が取り扱える品目4,文字列型（CharacterString）,FALSE
取扱品目5,P15_023,産業廃棄物処理施設が取り扱える品目5,文字列型（CharacterString）,FALSE
取扱品目6,P15_024,産業廃棄物処理施設が取り扱える品目6,文字列型（CharacterString）,FALSE
取扱品目7,P15_025,産業廃棄物処理施設が取り扱える品目7,文字列型（CharacterString）,FALSE
取扱品目8,P15_026,産業廃棄物処理施設が取り扱える品目8,文字列型（CharacterString）,FALSE
取扱品目9,P15_027,産業廃棄物処理施設が取り扱える品目9,文字列型（CharacterString）,FALSE
取扱品目10,P15_028,産業廃棄物処理施設が取り扱える品目10,文字列型（CharacterString）,FALSE
取扱品目11,P15_029,産業廃棄物処理施設が取り扱える品目11,文字列型（CharacterString）,FALSE
取扱品目12,P15_030,産業廃棄物処理施設が取り扱える品目12,文字列型（CharacterString）,FALSE
取扱品目13,P15_031,産業廃棄物処理施設が取り扱える品目13,文字列型（CharacterString）,FALSE
取扱品目14,P15_032,産業廃棄物処理施設が取り扱える品目14,文字列型（CharacterString）,FALSE
取扱品目15,P15_033,産業廃棄物処理施設が取り扱える品目15,文字列型（CharacterString）,FALSE
