name,code,description,type,codelist
調査年度,S05c_001,NA,NA,NA
駅コード,S05c_002,NA,NA,NA
運営会社,S05c_003,NA,NA,NA
駅名,S05c_004,NA,NA,NA
乗車_バス,S05c_005,NA,NA,NA
乗車_自家用自動車,S05c_006,NA,NA,NA
乗車_タクシー・ハイヤー,S05c_007,NA,NA,NA
乗車_自動車,S05c_008,NA,NA,NA
乗車_自動二輪原付,S05c_009,NA,NA,NA
乗車_自転車,S05c_010,NA,NA,NA
乗車_二輪,S05c_011,NA,NA,NA
乗車_徒歩,S05c_012,NA,NA,NA
乗車_その他,S05c_013,NA,NA,NA
乗車_合計,S05c_014,NA,NA,NA
降車_バス,S05c_015,NA,NA,NA
降車_自家用自動車,S05c_016,NA,NA,NA
降車_タクシー・ハイヤー,S05c_017,NA,NA,NA
降車_自動車,S05c_018,NA,NA,NA
降車_自動二輪原付,S05c_019,NA,NA,NA
降車_自転車,S05c_020,NA,NA,NA
降車_二輪,S05c_021,NA,NA,NA
降車_徒歩,S05c_022,NA,NA,NA
降車_その他,S05c_023,NA,NA,NA
降車_合計,S05c_024,NA,NA,NA
調査年度,S05c_025,NA,NA,NA
駅コード,S05c_026,NA,NA,NA
駅名,S05c_027,NA,NA,NA
乗車_路線バス・都電,S05c_028,NA,NA,NA
乗車_乗用車,S05c_029,NA,NA,NA
乗車_軽乗用車,S05c_030,NA,NA,NA
乗車_貨物自動車・軽貨物車,S05c_031,NA,NA,NA
乗車_自家用バス・貸切りバス,S05c_032,NA,NA,NA
乗車_タクシー・ハイヤー,S05c_033,NA,NA,NA
乗車_自動二輪車,S05c_034,NA,NA,NA
乗車_原動機付き自転車,S05c_035,NA,NA,NA
乗車_自転車,S05c_036,NA,NA,NA
乗車_徒歩,S05c_037,NA,NA,NA
乗車_航空機,S05c_038,NA,NA,NA
乗車_船舶,S05c_039,NA,NA,NA
乗車_その他,S05c_040,NA,NA,NA
乗車_不明,S05c_041,NA,NA,NA
乗車_合計,S05c_042,NA,NA,NA
降車_路線バス・都電,S05c_043,NA,NA,NA
降車_乗用車,S05c_044,NA,NA,NA
降車_軽乗用車,S05c_045,NA,NA,NA
降車_貨物自動車・軽貨物車,S05c_046,NA,NA,NA
降車_自家用バス・貸切りバス,S05c_047,NA,NA,NA
降車_タクシー・ハイヤー,S05c_048,NA,NA,NA
降車_自動二輪車,S05c_049,NA,NA,NA
降車_原動機付き自転車,S05c_050,NA,NA,NA
降車_自転車,S05c_051,NA,NA,NA
降車_徒歩,S05c_052,NA,NA,NA
降車_航空機,S05c_053,NA,NA,NA
降車_船舶,S05c_054,NA,NA,NA
降車_その他,S05c_055,NA,NA,NA
降車_不明,S05c_056,NA,NA,NA
降車_合計,S05c_057,NA,NA,NA
