name,code,description,type,codelist
調査年度,S05d_044,旅客地域流動量調査の実施年度,整数型,FALSE
発ゾーンコード,S05d_045,ＯＤ量の発ゾーンのコード,コードリスト「旅客地域流動ゾーンコード」,TRUE
着ゾーンコード,S05d_046,ＯＤ量の着ゾーンのコード,コードリスト「旅客地域流動ゾーンコード」,TRUE
ＪＲ定期旅客数,S05d_047,輸送機関「ＪＲ定期」の輸送人員（千人）,実数型,FALSE
ＪＲ定期外旅客数,S05d_048,輸送機関「ＪＲ定期外」の輸送人員（千人）,実数型,FALSE
ＪＲ合計旅客数,S05d_049,輸送機関「ＪＲ合計」の輸送人員（千人）,実数型,FALSE
民鉄定期旅客数,S05d_050,輸送機関「民鉄定期」の輸送人員（千人）,実数型,FALSE
民鉄定期外旅客数,S05d_051,輸送機関「民鉄定期外」の輸送人員（千人）,実数型,FALSE
民鉄合計旅客数,S05d_052,輸送機関「民鉄合計」の輸送人員（千人）,実数型,FALSE
乗合バス旅客数,S05d_053,輸送機関「乗合バス」の輸送人員（千人）,実数型,FALSE
貸切バス旅客数,S05d_054,輸送機関「貸切バス」の輸送人員（千人）,実数型,FALSE
自家用バス旅客数,S05d_055,輸送機関「自家用バス」の輸送人員（千人）,実数型　（*）,FALSE
営業用乗用車旅客数,S05d_056,輸送機関「営業用乗用車」の輸送人員（千人）,実数型,FALSE
自家用乗用車旅客数,S05d_057,輸送機関「自家用乗用車」の輸送人員（千人）,実数型　（*）,FALSE
自動車合計旅客数,S05d_058,輸送機関「自動車合計」の輸送人員（千人）,実数型,FALSE
旅客船旅客数,S05d_059,輸送機関「旅客船」の輸送人員（千人）,実数型,FALSE
航空旅客数,S05d_060,輸送機関「航空」の輸送人員（千人）,実数型,FALSE
全機関旅客数,S05d_061,輸送機関「全機関」の輸送人員（千人）,実数型,FALSE
調査年度,S05d_001,貨物地域流動調査の実施年度,整数型,FALSE
発ゾーンコード,S05d_002,ＯＤ量の発ゾーンの行政コード,コードリスト「貨物地域流動ゾーンコード」,TRUE
着ゾーンコード,S05d_003,ＯＤ量の着ゾーンの行政コード,コードリスト「貨物地域流動ゾーンコード」,TRUE
全機関_農水産品トン数,S05d_004,輸送機関「全機関」の農水産品の輸送トン数,整数型,FALSE
全機関_林産品トン数,S05d_005,輸送機関「全機関」の林産品の輸送トン数,整数型,FALSE
全機関_鉱産品トン数,S05d_006,輸送機関「全機関」の鉱産品の輸送トン数,整数型,FALSE
全機関_金属・機械工業品トン数,S05d_007,輸送機関「全機関」の金属・機械工業品の輸送トン数,整数型,FALSE
全機関_化学工業品トン数,S05d_008,輸送機関「全機関」の化学工業品の輸送トン数,整数型,FALSE
全機関_軽工業品トン数,S05d_009,輸送機関「全機関」の軽工業品の輸送トン数,整数型,FALSE
全機関_雑工業品トン数,S05d_010,輸送機関「全機関」の雑工業品の輸送トン数,整数型,FALSE
全機関_特種品トン数,S05d_011,輸送機関「全機関」の特種品の輸送トン数,整数型,FALSE
全機関_その他トン数,S05d_012,輸送機関「全機関」のその他の輸送トン数,整数型,FALSE
全機関_合計トン数,S05d_013,輸送機関「全機関」の合計輸送トン数,整数型,FALSE
鉄道_農水産品トン数,S05d_014,輸送機関「鉄道」の農水産品の輸送トン数,整数型,FALSE
鉄道_林産品トン数,S05d_015,輸送機関「鉄道」の林産品の輸送トン数,整数型,FALSE
鉄道_鉱産品トン数,S05d_016,輸送機関「鉄道」の鉱産品の輸送トン数,整数型,FALSE
鉄道_金属・機械工業品トン数,S05d_017,輸送機関「鉄道」の金属・機械工業品の輸送トン数,整数型,FALSE
鉄道_化学工業品トン数,S05d_018,輸送機関「鉄道」の化学工業品の輸送トン数,整数型,FALSE
鉄道_軽工業品トン数,S05d_019,輸送機関「鉄道」の軽工業品の輸送トン数,整数型,FALSE
鉄道_雑工業品トン数,S05d_020,輸送機関「鉄道」の雑工業品の輸送トン数,整数型,FALSE
鉄道_特種品トン数,S05d_021,輸送機関「鉄道」の特種品の輸送トン数,整数型,FALSE
鉄道_その他トン数,S05d_022,輸送機関「鉄道」のその他の輸送トン数,整数型,FALSE
鉄道_合計トン数,S05d_023,輸送機関「鉄道」の合計輸送トン数,整数型,FALSE
海運_農水産品トン数,S05d_024,輸送機関「海運」の農水産品の輸送トン数,整数型,FALSE
海運_林産品トン数,S05d_025,輸送機関「海運」の林産品の輸送トン数,整数型,FALSE
海運_鉱産品トン数,S05d_026,輸送機関「海運」の鉱産品の輸送トン数,整数型,FALSE
