name,code,description,type,codelist
出発港_都道府県,S10a_001,NA,NA,NA
出発港_港湾名,S10a_002,NA,NA,NA
到着港_都道府県,S10a_003,NA,NA,NA
到着港_港湾名,S10a_004,NA,NA,NA
頻度_貨客船定期便就航数,S10a_005,NA,NA,NA
頻度_フェリー定期便就航数,S10a_006,NA,NA,NA
頻度_貨物船定期便就航数,S10a_007,NA,NA,NA
頻度_RORO船定期便就航数,S10a_008,NA,NA,NA
運搬可能旅客数,S10a_009,NA,NA,NA
積載可能貨物量_トラック,S10a_010,NA,NA,NA
積載可能貨物量_シャーシ,S10a_011,NA,NA,NA
積載可能貨物量_トレーラー,S10a_012,NA,NA,NA
積載可能貨物量_中型車,S10a_013,NA,NA,NA
積載可能貨物量_乗用車,S10a_014,NA,NA,NA
積載可能貨物量_コンテナ,S10a_015,NA,NA,NA
積載可能貨物量_その他,S10a_016,NA,NA,NA
積載可能貨物量_化成品,S10a_017,NA,NA,NA
大分類流通量_農水産品,S10a_018,NA,NA,NA
大分類流通量_林産品,S10a_019,NA,NA,NA
大分類流通量_鉱産品,S10a_020,NA,NA,NA
大分類流通量_金属機械工業品,S10a_021,NA,NA,NA
大分類流通量_化学工業品,S10a_022,NA,NA,NA
大分類流通量_軽工業品,S10a_023,NA,NA,NA
大分類流通量_雑工業品,S10a_024,NA,NA,NA
大分類流通量_特殊品,S10a_025,NA,NA,NA
大分類流通量_分類不能のもの（大分類）,S10a_026,NA,NA,NA
中分類流通量_011麦,S10a_027,NA,NA,NA
中分類流通量_021米,S10a_028,NA,NA,NA
中分類流通量_022とうもろこし,S10a_029,NA,NA,NA
中分類流通量_023豆類,S10a_030,NA,NA,NA
中分類流通量_024その他雑穀,S10a_031,NA,NA,NA
中分類流通量_031野菜・果物,S10a_032,NA,NA,NA
中分類流通量_041綿花,S10a_033,NA,NA,NA
中分類流通量_051その他農産品,S10a_034,NA,NA,NA
中分類流通量_061羊毛,S10a_035,NA,NA,NA
中分類流通量_071その他畜産品,S10a_036,NA,NA,NA
中分類流通量_081水産品,S10a_037,NA,NA,NA
中分類流通量_091原木,S10a_038,NA,NA,NA
中分類流通量_092製材,S10a_039,NA,NA,NA
中分類流通量_101樹脂類,S10a_040,NA,NA,NA
中分類流通量_111木材チップ,S10a_041,NA,NA,NA
中分類流通量_112その他林産品,S10a_042,NA,NA,NA
中分類流通量_121薪炭,S10a_043,NA,NA,NA
中分類流通量_131石炭,S10a_044,NA,NA,NA
中分類流通量_141鉄鉱石,S10a_045,NA,NA,NA
中分類流通量_151金属鉱,S10a_046,NA,NA,NA
中分類流通量_161砂利・砂,S10a_047,NA,NA,NA
中分類流通量_162石材,S10a_048,NA,NA,NA
中分類流通量_171原油,S10a_049,NA,NA,NA
中分類流通量_181りん鉱石,S10a_050,NA,NA,NA
中分類流通量_191石灰石,S10a_051,NA,NA,NA
中分類流通量_201原塩,S10a_052,NA,NA,NA
中分類流通量_211非金属鉱物,S10a_053,NA,NA,NA
中分類流通量_221鉄鋼,S10a_054,NA,NA,NA
中分類流通量_222鋼材,S10a_055,NA,NA,NA
中分類流通量_231非鉄金属,S10a_056,NA,NA,NA
中分類流通量_241金属製品,S10a_057,NA,NA,NA
中分類流通量_251鉄道車両,S10a_058,NA,NA,NA
