name,code,description,type,codelist
駅名,S12_001,駅の名称,文字列型（CharacterString）,FALSE
運営会社,S12_002,運営会社の名称,文字列型（CharacterString）,FALSE
路線名,S12_003,鉄道路線の名称,文字列型（CharacterString）,FALSE
鉄道区分,S12_004,対象鉄道の区分,"コードリスト（
                                        
                                            鉄道区分コード
                                        
                                        ）",TRUE
事業者種別,S12_005,対象運営会社の種別,"コードリスト（
                                        
                                            事業者種別コード
                                        
                                        ）",TRUE
重複コード2011,S12_006,"駅別乗降客数データ記載の状況（2011年度）
                                        
                                        （複数路線の駅において、一番中心に近い駅にのみデータを付加。以下この項目は同様。）","コードリスト（
                                        
                                            重複コード
                                        
                                        ）",TRUE
データ有無コード2011,S12_007,乗降客数データの有無（2011年度）,"コードリスト（
                                        
                                            データ有無コード
                                        
                                        ）",TRUE
備考2011,S12_008,原典資料の名称や備考（2011年度）,文字列型（CharacterString）,FALSE
乗降客数2011,S12_009,2011年の駅別乗降客数（人/日）,数値型（Integer）,FALSE
重複コード2012,S12_010,駅別乗降客数データ記載の状況（2012年度）,"コードリスト（
                                        
                                            重複コード
                                        
                                        ）",TRUE
データ有無コード2012,S12_011,乗降客数データの有無（2012年度）,"コードリスト（
                                        
                                            データ有無コード
                                        
                                        ）",TRUE
備考2012,S12_012,原典資料の名称や備考（2012年度）,文字列型（CharacterString）,FALSE
乗降客数2012,S12_013,2012年の駅別乗降客数（人/日）,数値型（Integer）,FALSE
重複コード2013,S12_014,駅別乗降客数データ記載の状況（2013年度）,"コードリスト（
                                        
                                            重複コード
                                        
                                        ）",TRUE
データ有無コード2013,S12_015,乗降客数データの有無（2013年度）,"コードリスト（
                                        
                                            データ有無コード
                                        
                                        ）",TRUE
備考2013,S12_016,原典資料の名称や備考（2013年度）,文字列型（CharacterString）,FALSE
乗降客数2013,S12_017,2013年の駅別乗降客数（人/日）,数値型（Integer）,FALSE
重複コード2014,S12_018,"駅別乗降客数データ記載の状況
                                        
                                        （2014年度）","コードリスト（
                                        
                                            重複コード
                                        
                                        ）",TRUE
データ有無コード2014,S12_019,乗降客数データの有無（2014年度）,"コードリスト（
                                        
                                            データ有無コード
                                        
                                        ）",TRUE
備考2014,S12_020,原典資料の名称や備考（2014年度）,文字列型（CharacterString）,FALSE
乗降客数2014,S12_021,2014年の駅別乗降客数（人/日）,数値型（Integer）,FALSE
重複コード2015,S12_022,"駅別乗降客数データ記載の状況
                                        
                                        （2015年度）","コードリスト（
                                        
                                            重複コード
                                        
                                        ）",TRUE
データ有無コード2015,S12_023,乗降客数データの有無（2015年度）,"コードリスト（
                                        
                                            データ有無コード
                                        
                                        ）",TRUE
備考2015,S12_024,原典資料の名称や備考（2015年度）,文字列型（CharacterString）,FALSE
乗降客数2015,S12_025,2015年の駅別乗降客数（人/日）,数値型（Integer）,FALSE
重複コード2016,S12_026,"駅別乗降客数データ記載の状況
                                        
                                        （2016年度）","コードリスト（
                                        
                                            重複コード
                                        
                                        ）",TRUE
データ有無コード 2016,S12_027,乗降客数データの有無（2016年度）,"コードリスト（
                                        
                                            データ有無コード
                                        
                                        ）",TRUE
備考2016,S12_028,原典資料の名称や備考（2016年度）,文字列型（CharacterString）,FALSE
乗降客数2016,S12_029,2016年の駅別乗降客数（人/日）,数値型（Integer）,FALSE
重複コード2017,S12_030,"駅別乗降客数データ記載の状況
                                        
                                        （2017年度）","コードリスト（
                                        
                                            重複コード
                                        
                                        ）",TRUE
データ有無コード 2017,S12_031,乗降客数データの有無（2017年度）,"コードリスト（
                                        
                                            データ有無コード
                                        
                                        ）",TRUE
備考2017,S12_032,原典資料の名称や備考（2017年度）,文字列型（CharacterString）,FALSE
乗降客数2017,S12_033,2017年の駅別乗降客数（人/日）,数値型（Integer）,FALSE
重複コード2018,S12_034,"駅別乗降客数データ記載の状況
                                        
                                        （2018年度）","コードリスト（
                                        
                                            重複コード
                                        
                                        ）",TRUE
データ有無コード 2018,S12_035,乗降客数データの有無（2018年度）,"コードリスト（
                                        
                                            データ有無コード
                                        
                                        ）",TRUE
備考2018,S12_036,原典資料の名称や備考（2018年度）,文字列型（CharacterString）,FALSE
乗降客数2018,S12_037,2018年の駅別乗降客数（人/日）,数値型（Integer）,FALSE
