name,code,description,type,codelist
ダム名,W01_001,ダムの名称,文字列型（CharacterString）,FALSE
ダムコード,W01_002,ダム年鑑の「全国ダム施設現況」の「水系別ダム一覧表」に示す番号,整数型（Integer）,FALSE
水系名,W01_003,ダムが設置されている水系の名称,文字列型（CharacterString）,FALSE
河川名,W01_004,ダムが設置されている河川の名称,文字列型（CharacterString）,FALSE
形式,W01_005,ダムの形式の種類による区別。,コードリスト「ダム形式コード」,TRUE
目的,W01_006,ダム設置の用途。,コードリスト「ダム目的コード」,TRUE
ダム規模（堤高）,W01_007,単位は「m」とする。,実数型（Real）,FALSE
ダム規模（堤頂長）,W01_008,単位は「m」とする。,実数型（Real）,FALSE
堤体積,W01_009,単位は「千m3」とする。,整数型（Integer）,FALSE
総貯水量,W01_010,単位は「千m3」とする。,整数型（Integer）,FALSE
ダム事業者,W01_011,ダムを運用している組織。,コードリスト「ダム事業者コード」,TRUE
竣工年,W01_012,ダムの竣工年（西暦）,時間型（TM_Instant）,FALSE
所在地,W01_013,ダムが設置されている所在地名,文字列型（CharacterString）,FALSE
位置情報精度,W01_014,ダムの位置を地形図から取得する際に用いた方法によって分けられる位置情報の精度を分類したもの。,コードリスト「位置情報精度コード」,TRUE
