name,code,description,type,codelist
観測点名,A22_000001,気象観測点の名称で、その地域を代表する名称,文字列型（CharacterString）,FALSE
観測点の所在地,A22_000002,観測点の住所。,文字列型（CharacterString）,FALSE
観測点の管理者,A22_000003,地方公共団体や国道事務所等の気象観測点の管理者の名称,文字列型（CharacterString）,FALSE
位置特定レベル,A22_050001,気象観測点の位置の精度レベル,コードリスト「位置特定レベル」,TRUE
各年度別最深積雪（平均値）,A22_010001,最古年～平成25（2013）年の各年度の最深積雪の平均値（cm）※最深積雪が欠測している年度は、平均値の計算対象から除外,実数型（Real）,FALSE
各年度別最深積雪（最大値）,A22_010002,最古年～平成25（2013）年の各年度の最深積雪の中の最大値（cm）,実数型（Real）,FALSE
各年度別累計降雪量（平均値）,A22_020001,最古年～平成25（2013）年の各年度の累計降雪量の平均値（cm）※累計降雪量が欠測している年度は、平均値の計算対象から除外,実数型（Real）,FALSE
各年度別累計降雪量（最大値）,A22_020002,最古年～平成25（2013）年の各年度の累計降雪量の中の最大値（cm）,実数型（Real）,FALSE
各年度別最低気温（平均値）,A22_030001,最古年～平成25（2013）年の各年度の最低気温の平均値（℃）,実数型（Real）,FALSE
各年度別最低気温（最低値）,A22_030002,最古年～平成25（2013）年の各年度の最低気温の中の最低値（℃）,実数型（Real）,FALSE
各年度別平均風速（平均値）,A22_040001,最古年～平成25（2013）年の各年度の平均風速（月別の平均風速値、または日別値から算出）を平均した値（m/s）,実数型（Real）,FALSE
各年度別平均風速（最大値）,A22_040002,最古年～平成25（2013）年の各年度の中の平均風速の最大値（m/s）,実数型（Real）,FALSE
豪雪地帯ID,A22_100001,豪雪地帯を一意に識別するためのコード,文字列型（CharacterString）,FALSE
地域指定時の市区町村名,A22_100002,地域指定された市町村及び旧市町村の名称,文字列型（CharacterString）,FALSE
データ整備時の行政コード,A22_100003,都道府県コードと市区町村コードからなる、データ整備時点の行政区を特定するためのコードJIS規格（JIS X 0401，JIS X 0402）に準拠,文字列型（CharacterString）,FALSE
集計単位となる団体名（雪害）,A22_100004,データ整備の集計単位となる旧市町村・現市町村・消防本部・広域消防本部のいずれか,文字列型（CharacterString）,FALSE
集計単位フラグ（雪害）,A22_100005,雪害データの参照資料の集計単位に応じ付与したコード,コードリスト「集計単位フラグ」,TRUE
集計単位となる団体名（除雪ボランティア）,A22_100006,データ整備の集計単位となる旧市町村・現市町村・除雪ボランティアの名称のいずれか,文字列型（CharacterString）,FALSE
集計単位フラグ（除雪ボランティア）,A22_100007,雪害データの参照資料の集計単位に応じ付与したコード,コードリスト「集計単位フラグ」,TRUE
利雪施設名,A22_40001,利雪施設の正式名称,文字列型（CharacterString）,FALSE
利雪施設の設置者,A22_40002,利雪施設を設置した者の名称,文字列型（CharacterString）,FALSE
利雪施設の所在地,A22_40003,利雪施設の住所,文字列型（CharacterString）,FALSE
冷熱源確保方式,A22_40004,利雪施設の冷熱源を確保し保存する方法,文字列型（CharacterString）,FALSE
冷熱供給方式,A22_40005,利雪施設の冷却の対象となる貯蔵庫や室内に、雪氷の冷熱を供給する方法,文字列型（CharacterString）,FALSE
完成年度,A22_40006,利雪施設が設置された年度（西暦４桁）,整数型（Integer）,FALSE
施設の規模,A22_40007,利雪施設の規模（構造、階数、延床面積等）,文字列型（CharacterString）,FALSE
貯雪量,A22_40008,利雪施設の貯雪量（トン）,整数型（Integer）,FALSE
位置特定レベル,A22_40009,利雪施設の空間属性の位置属性レベル応じ付与したコード,コードリスト「位置特定レベル」,TRUE
