name,code,description,type,codelist
指定時の路線名,A37_000001,告示による指定時の路線名,文字列型（CharacterString）,FALSE
半島振興対策実施地域名,A37_000002,告示による半島循環道路を含む半島振興対策実施地域の名称,文字列型（CharacterString）,FALSE
指定時の道路種別,A37_000003,告示による指定時の道路の種類,文字列型（CharacterString）,FALSE
最大交通量,A37_000004,道路交通センサスによる当該路線の「24時間自動車類交通量上下合計」の「合計値」の最大値,整数型（Integer）,FALSE
平均交通量,A37_000005,道路交通センサスによる当該路線の「24時間自動車類交通量上下合計」の「合計値」の平均値,整数型（Integer）,FALSE
指定時の区間（住所）,A37_000006,告示による指定時の区間の住所,文字列型（CharacterString）,FALSE
半島振興対策実施地域名,A37_100001,半島循環道路を含む半島振興対策実施地域の名称,文字列型（CharacterString）,FALSE
道路種別,A37_100002,主要道路の種類,文字列型（CharacterString）,FALSE
路線名,A37_200001,通行が規制される路線名,文字列型（CharacterString）,FALSE
道路種別,A37_200002,通行が規制される道路の種類,文字列型（CharacterString）,FALSE
規制基準雨量（連続雨量）,A37_200003,車両通行止めを判断する降り始めからの降雨量の累積（mm）。,整数型（Integer）,FALSE
規制基準雨量（1時間雨量）,A37_200004,車両通行止めを判断する1時間当たりの雨量（mm/h）。,整数型（Integer）,FALSE
規制基準雨量（24時間雨量）,A37_200005,車両通行止めを判断する24時間当たりの雨量（mm/h）。,整数型（Integer）,FALSE
規制基準,A37_200006,異常気象時通行規制区間の通行規制の基準,文字列型（CharacterString）,FALSE
通行規制区間の起点（住所）,A37_210001,通行規制が開始される地点の住所,文字列型（CharacterString）,FALSE
通行規制区間の終点（住所）,A37_210002,通行規制区間の終点（住所）,文字列型（CharacterString）,FALSE
半島ID,A37_300001,半島振興対策実施地域を一意に識別するためのコード,文字列型（CharacterString）,FALSE
半島振興対策実施地域名,A37_300002,半島循環道路を含む半島振興対策実施地域の名称,文字列型（CharacterString）,FALSE
市町村名,A37_300003,データ整備時点での市町村名,文字列型（CharacterString）,FALSE
地域指定当時の市町村名,A37_300004,地域指定当時の市町村名,文字列型（CharacterString）,FALSE
集計単位となる団体名（救急搬送）,A37_300005,集計単位となる旧市町村・現市町村・消防本部・広域消防本部の名称のいずれか,文字列型（CharacterString）,FALSE
データ整備時の行政コード,A37_300006,データ整備時点での行政区を特定するためのコード,コードリスト「行政コード」,TRUE
集計単位フラグ（救急搬送）,A37_300007,救急搬送データの参照資料の集計単位に応じて付与したコード,コードリスト「集計単位フラグ」,TRUE
年平均日射量,A37_310001,単位面積当たりの年間日射量（平均年の値、MJ/㎡･day）,実数型（Real）,FALSE
平均風速（標高30m）,A37_310002,標高30ｍ地点の平均風速（m/s）,実数型（Real）,FALSE
平均風速（標高50m）,A37_310003,標高50ｍ地点の平均風速（m/s）,実数型（Real）,FALSE
平均風速（標高70m）,A37_310004,標高70ｍ地点の平均風速（m/s）,実数型（Real）,FALSE
耕作放棄地面積,A37_320001,以前耕地であったもので、過去１年間以上作物を栽培していない土地のうち、この数年間に再び耕作する考えのない土地（ha）,実数型（Real）,FALSE
宿泊能力（客室数）,A37_330001,指定の市町村内に存在する宿泊施設のベッド数の合計,整数型（Integer）,FALSE
小・中学校生徒数（H12）,A37_382000,地域指定当時の市町村単位で集計した平成12（2000）年の国勢調査の集計による小学生・中学校の人数（人）,整数型（Integer）,FALSE
小・中学校生徒数（H22）,A37_382010,地域指定当時の市町村単位で集計した平成22（2010）年の国勢調査の集計による小学生・中学校の人数（人）,整数型（Integer）,FALSE
高校生徒数（H12）,A37_392000,地域指定当時の市町村単位で集計した平成12（2000）年の国勢調査の集計による高校生の人数（人）,整数型（Integer）,FALSE
高校生徒数（H22）,A37_392010,地域指定当時の市町村単位で集計した平成22（2010）年の国勢調査の集計による高校生の人数（人）,整数型（Integer）,FALSE
最寄空港までのアクセス時間（起点の施設名）,A37_400001,最寄り空港までのアクセス時間を算出する際の起点となる市役所・役場・支所等の公共施設の名称,文字列型（CharacterString）,FALSE
最寄空港までのアクセス時間（終点の施設名）,A37_400002,最寄り空港までのアクセス時間を算出する際の終点となる空港の名称,文字列型（CharacterString）,FALSE
最寄空港までのアクセス時間（平均所要時間）,A37_400003,「全国総合交通分析システム（NITAS）」により分析した市役所・役場・支所等の公共施設から最寄りとなる空港までの平均所要時間（分）,整数型（Integer）,FALSE
最寄新幹線停車駅までのアクセス時間（起点の施設名）,A37_410001,最寄り新幹線停車駅までのアクセス時間を算出する際の起点となる市役所・役場・支所等の公共施設の名称,文字列型（CharacterString）,FALSE
最寄新幹線停車駅までのアクセス時間（終点の施設名）,A37_410002,最寄り新幹線停車駅までのアクセス時間を算出する際の終点となる新幹線停車駅の名称,文字列型（CharacterString）,FALSE
最寄新幹線停車駅までのアクセス時間（平均所要時間）,A37_410003,「全国総合交通分析システム（NITAS）」により分析した市役所・役場・支所等の公共施設から最寄りとなる新幹線停車駅までの平均所要時間（分）,整数型（Integer）,FALSE
最寄ICまでのアクセス時間（起点の施設名）,A37_420001,最寄りICまでのアクセス時間を算出する際の起点となる市役所・役場・支所等の公共施設の名称,文字列型（CharacterString）,FALSE
最寄ICまでのアクセス時間（終点の施設名）,A37_420002,最寄りICまでのアクセス時間を算出する際の終点となる高速道路ICの名称,文字列型（CharacterString）,FALSE
最寄ICまでのアクセス時間（平均所要時間）,A37_420003,「全国総合交通分析システム（NITAS）」により分析した市役所・役場・支所等の公共施設から最寄りとなる高速道路ICまでの平均所要時間（分）,整数型（Integer）,FALSE
