name,code,description,type,codelist
漁港コード,NA,漁港を特定するためのコード 県コード（2桁）+漁港の種類（1桁）+都道府県内の番号（4桁）。,整数型,FALSE
漁港名,NA,漁港の名称,文字列型,FALSE
行政区域コード,NA,都道府県コードと市区町村コードからなる、行政区を特定するためのコード,コードリスト「行政コード」,TRUE
種別,NA,漁港漁場整備法第5条及び第19条の3に示す漁港の種別を特定するためのコード,コードリスト「漁港種別コード」,TRUE
管理者区分,NA,漁港の管理者を区分するためのコード,コードリスト「漁港管理者区分コード」,TRUE
管理者名,NA,当該漁港の管理者の名称,文字列型,FALSE
指定年月日,NA,当該漁港の指定年月日。,時間型（TM_Instant）※西暦で、4桁の「年」、2桁の「月」及び「日」を記述する。,FALSE
関係漁業協同組合,NA,当該漁港に関係する漁業組合の名称,文字列型,FALSE
外郭施設延長,NA,普通交付税に関する省令第5条第1項に定める漁港における外郭施設の延長。 単位は「m」とする。（外郭施設：防波堤、防砂堤、防潮堤、導流堤、水門、閘門、護岸、堤防、突堤及び胸壁）,整数型,FALSE
係留施設延長,NA,普通交付税に関する省令第5条第1項に定める漁港における係留施設の延長。単位は「m」とする。（係留施設：岸壁、物揚場、係船浮標、係船くい、桟橋、浮桟橋及び船揚場）,整数型,FALSE
県コード,NA,都道府県を一意に識別するために付された番号,コードリスト「都道府県コード」,TRUE
漁港番号,NA,漁港を特定するためのコード県コード（2桁）+漁港の種類（1桁）+都道府県内の番号（4桁）。,整数型,FALSE
