id,name,code,description,type,codelist
L01,標準地コード_見出し番号,NA,NA,コードリスト「見出し番号」,TRUE
L01,標準地コード_一連番号,NA,NA,文字列型（CharacterString）,FALSE
L01,前年度標準地コード_見出し番号,NA,NA,コードリスト「見出し番号」,TRUE
L01,前年度標準地コード_一連番号,NA,NA,文字列型（CharacterString）,FALSE
L01,年度,NA,対象とする地価公示の時期※西暦で、「年」のみを記述,時間型（TM_Instant）,FALSE
L01,公示価格,NA,標準地の地価.単位を「円/m2」とする。,整数型（Integer）,FALSE
L01,属性移動_選定状況,NA,当該標準地の選定に関する情報,コードリスト「選定状況」,TRUE
L01,属性移動_住居漢字,NA,前年度からの変更の有無,真偽値型（Boolean）,FALSE
L01,属性移動_地積,NA,前年度からの変更の有無,真偽値型（Boolean）,FALSE
L01,属性移動_利用の現況,NA,前年度からの変更の有無,真偽値型（Boolean）,FALSE
L01,属性移動_建物構造,NA,前年度からの変更の有無,真偽値型（Boolean）,FALSE
L01,属性移動_供給施設,NA,前年度からの変更の有無,真偽値型（Boolean）,FALSE
L01,属性移動_駅からの距離,NA,前年度からの変更の有無,真偽値型（Boolean）,FALSE
L01,属性移動_用途区分,NA,前年度からの変更の有無,真偽値型（Boolean）,FALSE
L01,属性移動_防火区分,NA,前年度からの変更の有無,真偽値型（Boolean）,FALSE
L01,属性移動_都市計画区分,NA,前年度からの変更の有無,真偽値型（Boolean）,FALSE
L01,属性移動_森林区分,NA,前年度からの変更の有無,真偽値型（Boolean）,FALSE
L01,属性移動_法規制,NA,前年度からの変更の有無,真偽値型（Boolean）,FALSE
L01,属性移動_建ぺい率,NA,前年度からの変更の有無,真偽値型（Boolean）,FALSE
L01,属性移動_容積率,NA,前年度からの変更の有無,真偽値型（Boolean）,FALSE
L01,標準地行政区域コード,NA,都道府県コードと市区町村コードからなる、行政区を特定するためのコード,コードリスト「行政コード」,TRUE
L01,標準地市区町村名称,NA,標準地の市区町村の名称,文字列型（CharacterString）,FALSE
L01,住居表示,NA,標準地の住居表示又は地番,文字列型（CharacterString）,FALSE
L01,地積,NA,単位を「m2」とする。,整数型（Integer）,FALSE
L01,利用現況,NA,標準地の現在の利用方法,列挙型（住宅、店舗、事務所、銀行、旅館、給油所、工場、倉庫、農地、山林、医院、空地、作業場、原野、その他、用材、雑木）,FALSE
L01,利用状況表示,NA,「利用現況」が“その他”の場合の利用状況（自由記述）。,文字列型（CharacterString）,FALSE
L01,建物構造,NA,標準地の建物の構造による区別。 以下に示す「建物構造略号」＋「建物の階数」で示す。ただし、建物に地下階層がある場合は、地上階数の後に「F」、地下階数の後に「B」を記述する。建物構造略号：SRC：鉄骨・鉄筋コンクリートRC：鉄筋コンクリートS：鉄骨造LS：軽量鉄骨造B：ブロック造W：木造記述例）木造で地上2階建の場合： W2鉄筋コンクリートで地上3階地下1階建ての場合： RC3F1B,文字列型（CharacterString）,FALSE
L01,供給施設有無（水道）,NA,水道が供給されているかどうかの区別。,真偽値型（Boolean）,FALSE
L01,供給施設有無（ガス）,NA,ガスが供給されているかどうかの区別。,真偽値型（Boolean）,FALSE
L01,供給施設有無（下水）,NA,下水が供給されているかどうかの区別。,真偽値型（Boolean）,FALSE
L01,形状,NA,標準地の形状による区別。,文字列型（CharacterString）,FALSE
L01,間口比率,NA,間口幅と奥行幅の比率（短い方を基準値1.0とする）。,実数型（Real）,FALSE
L01,奥行比率,NA,間口幅と奥行幅の比率（短い方を基準値1.0とする）。,実数型（Real）,FALSE
L01,地上階層,NA,"単位は「階」とする。※不明の場合、""0""を記述",整数型（Integer）,FALSE
L01,地下階層,NA,"単位は「階」とする。※不明の場合、""0""を記述",整数型（Integer）,FALSE
L01,前面道路状況,NA,標準地の前面道路状況。,文字列型（CharacterString）,FALSE
L01,前面道路の方位,NA,標準地の前面道路の方位による区別。,文字列型（CharacterString）,FALSE
L01,前面道路の幅員,NA,"単位は「m」とする。※駅前広場の場合、""999.9""を記述",実数型（Real）,FALSE
L01,前面道路の駅前状況,NA,前面道路の駅前による区別。,文字列型（CharacterString）,FALSE
L01,前面道路の舗装状況,NA,標準地の前面道路の舗装状況,文字列型（CharacterString）,FALSE
L01,側道状況,NA,標準地の側道状況。,文字列型（CharacterString）,FALSE
L01,側道の方位,NA,標準地の側道方位による区別。,文字列型（CharacterString）,FALSE
L01,交通施設との近接状況,NA,交通施設との近接状況。,文字列型（CharacterString）,FALSE
L01,周辺の土地利用の状況,NA,周辺の土地利用の状況,文字列型（CharacterString）,FALSE
L01,駅名,NA,標準地の最寄りの駅名。,文字列型（CharacterString）,FALSE
