name,code,description,type,codelist
1km2当りの道路延長（幅員25.0m）以上）※平成22年版のみ,NA,3次メッシュ内の道路延長の合計。（3次メッシュ面積を1k㎡に換算した場合の相対延長）単位は「m」とする。,整数型0以上99999以下,FALSE
1km2当りの道路延長（幅員19.5m以上25.0m未満）※平成22年版のみ,NA,3次メッシュ内の道路延長の合計。（3次メッシュ面積を1k㎡に換算した場合の相対延長）単位は「m」とする。,整数型0以上99999以下,FALSE
1km2当りの道路延長（幅員13.0m（11.0m）以上19.5m未満）※平成22年版のみ,NA,3次メッシュ内の道路延長の合計。（3次メッシュ面積を1k㎡に換算した場合の相対延長）単位は「m」とする。使用する地形図の図式の違いにより、13.0mは11.0mに、3.0mは2.5mに読み替える場合がある（以下同様）。,整数型0以上99999以下,FALSE
1km2当りの道路延長（幅員13.0m（11.0m）以上で幅員不明）※平成22年版のみ,NA,3次メッシュ内の道路延長の合計。（3次メッシュ面積を1k㎡に換算した場合の相対延長）単位は「m」とする。（DRMにおいて「道路幅員区分」が13.0m（11.0m）以上でありかつ「車道幅員」の数値が13m未満となっている場合）,整数型0以上99999以下,FALSE
1km2当りの道路延長（幅員13.0m（11.0m）以上）※平成14～16年版のみ,NA,3次メッシュ内の道路延長の合計。（3次メッシュ面積を1k㎡に換算した場合の相対延長）単位は「m」とする。,整数型0以上99999以下,FALSE
1km2当りの道路延長（幅員5.5m以上13.0m（11.0m）未満）,NA,3次メッシュ内の道路延長の合計。（3次メッシュ面積を1k㎡に換算した場合の相対延長）単位は「m」とする。,整数型0以上99999以下,FALSE
1km2当りの道路延長（幅員3.0m（2.5m）以上5.5m未満）,NA,3次メッシュ内の道路延長の合計。（3次メッシュ面積を1k㎡に換算した場合の相対延長）単位は「m」とする。使用する地形図の図式の違いにより、3.0mは2.5mに読み替える場合がある（以下同様）。,整数型0以上99999以下,FALSE
1km2当りの道路延長（幅員3.0m（2.5m）未満）,NA,3次メッシュ内の道路延長の合計。（３次メッシュ面積を1k㎡に換算した場合の相対延長）単位は「m」とする。,整数型0以上99999以下,FALSE
1km2当りの道路延長（幅員未調査）,NA,3次メッシュ内の道路延長の合計。（3次メッシュ面積を1k㎡に換算した場合の相対延長）単位は「m」とする。,整数型0以上99999以下,FALSE
1km2当りの道路延長（幅員合計）,NA,3次メッシュ内の道路延長の合計。（3次メッシュ面積を1k㎡に換算した場合の相対延長）単位は「m」とする。,整数型0以上99999以下,FALSE
3次メッシュの面積,NA,各3次メッシュの面積（単位k㎡）,実数型,FALSE
幅員,NA,幅員種別,列挙型（平成14～16年版）1：幅員13.0m（11.0m）以上、2：幅員5.5m以上13.0m（11.0m）未満、3：幅員3.0m（2.5m）以上5.5m未満、4：幅員3.0m（2.5m）未満、5：幅員未調査、6：幅員合計（平成22年版）1：幅員25.0m以上、2：幅員19.5m以上25.0m未満、3：幅員13.0m（11.0m）以上19.5m未満、4：幅員13.0m（11.0m）以上で幅員不明、5：幅員5.5m以上13.0m（11.0m）未満、6：幅員3.0m（2.5m）以上5.5m未満、7：幅員3.0m（2.5m）未満、8：幅員未調査、9：幅員合計,FALSE
道路密度_左,NA,3次メッシュの左辺と道路の交差数。,整数型　0以上99以下,FALSE
道路密度_上,NA,3次メッシュの上辺と道路の交差数。,整数型　0以上99以下,FALSE
道路密度_右,NA,3次メッシュの右辺と道路の交差数。,整数型　0以上99以下,FALSE
道路密度_下,NA,3次メッシュの下辺と道路の交差数。,整数型　0以上99以下,FALSE
実延長,NA,3次メッシュ内の道路延長の合計（実延長）。単位は「m」とする。,整数型　0以上99999以下,FALSE
