name,code,description,type,codelist
施設数（ホテル）,NA,各3次メッシュ内のホテルに分類される施設の数,整数型（Integer）,FALSE
施設数（旅館）,NA,各3次メッシュ内の旅館に分類される施設の数,整数型（Integer）,FALSE
施設数（公共宿泊施設）,NA,各3次メッシュ内の公共宿泊施設に分類される施設の数※他の区分に割り振っているため、実質的にはなし,整数型（Integer）,FALSE
施設数（民宿）,NA,各3次メッシュ内の民宿に分類される施設の数,整数型（Integer）,FALSE
施設数（ペンション）,NA,各3次メッシュ内のペンションに分類される施設の数,整数型（Integer）,FALSE
施設数（宿坊）,NA,各3次メッシュ内の宿坊に分類される施設の数,整数型（Integer）,FALSE
施設数（コテージ・貸し別荘・山荘）,NA,各3次メッシュ内のコテージ・貸し別荘・山荘に分類される施設の数,整数型（Integer）,FALSE
施設数（ユースホステル）,NA,各3次メッシュ内のユースホステルに分類される施設の数,整数型（Integer）,FALSE
施設数（カプセルホテル）,NA,各3次メッシュ内のカプセルホテルに分類される施設の数,整数型（Integer）,FALSE
施設数（研修センター）,NA,各3次メッシュ内の研修センターに分類される施設の数,整数型　（Integer）,FALSE
施設総数,NA,各3次メッシュ内の施設数の総数,整数型　（Integer）,FALSE
収容人数,NA,各3次メッシュ内の総収容人数,整数型　（Integer）,FALSE
客室数,NA,各3次メッシュ内の総客室数,整数型　（Integer）,FALSE
