name,code,description,type,codelist
都市圏,NA,都市圏の分類,コードリスト「都市圏コード」,TRUE
調査年度,NA,パーソントリップ調査の実施年度,整数型,FALSE
発ゾーンコード,NA,ＯＤ量の発ゾーンのコード,コードリスト「東京都市圏ゾーンコード」「近畿圏H12年度ゾーンコード」「近畿圏H22年度ゾーンコード」「中京都市圏H13年度ゾーンコード」「H23年度ゾーンコード」,TRUE
着ゾーンコード,NA,ＯＤ量の着ゾーンのコード,コードリスト「東京都市圏ゾーンコード」「近畿圏H12年度ゾーンコード」「近畿圏H22年度ゾーンコード」「中京都市圏H13年度ゾーンコード」「H23年度ゾーンコード」,TRUE
鉄道-出勤トリップ数,NA,交通手段「鉄道」、目的「出勤」のトリップ数,整数型,FALSE
鉄道-登校トリップ数,NA,交通手段「鉄道」、目的「登校」のトリップ数,整数型,FALSE
鉄道-自由トリップ数,NA,交通手段「鉄道」、目的「自由」のトリップ数,整数型,FALSE
鉄道-業務トリップ数,NA,交通手段「鉄道」、目的「業務」のトリップ数,整数型,FALSE
鉄道-帰宅トリップ数,NA,交通手段「鉄道」、目的「帰宅」のトリップ数,整数型,FALSE
鉄道-不明トリップ数,NA,交通手段「鉄道」、目的「不明」のトリップ数,整数型　（*2）,FALSE
鉄道-合計トリップ数,NA,交通手段「鉄道」、目的合計のトリップ数,整数型,FALSE
バス-出勤トリップ数,NA,交通手段「バス」、目的「出勤」のトリップ数,整数型,FALSE
バス-登校トリップ数,NA,交通手段「バス」、目的「登校」のトリップ数,整数型,FALSE
バス-自由トリップ数,NA,交通手段「バス」、目的「自由」のトリップ数,整数型,FALSE
バス-業務トリップ数,NA,交通手段「バス」、目的「業務」のトリップ数,整数型,FALSE
バス-帰宅トリップ数,NA,交通手段「バス」、目的「帰宅」のトリップ数,整数型,FALSE
バス-不明トリップ数,NA,交通手段「バス」、目的「不明」のトリップ数,整数型　（*2）,FALSE
バス-合計トリップ数,NA,交通手段「バス」、目的合計のトリップ数,整数型,FALSE
自動車-出勤トリップ数,NA,交通手段「自動車」、目的「出勤」のトリップ数,整数型,FALSE
自動車-登校トリップ数,NA,交通手段「自動車」、目的「登校」のトリップ数,整数型,FALSE
自動車-自由トリップ数,NA,交通手段「自動車」、目的「自由」のトリップ数,整数型,FALSE
自動車-業務トリップ数,NA,交通手段「自動車」、目的「業務」のトリップ数,整数型,FALSE
自動車-帰宅トリップ数,NA,交通手段「自動車」、目的「帰宅」のトリップ数,整数型,FALSE
自動車-不明トリップ数,NA,交通手段「自動車」、目的「不明」のトリップ数,整数型　（*2）,FALSE
自動車-合計トリップ数,NA,交通手段「自動車」、目的合計のトリップ数,整数型,FALSE
二輪-出勤トリップ数,NA,交通手段「二輪」、目的「出勤」のトリップ数,整数型　（*3）,FALSE
二輪-登校トリップ数,NA,交通手段「二輪」、目的「登校」のトリップ数,整数型　（*3）,FALSE
二輪-自由トリップ数,NA,交通手段「二輪」、目的「自由」のトリップ数,整数型　（*3）,FALSE
二輪-業務トリップ数,NA,交通手段「二輪」、目的「業務」のトリップ数,整数型　（*3）,FALSE
二輪-帰宅トリップ数,NA,交通手段「二輪」、目的「帰宅」のトリップ数,整数型　（*3）,FALSE
二輪-合計トリップ数,NA,交通手段「二輪」、目的合計のトリップ数,整数型　（*3）,FALSE
原付バイク-出勤トリップ数,NA,交通手段「原付バイク」、目的「出勤」のトリップ数,整数型　（*2）,FALSE
原付バイク-登校トリップ数,NA,交通手段「原付バイク」、目的「登校」のトリップ数,整数型　（*2）,FALSE
原付バイク-自由トリップ数,NA,交通手段「原付バイク」、目的「自由」のトリップ数,整数型　（*2）,FALSE
原付バイク-業務トリップ数,NA,交通手段「原付バイク」、目的「業務」のトリップ数,整数型　（*2）,FALSE
原付バイク-帰宅トリップ数,NA,交通手段「原付バイク」、目的「帰宅」のトリップ数,整数型　（*2）,FALSE
原付バイク-登校トリップ数,NA,交通手段「原付バイク」、目的「不明」のトリップ数,整数型　（*2）,FALSE
原付バイク-合計トリップ数,NA,交通手段「原付バイク」、目的合計のトリップ数,整数型　（*2）,FALSE
自転車-出勤トリップ数,NA,交通手段「自転車」、目的「出勤」のトリップ数,整数型　（*4）,FALSE
自転車-登校トリップ数,NA,交通手段「自転車」、目的「登校」のトリップ数,整数型　（*4）,FALSE
自転車-自由トリップ数,NA,交通手段「自転車」、目的「自由」のトリップ数,整数型　（*4）,FALSE
自転車-業務トリップ数,NA,交通手段「自転車」、目的「業務」のトリップ数,整数型　（*4）,FALSE
自転車-帰宅トリップ数,NA,交通手段「自転車」、目的「帰宅」のトリップ数,整数型　（*4）,FALSE
自転車-不明トリップ数,NA,交通手段「自転車」、目的「不明」のトリップ数,整数型　（*2）,FALSE
自転車-合計トリップ数,NA,交通手段「自転車」、目的合計のトリップ数,整数型　（*4）,FALSE
徒歩-出勤トリップ数,NA,交通手段「徒歩」、目的「出勤」のトリップ数,整数型,FALSE
徒歩-登校トリップ数,NA,交通手段「徒歩」、目的「登校」のトリップ数,整数型,FALSE
徒歩-自由トリップ数,NA,交通手段「徒歩」、目的「自由」のトリップ数,整数型,FALSE
徒歩-業務トリップ数,NA,交通手段「徒歩」、目的「業務」のトリップ数,整数型,FALSE
徒歩-帰宅トリップ数,NA,交通手段「徒歩」、目的「帰宅」のトリップ数,整数型,FALSE
徒歩-不明トリップ数,NA,交通手段「徒歩」、目的「不明」のトリップ数,整数型　（*2）,FALSE
徒歩-合計トリップ数,NA,交通手段「徒歩」、目的合計のトリップ数,整数型,FALSE
その他-出勤トリップ数,NA,交通手段「その他」、目的「出勤」のトリップ数,整数型　（*1）,FALSE
その他-登校トリップ数,NA,交通手段「その他」、目的「登校」のトリップ数,整数型　（*1）,FALSE
その他-自由トリップ数,NA,交通手段「その他」、目的「自由」のトリップ数,整数型　（*1）,FALSE
その他-業務トリップ数,NA,交通手段「その他」、目的「業務」のトリップ数,整数型　（*1）,FALSE
その他-帰宅トリップ数,NA,交通手段「その他」、目的「帰宅」のトリップ数,整数型　（*1）,FALSE
その他-合計トリップ数,NA,交通手段「その他」、目的合計のトリップ数,整数型　（*1）,FALSE
不明-出勤トリップ数,NA,交通手段「不明」、目的「出勤」のトリップ数,整数型　（*2）,FALSE
不明-登校トリップ数,NA,交通手段「不明」、目的「登校」のトリップ数,整数型　（*2）,FALSE
不明-自由トリップ数,NA,交通手段「不明」、目的「自由」のトリップ数,整数型　（*2）,FALSE
不明-業務トリップ数,NA,交通手段「不明」、目的「業務」のトリップ数,整数型　（*2）,FALSE
不明-帰宅トリップ数,NA,交通手段「不明」、目的「帰宅」のトリップ数,整数型　（*2）,FALSE
不明-不明トリップ数,NA,交通手段「不明」、目的「不明」のトリップ数,整数型　（*2）,FALSE
不明-合計トリップ数,NA,交通手段「不明」、目的合計のトリップ数,整数型　（*2）,FALSE
全トリップ数,NA,全交通手段、目的合計のトリップ数,整数型,FALSE
