name,code,description,type,codelist
調査年度,NA,パーソントリップ調査の実施年度,整数型,FALSE
駅コード,NA,駅のコード,コードリスト「東京都市圏駅コード」,TRUE
駅名,NA,駅の名称,コードリスト「東京都市圏駅コード」,TRUE
乗車_路線バス・都電,NA,端末交通手段「路線バス・都電」を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_乗用車,NA,端末交通手段「乗用車」を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_軽乗用車,NA,端末交通手段「軽乗用車」を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_貨物自動車・軽貨物車,NA,端末交通手段「貨物自動車・軽貨物車」を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_自家用バス・貸切りバス,NA,端末交通手段「自家用バス・貸切りバス」を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_タクシー・ハイヤー,NA,端末交通手段「タクシー・ハイヤー」を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_自動二輪車,NA,端末交通手段「自動二輪車」を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_原動機付き自転車,NA,端末交通手段「原動機付き自転車」を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_自転車,NA,端末交通手段「自転車」を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_徒歩,NA,端末交通手段「徒歩」を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_航空機,NA,端末交通手段「航空機」を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_船舶,NA,端末交通手段「船舶」を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_その他,NA,その他の端末交通手段を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_不明,NA,「不明」の端末交通手段を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_合計,NA,端末交通手段を降りて対象駅から乗車する合計トリップ数,整数型,FALSE
降車_路線バス・都電,NA,対象駅で降車し、端末交通手段「路線バス・都電」に乗り換えるトリップ数,整数型,FALSE
降車_乗用車,NA,対象駅で降車し、端末交通手段「乗用車」に乗り換えるトリップ数,整数型,FALSE
降車_軽乗用車,NA,対象駅で降車し、端末交通手段「軽乗用車」に乗り換えるトリップ数,整数型,FALSE
降車_貨物自動車・軽貨物車,NA,対象駅で降車し、端末交通手段「貨物自動車・軽貨物車」に乗り換えるトリップ数,整数型,FALSE
降車_自家用バス・貸切りバス,NA,対象駅で降車し、端末交通手段「自家用バス・貸切りバス」に乗り換えるトリップ数,整数型,FALSE
降車_タクシー・ハイヤー,NA,対象駅で降車し、端末交通手段「タクシー・ハイヤー」に乗り換えるトリップ数,整数型,FALSE
降車_自動二輪車,NA,対象駅で降車し、端末交通手段「自動二輪車」に乗り換えるトリップ数,整数型,FALSE
降車_原動機付き自転車,NA,対象駅で降車し、端末交通手段「原動機付き自転車」に乗り換えるトリップ数,整数型,FALSE
降車_自転車,NA,対象駅で降車し、端末交通手段「自転車」に乗り換えるトリップ数,整数型,FALSE
降車_徒歩,NA,対象駅で降車し、端末交通手段「徒歩」に乗り換えるトリップ数,整数型,FALSE
降車_航空機,NA,対象駅で降車し、端末交通手段「航空機」に乗り換えるトリップ数,整数型,FALSE
降車_船舶,NA,対象駅で降車し、端末交通手段「船舶」に乗り換えるトリップ数,整数型,FALSE
降車_その他,NA,対象駅で降車し、その他の端末交通手段に乗り換えるトリップ数,整数型,FALSE
降車_不明,NA,対象駅で降車し、端末交通手段が「不明」のトリップ数,整数型,FALSE
降車_合計,NA,対象駅で降車し、端末交通手段に乗り換える合計トリップ数,整数型,FALSE
調査年度,NA,パーソントリップ調査の実施年度,整数型,FALSE
駅コード,NA,駅のコード,コードリスト「近畿圏H12年度駅コード」「近畿圏H22年度駅コード」,TRUE
運営会社,NA,鉄道路線を運営する会社,コードリスト「近畿圏H12年度駅コード」「近畿圏H22年度駅コード」,TRUE
駅名,NA,駅の名称,コードリスト「近畿圏H12年度駅コード」「近畿圏H22年度駅コード」,TRUE
乗車_バス,NA,端末交通手段「バス」を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_自家用自動車,NA,端末交通手段「自家用自動車」を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_タクシー・ハイヤー,NA,端末交通手段「タクシー・ハイヤー」を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_自動車,NA,端末交通手段「自動車」を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_自動二輪原付,NA,端末交通手段「自動二輪原付」を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_自転車,NA,端末交通手段「自転車」を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_二輪,NA,端末交通手段「二輪」を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_徒歩,NA,端末交通手段「徒歩」を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_その他,NA,その他の端末交通手段を降りて対象駅から乗車するトリップ数,整数型,FALSE
乗車_合計,NA,端末交通手段を降りて対象駅から乗車する合計トリップ数,整数型,FALSE
降車_バス,NA,対象駅で降車し、端末交通手段「バス」に乗り換えるトリップ数,整数型,FALSE
降車_自家用自動車,NA,対象駅で降車し、端末交通手段「自家用自動車」に乗り換えるトリップ数,整数型,FALSE
降車_タクシー・ハイヤー,NA,対象駅で降車し、端末交通手段「タクシー・ハイヤー」に乗り換えるトリップ数,整数型,FALSE
降車_自動車,NA,対象駅で降車し、端末交通手段「自動車」に乗り換えるトリップ数,整数型,FALSE
降車_自動二輪原付,NA,対象駅で降車し、端末交通手段「自動二輪原付」に乗り換えるトリップ数,整数型,FALSE
降車_自転車,NA,対象駅で降車し、端末交通手段「自転車」に乗り換えるトリップ数,整数型,FALSE
降車_二輪,NA,対象駅で降車し、端末交通手段「二輪」に乗り換えるトリップ数,整数型,FALSE
降車_徒歩,NA,対象駅で降車し、端末交通手段「徒歩」に乗り換えるトリップ数,整数型,FALSE
降車_その他,NA,対象駅で降車し、その他の端末交通手段に乗り換えるトリップ数,整数型,FALSE
降車_合計,NA,対象駅で降車し、端末交通手段に乗り換える合計トリップ数,整数型,FALSE
