id,code,name,type,codelist_id
A03,A03_001,行政区域コード,"コードリスト「行政コード」 ※海上は""99999""とする。",NA
A03,A03_002,都道府県名,文字列型,NA
A03,A03_003,郡市名,文字列型,NA
A03,A03_004,区町村名,文字列型,NA
A03,A03_005,陸水等区分,列挙型（陸地、湖沼、湖沼内の島、海上）,NA
A03,A03_006,区域区分,コードリスト「区域区分」 ※首都圏、中部圏、近畿圏でコードが異なる。,SectionCd_syuto
A03,A03_007,区域コード,コードリスト「区域コード」 ※首都圏、中部圏、近畿圏でコードが異なる。,tweak_SectionCd
A03,A03_008,備考,文字列型,NA
A09,prefec_cd,都道府県コード,NA,PrefCd
A09,area_cd,地区コード,NA,A10_area_code
A09,layer_no,レイヤ番号,NA,A10_layer_no
A10,AREA_CD,地区コード,NA,A10_area_code
A10,AREA_SIZE,ポリゴン面積,NA,NA
A10,CTV_NAME,市町村名,NA,NA
A10,FIS_YEAR,年度,NA,NA
A10,IOSIDE_DIV,内外区分,NA,NA
A10,LAYER_NO,レイヤ番号,NA,A10_layer_no
A10,OBJ_NAME,名称,NA,NA
A10,PREFEC_CD,都道府県コード,NA,PrefCd
A10,REMARK_STR,備考,NA,NA
A10,THEMA_NO,主題番号,NA,NA
A11,AREA_CD,地区コード,NA,A10_area_code
A11,AREA_SIZE,ポリゴン面積,NA,NA
A11,CTV_NAME,市町村名,NA,NA
A11,FIS_YEAR,年度,NA,NA
A11,IOSIDE_DIV,内外区分,NA,NA
A11,LAYER_NO,レイヤ番号,NA,A10_layer_no
A11,OBJ_NAME,名称,NA,NA
A11,PREFEC_CD,都道府県コード,NA,PrefCd
A11,REMARK_STR,備考,NA,NA
A11,THEMA_NO,主題番号,NA,NA
A12,AREA_CD,地区コード,NA,A10_area_code
A12,AREA_SIZE,ポリゴン面積,NA,NA
A12,CTV_NAME,市町村名,NA,NA
A12,FIS_YEAR,年度,NA,NA
A12,IOSIDE_DIV,内外区分,NA,NA
A12,LAYER_NO,レイヤ番号,NA,A10_layer_no
A12,OBJ_NAME,名称,NA,NA
A12,PREFEC_CD,都道府県コード,NA,PrefCd
A12,REMARK_STR,備考,NA,NA
A12,THEMA_NO,主題番号,NA,NA
A13,AREA_CD,地区コード,NA,A10_area_code
A13,AREA_SIZE,ポリゴン面積,NA,NA
A13,CTV_NAME,市町村名,NA,NA
A13,FIS_YEAR,年度,NA,NA
A13,IOSIDE_DIV,内外区分,NA,NA
A13,LAYER_NO,レイヤ番号,NA,A10_layer_no
A13,OBJ_NAME,名称,NA,NA
A13,PREFEC_CD,都道府県コード,NA,PrefCd
A13,REMARK_STR,備考,NA,NA
A13,THEMA_NO,主題番号,NA,NA
A15,A15_001,鳥獣保護区名,文字列型（CharacterString）,NA
A15,A15_002,都道府県コード,コードリスト「都道府県コード」,PrefCd
A15,A15_003,指定機関：指定機関コード,コードリスト「指定機関コード」,authority_type
A15,A15_004,保護区分：保護区分コード,コードリスト「保護区分コード」,protection_area_type
A15,A15_005,指定日,時間型（TM_Instant）,NA
