id,地域,測地系,年度,ファイル容量,ファイル名,url
A03,関東圏,日本測地系,平成15年,6.63MB,A03-03_SYUTO-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A03/A03-03/A03-03_SYUTO-tky_GML.zip
A03,中部圏,日本測地系,平成15年,11.54MB,A03-03_CHUBU-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A03/A03-03/A03-03_CHUBU-tky_GML.zip
A03,近畿圏,日本測地系,平成15年,8.78MB,A03-03_KINKI-tky_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A03/A03-03/A03-03_KINKI-tky_GML.zip
A09,北海道,世界測地系,平成18年,2.82MB,A09-06_01_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_01_GML.zip
A09,北海道,世界測地系,平成23年,2.97MB,A09-11_01_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_01_GML.zip
A09,北海道,世界測地系,平成30年,6.36MB,A09-18_01_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-18/A09-18_01_GML.zip
A09,青森,世界測地系,平成18年,0.85MB,A09-06_02_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_02_GML.zip
A09,青森,世界測地系,平成23年,0.91MB,A09-11_02_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_02_GML.zip
A09,青森,世界測地系,平成30年,3.28MB,A09-18_02_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-18/A09-18_02_GML.zip
A09,岩手,世界測地系,平成18年,0.96MB,A09-06_03_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_03_GML.zip
A09,岩手,世界測地系,平成23年,0.82MB,A09-11_03_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_03_GML.zip
A09,岩手,世界測地系,平成30年,8.41MB,A09-18_03_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-18/A09-18_03_GML.zip
A09,宮城,世界測地系,平成18年,1.17MB,A09-06_04_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_04_GML.zip
A09,宮城,世界測地系,平成23年,1.06MB,A09-11_04_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_04_GML.zip
A09,宮城,世界測地系,平成30年,4.50MB,A09-18_04_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-18/A09-18_04_GML.zip
A09,秋田,世界測地系,平成18年,0.74MB,A09-06_05_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_05_GML.zip
A09,秋田,世界測地系,平成23年,0.67MB,A09-11_05_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_05_GML.zip
A09,秋田,世界測地系,平成30年,2.84MB,A09-18_05_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-18/A09-18_05_GML.zip
A09,山形,世界測地系,平成18年,0.86MB,A09-06_06_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_06_GML.zip
A09,山形,世界測地系,平成23年,0.90MB,A09-11_06_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_06_GML.zip
A09,山形,世界測地系,平成30年,1.94MB,A09-18_06_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-18/A09-18_06_GML.zip
A09,福島,世界測地系,平成18年,1.87MB,A09-06_07_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_07_GML.zip
A09,福島,世界測地系,平成23年,1.69MB,A09-11_07_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_07_GML.zip
A09,福島,世界測地系,平成30年,4.86MB,A09-18_07_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-18/A09-18_07_GML.zip
A09,茨城,世界測地系,平成18年,2.07MB,A09-06_08_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_08_GML.zip
A09,茨城,世界測地系,平成23年,1.69MB,A09-11_08_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_08_GML.zip
A09,茨城,世界測地系,平成30年,5.37MB,A09-18_08_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-18/A09-18_08_GML.zip
A09,栃木,世界測地系,平成18年,1.03MB,A09-06_09_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_09_GML.zip
A09,栃木,世界測地系,平成23年,0.92MB,A09-11_09_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_09_GML.zip
A09,栃木,世界測地系,平成30年,3.39MB,A09-18_09_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-18/A09-18_09_GML.zip
A09,群馬,世界測地系,平成18年,1.13MB,A09-06_10_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_10_GML.zip
A09,群馬,世界測地系,平成23年,1.13MB,A09-11_10_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_10_GML.zip
A09,群馬,世界測地系,平成30年,3.11MB,A09-18_10_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-18/A09-18_10_GML.zip
A09,埼玉,世界測地系,平成18年,0.98MB,A09-06_11_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_11_GML.zip
A09,埼玉,世界測地系,平成23年,0.97MB,A09-11_11_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_11_GML.zip
A09,埼玉,世界測地系,平成30年,5.55MB,A09-18_11_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-18/A09-18_11_GML.zip
A09,千葉,世界測地系,平成18年,1.29MB,A09-06_12_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_12_GML.zip
A09,千葉,世界測地系,平成23年,2.80MB,A09-11_12_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_12_GML.zip
A09,千葉,世界測地系,平成30年,6.74MB,A09-18_12_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-18/A09-18_12_GML.zip
A09,東京,世界測地系,平成18年,1.38MB,A09-06_13_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_13_GML.zip
A09,東京,世界測地系,平成23年,1.36MB,A09-11_13_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_13_GML.zip
A09,東京,世界測地系,平成30年,7.55MB,A09-18_13_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-18/A09-18_13_GML.zip
A09,神奈川,世界測地系,平成18年,2.59MB,A09-06_14_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_14_GML.zip
A09,神奈川,世界測地系,平成23年,1.82MB,A09-11_14_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_14_GML.zip
A09,神奈川,世界測地系,平成30年,6.93MB,A09-18_14_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-18/A09-18_14_GML.zip
A09,新潟,世界測地系,平成18年,1.14MB,A09-06_15_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_15_GML.zip
A09,新潟,世界測地系,平成23年,1.13MB,A09-11_15_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_15_GML.zip
A09,新潟,世界測地系,平成30年,3.77MB,A09-18_15_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-18/A09-18_15_GML.zip
A09,富山,世界測地系,平成18年,0.56MB,A09-06_16_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_16_GML.zip
A09,富山,世界測地系,平成23年,0.57MB,A09-11_16_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_16_GML.zip
A09,富山,世界測地系,平成30年,1.85MB,A09-18_16_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-18/A09-18_16_GML.zip
A09,石川,世界測地系,平成18年,0.63MB,A09-06_17_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_17_GML.zip
A09,石川,世界測地系,平成23年,0.66MB,A09-11_17_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_17_GML.zip
A09,石川,世界測地系,平成30年,2.07MB,A09-18_17_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-18/A09-18_17_GML.zip
A09,福井,世界測地系,平成18年,0.47MB,A09-06_18_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_18_GML.zip
A09,福井,世界測地系,平成23年,0.48MB,A09-11_18_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-11/A09-11_18_GML.zip
A09,福井,世界測地系,平成30年,1.65MB,A09-18_18_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-18/A09-18_18_GML.zip
A09,山梨,世界測地系,平成18年,0.31MB,A09-06_19_GML.zip,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-06/A09-06_19_GML.zip
